id,Tanggal / Waktu Kejadian,Minggu,Bulan,Tahun,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Kode Jenis Kejadian,Nama Kejadian,Jenis Bencana,is_bencana,Jumlah Kejadian,Meninggal,Hilang,Luka / Sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
cc0f9248-dca2-406a-ba4a-6957bb726186,2021-08-12 00:01:00,32,8,2021,73,Sulawesi Selatan,73.13,Wajo,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,81,2,10,20,0,0,0,0,0,0
c2dbe9cd-8394-436a-bb74-a6097bb2bb2e,2021-08-12 00:01:00,32,8,2021,74,Sulawesi Tenggara,74.11,Kolaka Timur,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,44,2,3,8,0,0,0,0,0,0
6de280f7-98ee-44ee-b9e7-b1fa8e7eea22,2021-08-11 00:01:00,32,8,2021,13,Sumatera Barat,13.05,Padang Pariaman,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
f3749dec-15c4-48b2-83fe-3a602d78bebb,2021-08-10 18:00:00,32,8,2021,12,Sumatera Utara,12.05,Langkat,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,95,14,0,5,0,0,0,0,0,0
739c292d-afd9-4b98-856d-88f78b038240,2021-08-10 17:25:00,32,8,2021,12,Sumatera Utara,12.07,Deli Serdang,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,0,0,4,3,0,0,0,0,0,0
e05f067e-87f1-4a85-944c-5e3bb6f15de3,2021-08-10 00:01:00,32,8,2021,72,Sulawesi Tengah,72.02,Poso,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,0,87,0,0,0,0,0
55907656-0530-43df-ba8b-e98c50549b53,2021-08-09 11:00:00,32,8,2021,16,Sumatera Selatan,16.03,Muara Enim,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
85ca3f78-743a-4b94-8414-048536df57fb,2021-08-09 00:01:00,32,8,2021,13,Sumatera Barat,13.02,Solok,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
184ce02a-b5c5-4f3a-b6c7-b51bbfc34a15,2021-08-08 18:30:00,31,8,2021,16,Sumatera Selatan,16.10,Ogan Ilir,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad93fa6c-dcc4-46f7-8975-6431c7464651,2021-08-08 00:01:00,31,8,2021,72,Sulawesi Tengah,72.04,Toli Toli,1010,Banjir,Banjir,True,0.5,0,0,0,120,0,0,0,0,0,0,0,0,0
b7e5057b-1e3d-4867-b921-8869a32c8d1a,2021-08-08 00:01:00,31,8,2021,72,Sulawesi Tengah,72.04,Toli Toli,1010,Banjir,Banjir,True,0.5,0,0,0,4025,0,0,0,0,0,0,0,0,0
b60a7c9b-aa2d-4c39-8d60-2334be896633,2021-08-08 00:01:00,31,8,2021,72,Sulawesi Tengah,72.10,Sigi,1013,Banjir dan Tanah Longsor,Banjir,True,1.0,0,0,0,35,0,0,11,0,0,0,0,0,0
b2385080-e92c-41e9-b57b-0471cea47b26,2021-08-06 06:00:00,31,8,2021,73,Sulawesi Selatan,73.22,Luwu Utara,1010,Banjir,Banjir,True,1.0,0,0,0,500,0,0,0,100,0,0,0,0,0
135027b2-6072-4eea-a693-aa62a611c88f,2021-08-06 00:01:00,31,8,2021,74,Sulawesi Tenggara,74.02,Konawe,1010,Banjir,Banjir,True,1.0,0,0,0,58,0,0,0,0,0,0,0,0,0
8bdf33eb-abab-4a1b-a75d-ec67e0ad7c70,2021-08-05 00:01:00,31,8,2021,13,Sumatera Barat,13.05,Padang Pariaman,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0
23c9e75e-e557-498c-8bb0-f8bc8ac08dc7,2021-08-05 00:01:00,31,8,2021,73,Sulawesi Selatan,73.01,Kepulauan Selayar,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
18267689-8382-40d9-b8a3-74ce3fb090bd,2021-08-04 09:00:00,31,8,2021,16,Sumatera Selatan,16.10,Ogan Ilir,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
16fb79b1-a56a-4b5c-b521-dc7e050033fa,2021-08-03 19:00:00,31,8,2021,73,Sulawesi Selatan,73.22,Luwu Utara,1010,Banjir,Banjir,True,1.0,0,0,0,750,0,0,0,100,0,0,0,0,0
a7b3e595-863f-4149-a46a-c9497a72e282,2021-08-03 10:00:00,31,8,2021,16,Sumatera Selatan,16.07,Banyuasin,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
60e0c197-5038-4878-b36f-e9b1ef4fd2ac,2021-08-03 00:01:00,31,8,2021,13,Sumatera Barat,13.07,Lima Puluh Kota,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,0,0,0,3,0,0,0,0,0,0
9de36e8c-7056-4aaa-8e1d-e6beed88b6fa,2021-08-02 00:01:00,31,8,2021,13,Sumatera Barat,13.05,Padang Pariaman,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
b96a8ab7-4215-4264-9153-8d273b4f25a7,2021-07-31 19:00:00,30,7,2021,13,Sumatera Barat,13.77,Kota Pariaman,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,4,1,2,1,0,0,0,0,0,0
21fe01d6-7265-4fd6-b4e2-7063ab1fd7a5,2021-07-31 18:40:00,30,7,2021,13,Sumatera Barat,13.05,Padang Pariaman,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,45,0,9,0,0,0,0,0,0,0
7cc5d167-d76c-4a61-adcc-9d31bb2bc0a2,2021-07-31 05:50:00,30,7,2021,16,Sumatera Selatan,16.01,Ogan Komering Ulu,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
a69b402c-f1e9-41b9-acbf-26a3cf10bd4d,2021-07-30 16:00:00,30,7,2021,16,Sumatera Selatan,16.07,Banyuasin,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1ecf3c3b-5aea-4571-84cd-66a54a3ccbf3,2021-07-30 14:30:00,30,7,2021,12,Sumatera Utara,12.11,Dairi,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
56fb30e3-442e-4938-886d-5f783f7d3e48,2021-07-30 08:00:00,30,7,2021,16,Sumatera Selatan,16.10,Ogan Ilir,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
e3db3479-cd74-4629-b02a-aa1e4eeca482,2021-07-30 05:50:00,30,7,2021,16,Sumatera Selatan,16.01,Ogan Komering Ulu,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
675bc8a6-cd16-4394-8cb4-db6c42d37ca5,2021-07-29 13:00:00,30,7,2021,16,Sumatera Selatan,16.01,Ogan Komering Ulu,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
31ae41bb-1fe8-4b27-b42e-71534de1e311,2021-07-29 00:01:00,30,7,2021,12,Sumatera Utara,12.06,Karo,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
f91e9eb3-38ea-418f-822b-b8e1db305ccf,2021-07-28 06:31:00,30,7,2021,16,Sumatera Selatan,16.01,Ogan Komering Ulu,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
c22b1c86-e192-4174-a8ee-9c1f88d7ca47,2021-07-28 00:01:00,30,7,2021,72,Sulawesi Tengah,72.02,Poso,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,6,0,0,0,0,0,0
5fac026e-df0b-45da-b8b8-996143667005,2021-07-28 00:01:00,30,7,2021,73,Sulawesi Selatan,73.09,Maros,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,5,0,1,0,0,0,0,0,0,0
65aa27b1-a17d-4001-904e-d0dff7b51a46,2021-07-27 00:01:00,30,7,2021,72,Sulawesi Tengah,72.02,Poso,1010,Banjir,Banjir,True,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0
09877b9a-afbe-42a7-90f7-f35e1f9c75b4,2021-07-27 00:01:00,30,7,2021,72,Sulawesi Tengah,72.02,Poso,1010,Banjir,Banjir,True,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0
6bf63340-729d-498f-972f-0122a27230db,2021-07-27 00:01:00,30,7,2021,72,Sulawesi Tengah,72.02,Poso,1010,Banjir,Banjir,True,0.3333333333333333,0,0,0,0,0,0,19,0,0,0,0,0,0
604afe1b-f306-49d8-939d-d224f6368e13,2021-07-26 19:09:00,30,7,2021,72,Sulawesi Tengah,72.01,Banggai,1070,Gempabumi,Gempabumi,True,0.5,0,0,0,0,1,5,0,0,1,3,0,0,0
8225ec61-bffe-4df7-a9b1-ceed1f55fedc,2021-07-26 19:09:00,30,7,2021,72,Sulawesi Tengah,72.09,Tojo Una Una,1070,Gempabumi,Gempabumi,True,0.5,0,0,0,0,0,0,9,0,0,0,0,0,0
da2a5a7d-82c9-47e1-8ab8-93d0bb40c392,2021-07-26 18:30:00,30,7,2021,16,Sumatera Selatan,16.10,Ogan Ilir,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
4378688a-cee8-4901-864b-d902639277a5,2021-07-26 13:17:00,30,7,2021,16,Sumatera Selatan,16.01,Ogan Komering Ulu,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b3166ff-7db1-4ff7-8988-92ca31ed9ca3,2021-07-26 00:01:00,30,7,2021,13,Sumatera Barat,13.07,Lima Puluh Kota,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
e22a56ba-759f-4cd4-a2d4-131c14be7693,2021-07-25 23:50:00,29,7,2021,16,Sumatera Selatan,16.10,Ogan Ilir,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
a0cb4eba-2399-443f-ae85-6ea9701ae775,2021-07-24 00:01:00,29,7,2021,72,Sulawesi Tengah,72.08,Parigi Moutong,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,0,3,0,0,0,0,0
f69a18dd-165b-4961-bb55-a36fb950eb07,2021-07-23 01:30:00,29,7,2021,16,Sumatera Selatan,16.05,Musi Rawas,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,0,2,0,10,0,0,1,0,0,0
b13f65d1-aa37-4f14-8122-97efb70a8921,2021-07-22 13:30:00,29,7,2021,12,Sumatera Utara,12.18,Serdang Bedagai,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,265,0,0,53,0,0,0,0,0,0
abeac1bb-73c8-4ae0-9c53-df1ae9b1d9da,2021-07-22 00:01:00,29,7,2021,12,Sumatera Utara,12.19,Batu Bara,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,50,0,0,0,0,0,0,0,0,0
66cb0fad-b0b7-4298-9f22-38560d7928ee,2021-07-22 00:01:00,29,7,2021,12,Sumatera Utara,12.71,Kota Medan,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,0,0,0,6,0,0,0,0,0,0
c7fba617-4e84-425a-acfb-9bfb1e1cec19,2021-07-22 00:01:00,29,7,2021,76,Sulawesi Barat,76.03,Mamasa,1070,Gempabumi,Gempabumi,True,1.0,0,0,0,0,0,0,5,0,0,0,0,0,0
a5ef7d58-9428-451e-b4b6-31a5b75c4055,2021-07-21 00:01:00,29,7,2021,72,Sulawesi Tengah,72.04,Toli Toli,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,0,10,0,0,0,0,0
4f1b6d7c-084d-4e65-a4a0-2fe685009624,2021-07-18 11:30:00,28,7,2021,16,Sumatera Selatan,16.10,Ogan Ilir,1060,Kebakaran Hutan dan Lahan,Kebakaran hutan dan lahan,True,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
189d0d5e-fa4f-4ca7-b30a-a35e8a431062,2021-07-18 08:00:00,28,7,2021,74,Sulawesi Tenggara,74.01,Kolaka,1010,Banjir,Banjir,True,1.0,0,0,0,515,0,0,0,103,0,0,0,0,0
