"Provinsi
Province",20201,20212,20223,20234,20245
(1),(2),(3),(4),(5),(6)
,,,,,
Aceh,15.109,13.367,14.015,125.644,123.464
Sumatera Utara,79.091,24.413,12.087,137.610,163.195
Sumatera Barat,19.413,20.963,12.169,84.002,91.149
Riau,163.655,140.582,140.728,128.720,141.299
Jambi,17.778,11.647,9.674,83.514,76.266
Sumatera Selatan,118.548,297.546,13.659,108.139,106.945
Bengkulu,56.360,1.140,2.219,42.011,42.391
Lampung,12.759,708.981,1.362.718,96.717,96.108
Kepulauan Bangka Belitung,14.577,7.076,9.304,58.313,55.071
Kepulauan Riau,27.282,4.533,"d
i
4.369",37.125,36.690
,,,.,,
DKI Jakarta,6.019.840,4.063.993,"o
3.213.639",5.221.150,6.222.658
Jawa Barat,311.277,95.298,"g
40.174",353.129,397.348
Jawa Tengah,236.305,223.819,".
s
203.333",232.094,170.808
DI Yogyakarta,573.876,85.237,"p
172.409",385.425,288.558
Jawa Timur,55.619,"b
3.816.228",32.322,245.380,255.648
Banten,56.739,".
55.051",50.747,77.976,75.808
,,,,,
Bali,16.025,"w
29.900",–,60.202,75.178
Nusa Tenggara Barat,85.620,"w
12.436",33.037,99.688,99.495
Nusa Tenggara Timur,127.447,"w
103.722",5.721,91.665,87.220
,,,,,
Kalimantan Barat,"/
/
:
146.087",834.075,5.205,67.376,79.017
Kalimantan Tengah,"s
13.733",15.067,6.760,109.890,168.992
Kalimantan Selatan,"p
106.464",1.546,323.403,309.307,373.311
Kalimantan Timur,"t
t
29.853",30.539,21.725,358.943,318.216
Kalimantan Utara,"h
11.992",15.059,7.567,58.324,86.512
,,,,,
Sulawesi Utara,9.725,54.124,59.930,103.506,83.808
Sulawesi Tengah,13.162,9.453,3.927,78.621,89.536
Sulawesi Selatan,18.364,1.546,36.503,137.420,156.698
Sulawesi Tenggara,10.828,160.569,30.635,74.037,79.552
Gorontalo,32.829,19.860,11.289,43.884,39.810
Sulawesi Barat,8.814,16.725,26.506,57.506,88.159
,,,,,
Maluku,17.379,–,24.502,57.176,50.770
Maluku Utara,14.864,12.673,36.319,134.132,78.155
Papua Barat,99.730,54.749,60.385,187.314,173.007
Papua Barat Daya,–,–,–,54.197,48.347
Papua,4.737,76.589,6.604,70.112,61.183
Papua Selatan,–,–,–,11.845,9.354
Papua Tengah,–,–,–,40.262,56.564
Papua Pegunungan,–,–,–,17.006,48.404
,,,,,
