"Provinsi
Province",20201,20211,20221,20231,20242
(1),(2),(3),(4),(5),(6)
,,,,,
Aceh,"89,51","89,63","90,62","90,94","92,81"
Sumatera Utara,"89,22","89,55","89,69","90,90","92,26"
Sumatera Barat,"90,39","90,22","90,65","90,53","92,27"
Riau,"90,42","90,13","90,69","90,89","89,66"
Jambi,"85,65","87,08","89,85","90,57","92,98"
Sumatera Selatan,"86,57","86,28","89,10","87,76","90,25"
Bengkulu,"90,52","90,81","91,27","92,49","94,13"
Lampung,"85,45","85,46","87,32","88,04","90,94"
Kepulauan Bangka Belitung,"91,03","90,39","89,75","90,15","92,13"
Kepulauan Riau,"90,80","90,91","90,27","90,13","92,12"
,,,,,
DKI Jakarta,"66,69","66,52","68,06","68,46","72,59"
Jawa Barat,"78,46","79,34","80,31","d
i
81,39","83,68"
Jawa Tengah,"84,73","84,60","o
85,14",".
86,35","87,73"
DI Yogyakarta,"89,55","88,59","g
89,16","89,01","90,44"
Jawa Timur,"84,06","83,20",".
84,28","84,73","88,09"
Banten,"72,83","74,14","s
73,97","66,67","69,84"
,,,p,,
Bali,"88,34","89,28","b
89,19","88,99","92,12"
Nusa Tenggara Barat,"88,63",".
88,52","89,30","90,21","93,13"
Nusa Tenggara Timur,"89,80","w
90,51","91,52","92,03","92,30"
,,w,,,
Kalimantan Barat,"88,88","90,71","90,90","92,03","93,29"
Kalimantan Tengah,"89,84","w
/
90,39","91,25","91,47","92,71"
Kalimantan Selatan,"88,93","/
:
89,15","89,52","92,85","96,41"
Kalimantan Timur,"s
89,02","88,84","87,59","89,64","91,43"
Kalimantan Utara,"p
94,23","93,43","94,52","93,91","92,99"
,t,,,,
Sulawesi Utara,"t
90,53","91,27","92,41","93,52","93,44"
Sulawesi Tengah,"h
91,80","91,33","91,86","91,88","92,93"
Sulawesi Selatan,"88,73","89,13","90,35","90,58","93,36"
Sulawesi Tenggara,"91,21","90,89","92,05","92,83","93,83"
Gorontalo,"93,89","93,96","94,47","94,43","92,73"
Sulawesi Barat,"89,72","90,97","91,88","93,33","91,46"
,,,,,
Maluku,"90,41","90,70","91,46","92,47","92,42"
Maluku Utara,"92,10","91,64","92,74","93,19","93,88"
Papua Barat,"94,83","95,60","95,79","96,22","94,40"
Papua Barat Daya,–,–,–,"96,28","95,79"
Papua,"94,57","94,02","95,32","95,87","95,17"
Papua Selatan,–,–,–,"95,44","94,86"
Papua Tengah,–,–,–,"95,33","96,00"
Papua Pegunungan,–,–,–,"97,68","93,81"
,,,,,
Indonesia,"87,21","87,36","88,06","88,67 90,13",
