"Provinsi
Province","Indeks Kualitas Udara
Air Quality Index",,,,
,2018,2019,2020,2021,2022
(1),(2),(3),(4),(5),(6)
,,,,,
Aceh,"88,33","90,71","89,51","89,63","90,62"
Sumatera Utara,"85,72","86,58","89,22","89,55","89,69"
Sumatera Barat,"88,37","89,45","90,39","90,22","90,65"
Riau,"89,91","90,20","90,42","90,13","90,69"
Jambi,"88,04","87,25","85,65","87,08","89,85"
Sumatera Selatan,"85,32","87,13","86,57","86,28","89,10"
Bengkulu,"91,63","92,69","90,52","90,81","91,27"
Lampung,"82,98","86,62","d
85,45","85,46","87,32"
Kepulauan Bangka Belitung,"89,09","91,94","i
.
91,03","90,39","89,75"
Kepulauan Riau,"90,83","90,63","o
90,80","90,91","90,27"
,,,g,,
DKI Jakarta,"66,57","67,97",".
66,69","66,52","68,06"
Jawa Barat,"72,80","75,10","s
78,46","79,34","80,31"
Jawa Tengah,"82,97","84,81","p
84,73","84,60","85,14"
DI Yogyakarta,"84,25","b
.
85,19","89,55","88,59","89,16"
Jawa Timur,"81,80","w
83,06","84,06","83,20","84,28"
Banten,"71,63","w
74,98","72,83","74,14","73,97"
,,,,,
Bali,"88,97","w
89,85","88,34","89,28","89,19"
Nusa Tenggara Barat,"/
87,17","/
87,51","88,63","88,52","89,30"
Nusa Tenggara Timur,":
86,83","88,18","89,80","90,51","91,52"
,s,,,,
Kalimantan Barat,"p
88,68","90,04","88,88","90,71","90,90"
Kalimantan Tengah,"t
t
87,07","88,82","89,84","90,39","91,25"
Kalimantan Selatan,"h
87,75","88,78","88,93","89,15","89,52"
Kalimantan Timur,"83,36","90,02","89,02","88,84","87,59"
Kalimantan Utara,"90,95","93,79","94,23","93,43","94,52"
,,,,,
Sulawesi Utara,"91,07","92,41","90,53","91,27","92,41"
Sulawesi Tengah,"93,56","92,98","91,80","91,33","91,86"
Sulawesi Selatan,"89,09","89,60","88,73","89,13","90,35"
Sulawesi Tenggara,"89,85","90,01","91,21","90,89","92,05"
Gorontalo,"92,17","86,88","93,89","93,96","94,47"
Sulawesi Barat,"89,26","89,97","89,72","90,97","91,88"
,,,,,
Maluku,"84,99","88,72","90,41","90,70","91,46"
Maluku Utara,"90,77","92,38","92,10","91,64","92,74"
Papua Barat,"90,41","92,64","94,83","95,60","95,79"
Papua,"89,89","92,56","94,57","94,02","95,32"
,,,,,
Indonesia,"84,74","86,56","87,21","87,36","88,06"
