year,category,area_ha,category_type,province
2014,Oil palm,11.66964,plantations,Sulawesi Utara
2015,Fruit,1767.82772,plantations,Sulawesi Utara
2015,Fruit Mix,2.61553,plantations,Sulawesi Utara
2015,Oil palm,18.18857,plantations,Sulawesi Utara
2016,Oil palm,41.89721,plantations,Sulawesi Utara
2016,Fruit Mix,3.00016,plantations,Sulawesi Utara
2016,Fruit,927.20911,plantations,Sulawesi Utara
2017,Fruit,852.73836,plantations,Sulawesi Utara
2017,Fruit Mix,0.69235,plantations,Sulawesi Utara
2017,Oil palm,27.865479999999998,plantations,Sulawesi Utara
2018,Fruit,1391.0432799999999,plantations,Sulawesi Utara
2018,Fruit Mix,3.92329,plantations,Sulawesi Utara
2018,Oil palm,24.47695,plantations,Sulawesi Utara
2019,Fruit Mix,10.38518,plantations,Sulawesi Utara
2019,Oil palm,29.00101,plantations,Sulawesi Utara
2019,Fruit,1956.24332,plantations,Sulawesi Utara
2020,Fruit,527.9335599999999,plantations,Sulawesi Utara
2020,Fruit Mix,1.76933,plantations,Sulawesi Utara
2020,Oil palm,23.092799999999997,plantations,Sulawesi Utara
2021,Fruit,872.15699,plantations,Sulawesi Utara
2021,Fruit Mix,0.76927,plantations,Sulawesi Utara
2021,Oil palm,24.55452,plantations,Sulawesi Utara
2022,Oil palm,16.42193,plantations,Sulawesi Utara
2022,Fruit,752.18944,plantations,Sulawesi Utara
2022,Fruit Mix,1.38469,plantations,Sulawesi Utara
2023,Fruit,2121.1319999999996,plantations,Sulawesi Utara
2023,Fruit Mix,2.92324,plantations,Sulawesi Utara
2023,Oil palm,12.96821,plantations,Sulawesi Utara
2024,Fruit,567.0225700000001,plantations,Sulawesi Utara
2024,Fruit Mix,2.38474,plantations,Sulawesi Utara
2024,Oil palm,15.26737,plantations,Sulawesi Utara
2025,Fruit Mix,1.6924,plantations,Sulawesi Utara
2025,Fruit,737.67887,plantations,Sulawesi Utara
2025,Oil palm,12.428329999999999,plantations,Sulawesi Utara
2001,0,27878.48554,protected_areas,Sulawesi Tengah
2001,1,728.04026,protected_areas,Sulawesi Tengah
2001,2,248.70976000000002,protected_areas,Sulawesi Tengah
2002,0,52722.07602,protected_areas,Sulawesi Tengah
2002,1,1878.98384,protected_areas,Sulawesi Tengah
2002,2,1387.00996,protected_areas,Sulawesi Tengah
2003,0,27947.03824,protected_areas,Sulawesi Tengah
2003,1,850.1336,protected_areas,Sulawesi Tengah
2003,2,1200.7344699999999,protected_areas,Sulawesi Tengah
2004,2,1414.11982,protected_areas,Sulawesi Tengah
2004,0,66985.35879,protected_areas,Sulawesi Tengah
2004,1,2213.34807,protected_areas,Sulawesi Tengah
2005,0,30143.36351,protected_areas,Sulawesi Tengah
2005,1,1065.34617,protected_areas,Sulawesi Tengah
2005,2,461.17448,protected_areas,Sulawesi Tengah
2006,2,757.66741,protected_areas,Sulawesi Tengah
2006,0,48811.96943,protected_areas,Sulawesi Tengah
2006,1,1274.92569,protected_areas,Sulawesi Tengah
2007,2,712.43116,protected_areas,Sulawesi Tengah
2007,0,32409.28888,protected_areas,Sulawesi Tengah
2007,1,1088.01076,protected_areas,Sulawesi Tengah
2008,0,24767.72695,protected_areas,Sulawesi Tengah
2008,1,593.9641,protected_areas,Sulawesi Tengah
2008,2,142.27618999999999,protected_areas,Sulawesi Tengah
2009,0,84626.11744,protected_areas,Sulawesi Tengah
2009,1,1812.11331,protected_areas,Sulawesi Tengah
2009,2,1031.25159,protected_areas,Sulawesi Tengah
2010,1,513.9250000000001,protected_areas,Sulawesi Tengah
2010,0,32910.98167,protected_areas,Sulawesi Tengah
2010,2,315.04428,protected_areas,Sulawesi Tengah
2011,0,41643.6129,protected_areas,Sulawesi Tengah
2011,1,812.02198,protected_areas,Sulawesi Tengah
2011,2,358.74702,protected_areas,Sulawesi Tengah
2012,1,768.06789,protected_areas,Sulawesi Tengah
2012,2,631.71197,protected_areas,Sulawesi Tengah
2012,0,58151.08642,protected_areas,Sulawesi Tengah
2013,2,488.21106999999995,protected_areas,Sulawesi Tengah
2013,1,542.63797,protected_areas,Sulawesi Tengah
2013,0,47886.53293,protected_areas,Sulawesi Tengah
2014,0,85363.41341,protected_areas,Sulawesi Tengah
2014,1,1430.61359,protected_areas,Sulawesi Tengah
2014,2,905.27673,protected_areas,Sulawesi Tengah
2015,0,148406.97278,protected_areas,Sulawesi Tengah
2015,1,3191.69396,protected_areas,Sulawesi Tengah
2015,2,2569.9515800000004,protected_areas,Sulawesi Tengah
2016,2,2473.99337,protected_areas,Sulawesi Tengah
2016,1,2646.00615,protected_areas,Sulawesi Tengah
2016,0,122879.89402,protected_areas,Sulawesi Tengah
2017,0,69628.27168,protected_areas,Sulawesi Tengah
2017,1,1538.82196,protected_areas,Sulawesi Tengah
2017,2,828.0399900000001,protected_areas,Sulawesi Tengah
2018,0,68635.08529,protected_areas,Sulawesi Tengah
2018,1,1755.08366,protected_areas,Sulawesi Tengah
2018,2,944.34478,protected_areas,Sulawesi Tengah
2019,1,1614.52038,protected_areas,Sulawesi Tengah
2019,2,1040.85144,protected_areas,Sulawesi Tengah
2019,0,90029.9188,protected_areas,Sulawesi Tengah
2020,0,45121.58759,protected_areas,Sulawesi Tengah
2020,1,1065.76713,protected_areas,Sulawesi Tengah
2020,2,736.95117,protected_areas,Sulawesi Tengah
