is__umd_tree_cover_gain,area__ha,province
false,22362665.03536,Sulawesi Utara
true,3636.43141,Sulawesi Utara
false,30378230.22503,Sulawesi Tengah
true,72132.85039,Sulawesi Tengah
false,23520296.45481,Sulawesi Selatan
true,67614.86561,Sulawesi Selatan
false,12836694.0046,Sulawesi Tenggara
true,47690.50674,Sulawesi Tenggara
false,2946790.16658,Gorontalo
true,6930.91392,Gorontalo
false,5505156.51998,Sulawesi Barat
true,29971.2785,Sulawesi Barat
