umd_tree_cover_loss__year,esa_land_cover_2015__class,area__ha,province,year
2021,Grassland,8.22067,Sulawesi Utara,2021.0
2021,Settlement,0.38446,Sulawesi Utara,2021.0
2021,Water,19.526519999999998,Sulawesi Utara,2021.0
2022,Agriculture,1949.48349,Sulawesi Utara,2022.0
2022,Forest,3.22197,Sulawesi Utara,2022.0
2022,Grassland,8.4434,Sulawesi Utara,2022.0
2022,Settlement,0.61513,Sulawesi Utara,2022.0
2022,Water,16.14115,Sulawesi Utara,2022.0
2023,Agriculture,4311.7559,Sulawesi Utara,2023.0
2023,Forest,3.30239,Sulawesi Utara,2023.0
2023,Grassland,15.29552,Sulawesi Utara,2023.0
2023,Settlement,0.99959,Sulawesi Utara,2023.0
2023,Water,62.52342,Sulawesi Utara,2023.0
2024,Agriculture,2657.17163,Sulawesi Utara,2024.0
2024,Forest,6.76532,Sulawesi Utara,2024.0
2024,Grassland,14.743269999999999,Sulawesi Utara,2024.0
2024,Water,329.55038,Sulawesi Utara,2024.0
2025,Agriculture,2109.50327,Sulawesi Utara,2025.0
2025,Forest,0.23036,Sulawesi Utara,2025.0
2025,Grassland,6.22213,Sulawesi Utara,2025.0
2025,Water,12.98994,Sulawesi Utara,2025.0
null,Agriculture,966535.42822,Sulawesi Utara,
null,Forest,5517.80058,Sulawesi Utara,
null,Grassland,11858.78614,Sulawesi Utara,
null,Settlement,764.30257,Sulawesi Utara,
null,Water,20994956.28948,Sulawesi Utara,
2001,Agriculture,19337.52831,Sulawesi Tengah,2001.0
2001,Forest,424.31732,Sulawesi Tengah,2001.0
2001,Grassland,230.61787,Sulawesi Tengah,2001.0
2001,Permanent snow and ice,0.07693,Sulawesi Tengah,2001.0
2001,Settlement,2.22811,Sulawesi Tengah,2001.0
2001,Water,153.32999,Sulawesi Tengah,2001.0
2002,Agriculture,38305.77349,Sulawesi Tengah,2002.0
2002,Forest,391.51034999999996,Sulawesi Tengah,2002.0
2002,Grassland,1255.9332200000001,Sulawesi Tengah,2002.0
2002,Settlement,2.76564,Sulawesi Tengah,2002.0
2002,Water,143.46828,Sulawesi Tengah,2002.0
2003,Agriculture,21318.92926,Sulawesi Tengah,2003.0
2003,Forest,167.98328,Sulawesi Tengah,2003.0
2003,Grassland,1000.65578,Sulawesi Tengah,2003.0
2003,Settlement,8.14296,Sulawesi Tengah,2003.0
2003,Water,77.41893999999999,Sulawesi Tengah,2003.0
2004,Agriculture,48006.2746,Sulawesi Tengah,2004.0
2004,Forest,568.65587,Sulawesi Tengah,2004.0
2004,Grassland,851.78861,Sulawesi Tengah,2004.0
2004,Permanent snow and ice,0.07693,Sulawesi Tengah,2004.0
2004,Settlement,20.97325,Sulawesi Tengah,2004.0
2004,Water,276.30123,Sulawesi Tengah,2004.0
2005,Agriculture,22321.70494,Sulawesi Tengah,2005.0
2005,Forest,266.4198,Sulawesi Tengah,2005.0
