Scientific Name,Common Name,Status,Population Trend,Mining Threat
"Babyrousa babyrussa","Hairy Babirusa","Vulnerable","Decreasing","No"
"Bubalus depressicornis","Lowland Anoa","Endangered","Decreasing","Yes"
"Bubalus quarlesi","Mountain Anoa","Endangered","Decreasing","Yes"
"Macaca nigra","Celebes Crested Macaque","Critically Endangered","Decreasing","Yes"
"Macrocephalon maleo","Maleo","Critically Endangered","Decreasing","No"
"Tarsius tarsier","Spectral Tarsier","Vulnerable","Decreasing","No"
