wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Sulawesi Utara,7100,Tidak ada,2015,49681714.34,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2015,50217998.41,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2015,53635083.73,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tenggara,7400,Tidak ada,2015,44406144.72,1344,Nilai Tambah Pertanian per TK Pertanian
Gorontalo,7500,Tidak ada,2015,62963958.31,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Barat,7600,Tidak ada,2015,44593615.69,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Utara,7100,Tidak ada,2016,82469708.59,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Utara,7100,Tidak ada,2017,87863674.76,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2016,58379028.36,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2017,60753681.79,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2016,63482699.18,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2017,67374646.07,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tenggara,7400,Tidak ada,2016,54795443.67,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tenggara,7400,Tidak ada,2017,60489782.75,1344,Nilai Tambah Pertanian per TK Pertanian
Gorontalo,7500,Tidak ada,2016,67849728.87,1344,Nilai Tambah Pertanian per TK Pertanian
Gorontalo,7500,Tidak ada,2017,78538009.6,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Barat,7600,Tidak ada,2016,49700457.07,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Barat,7600,Tidak ada,2017,50730017.32,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Utara,7100,Tidak ada,2018,77633466.9,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Utara,7100,Tidak ada,2019,81806694.63,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2018,70143912.08,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2019,70864028.39,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2018,75472191.25,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2019,73094626.3,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tenggara,7400,Tidak ada,2018,66597933.78,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tenggara,7400,Tidak ada,2019,69038358.48,1344,Nilai Tambah Pertanian per TK Pertanian
Gorontalo,7500,Tidak ada,2018,84553260.32,1344,Nilai Tambah Pertanian per TK Pertanian
Gorontalo,7500,Tidak ada,2019,89919293.68,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Barat,7600,Tidak ada,2018,61617669.81,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Barat,7600,Tidak ada,2019,62224227.21,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Utara,7100,Tidak ada,2020,84330002.0,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Utara,7100,Tidak ada,2021,106417957.89,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2020,65727944.0,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2021,73883027.28,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2020,68677992.0,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2021,78886358.25,1344,Nilai Tambah Pertanian per TK Pertanian
