province,year,driver,area_ha,co2_emissions_mg,is_primary
Sulawesi Utara,2019,Unknown,13.836500000000001,9795.37423,
Sulawesi Utara,2019,Urbanization,311.27613,149179.26589,
Sulawesi Utara,2020,Commodity driven deforestation,102903.14087,64641903.58034,
Sulawesi Utara,2020,Forestry,4993.07415,3089370.64468,
Sulawesi Utara,2020,Shifting agriculture,189.3081,97191.98298999999,
Sulawesi Utara,2020,Unknown,35.18472,21673.90103,
Sulawesi Utara,2020,Urbanization,245.97881,117713.28727,
Sulawesi Utara,2021,Commodity driven deforestation,73460.46513,44809008.32382,
Sulawesi Utara,2021,Forestry,4271.21883,2506827.69862,
Sulawesi Utara,2021,Shifting agriculture,43.94754,19588.03908,
Sulawesi Utara,2021,Unknown,1.92079,1491.88834,
Sulawesi Utara,2021,Urbanization,88.88116,42911.12213,
Sulawesi Utara,2022,Commodity driven deforestation,84098.55149,49923744.20786,
Sulawesi Utara,2022,Forestry,3579.41972,2180871.57282,
Sulawesi Utara,2022,Shifting agriculture,35.34021,15972.85445,
Sulawesi Utara,2022,Unknown,13.599590000000001,11942.70163,
Sulawesi Utara,2022,Urbanization,85.11697,42718.6463,
Sulawesi Utara,2023,Commodity driven deforestation,132468.34617,76033130.57722,
Sulawesi Utara,2023,Forestry,6501.32423,3842279.18698,
Sulawesi Utara,2023,Shifting agriculture,102.19325,44067.79434,
Sulawesi Utara,2023,Unknown,1.69015,1397.13412,
Sulawesi Utara,2023,Urbanization,164.93333,84313.40001,
Sulawesi Selatan,2001,Commodity driven deforestation,12612.23066,7353564.83976,
Sulawesi Selatan,2001,Forestry,2329.70612,1661871.9017699999,
Sulawesi Selatan,2001,Shifting agriculture,59.92633,40934.34407,
Sulawesi Selatan,2001,Unknown,18.226309999999998,12905.21341,
Sulawesi Selatan,2001,Urbanization,13.07763,8706.05897,
Sulawesi Selatan,2002,Commodity driven deforestation,11870.88976,8550706.449959999,
Sulawesi Selatan,2002,Forestry,3404.53601,2419152.69254,
Sulawesi Selatan,2002,Shifting agriculture,55.07991,38549.65249,
Sulawesi Selatan,2002,Unknown,22.06715,14918.9896,
Sulawesi Selatan,2002,Urbanization,13.61612,9230.40607,
Sulawesi Selatan,2003,Commodity driven deforestation,7992.47742,5745082.42306,
Sulawesi Selatan,2003,Forestry,1777.5683,1197486.05226,
Sulawesi Selatan,2003,Shifting agriculture,18.0779,11274.94263,
Sulawesi Selatan,2003,Unknown,9.15068,5694.62928,
Sulawesi Selatan,2003,Urbanization,7.07731,4927.82201,
Sulawesi Selatan,2004,Commodity driven deforestation,22273.01757,16878458.700039998,
Sulawesi Selatan,2004,Forestry,4194.4068800000005,2817046.23879,
Sulawesi Selatan,2004,Shifting agriculture,40.84837,26073.49302,
Sulawesi Selatan,2004,Unknown,16.84161,9661.81179,
Sulawesi Selatan,2004,Urbanization,14.30847,10137.27747,
Sulawesi Selatan,2005,Commodity driven deforestation,22763.63805,19048365.934299998,
Sulawesi Selatan,2005,Forestry,6225.37332,4412427.66532,
Sulawesi Selatan,2005,Shifting agriculture,180.3944,131884.10125,
Sulawesi Selatan,2005,Unknown,31.29177,19162.619749999998,
Sulawesi Selatan,2005,Urbanization,51.31047,35782.3765,
Sulawesi Selatan,2006,Commodity driven deforestation,27779.40973,20549436.161229998,
Sulawesi Selatan,2006,Forestry,4701.63412,3413888.17872,
Sulawesi Selatan,2006,Shifting agriculture,138.46905,105744.67744,
Sulawesi Selatan,2006,Unknown,24.53156,15706.13587,
Sulawesi Selatan,2006,Urbanization,70.92692,55560.17929,
Sulawesi Selatan,2007,Commodity driven deforestation,26473.24864,19985785.37309,
Sulawesi Selatan,2007,Forestry,5022.16172,3597897.90293,
Sulawesi Selatan,2007,Shifting agriculture,99.69771,70289.00795,
Sulawesi Selatan,2007,Unknown,13.61285,8926.05025,
Sulawesi Selatan,2007,Urbanization,33.38643,23345.27354,
Sulawesi Selatan,2008,Commodity driven deforestation,27580.59001,20570007.19123,
Sulawesi Selatan,2008,Forestry,6220.99778,4653717.81371,
Sulawesi Selatan,2008,Shifting agriculture,160.00868,118079.43764,
Sulawesi Selatan,2008,Unknown,13.45763,8737.68021,
Sulawesi Selatan,2008,Urbanization,36.77122,24575.32784,
Sulawesi Selatan,2009,Commodity driven deforestation,31590.02745,23171683.393290002,
Sulawesi Selatan,2009,Forestry,8557.75722,6055005.21741,
Sulawesi Selatan,2009,Shifting agriculture,300.63168,207872.79527,
Sulawesi Selatan,2009,Unknown,37.29657,22906.28395,
Sulawesi Selatan,2009,Urbanization,48.8488,35706.48998,
Sulawesi Selatan,2010,Commodity driven deforestation,17637.15109,12268610.799679998,
Sulawesi Selatan,2010,Forestry,4983.09182,3516208.31356,
Sulawesi Selatan,2010,Shifting agriculture,166.8552,122349.85485,
Sulawesi Selatan,2010,Unknown,43.75973,28490.71534,
Sulawesi Selatan,2010,Urbanization,67.69598,47370.83944,
Sulawesi Selatan,2011,Commodity driven deforestation,35886.6195,26201156.94182,
Sulawesi Selatan,2011,Forestry,6435.0201799999995,4723150.11223,
Sulawesi Selatan,2011,Shifting agriculture,165.47051,122401.7499,
Sulawesi Selatan,2011,Unknown,30.29568,18781.9553,
Sulawesi Selatan,2011,Urbanization,21.38577,14932.80493,
Sulawesi Selatan,2012,Commodity driven deforestation,29728.21851,23242488.20581,
Sulawesi Selatan,2012,Forestry,6539.09199,4963586.35347,
Sulawesi Selatan,2012,Shifting agriculture,148.54652,110626.21598,
Sulawesi Selatan,2012,Unknown,36.51878,23992.23413,
Sulawesi Selatan,2012,Urbanization,54.46449,40406.38433,
Sulawesi Selatan,2013,Commodity driven deforestation,18960.61908,13448336.53375,
Sulawesi Selatan,2013,Forestry,3378.86256,2360619.14773,
Sulawesi Selatan,2013,Shifting agriculture,51.54126,38133.08285,
Sulawesi Selatan,2013,Unknown,23.22624,15476.23081,
Sulawesi Selatan,2013,Urbanization,20.6165,13533.56189,
Sulawesi Selatan,2014,Commodity driven deforestation,25686.5979,15738178.84388,
Sulawesi Selatan,2014,Forestry,4778.53481,3407661.38735,
Sulawesi Selatan,2014,Shifting agriculture,66.84978,50555.64065,
Sulawesi Selatan,2014,Unknown,19.686989999999998,13399.02498,
Sulawesi Selatan,2014,Urbanization,39.15597,26794.53872,
Sulawesi Selatan,2015,Commodity driven deforestation,19836.44367,12511146.98908,
Sulawesi Selatan,2015,Forestry,2599.35408,1866913.33753,
Sulawesi Selatan,2015,Shifting agriculture,44.07931,32704.91225,
Sulawesi Selatan,2015,Unknown,12.91615,9010.57127,
Sulawesi Selatan,2015,Urbanization,20.77036,14760.47251,
Sulawesi Selatan,2016,Commodity driven deforestation,31087.62499,19694538.87783,
Sulawesi Selatan,2016,Forestry,7693.88393,5241516.23052,
Sulawesi Selatan,2016,Shifting agriculture,142.0077,100451.19814,
Sulawesi Selatan,2016,Unknown,81.51089,57834.70418000001,
Sulawesi Selatan,2016,Urbanization,156.62388,111225.66251,
Sulawesi Selatan,2017,Commodity driven deforestation,41347.54976,26043955.816800002,
Sulawesi Selatan,2017,Forestry,9898.6428,6645670.4339000005,
Sulawesi Selatan,2017,Shifting agriculture,94.92822,66349.58478,
Sulawesi Selatan,2017,Unknown,55.373149999999995,40013.76541,
Sulawesi Selatan,2017,Urbanization,83.61992,56394.92445,
Sulawesi Selatan,2018,Commodity driven deforestation,30355.41372,17852106.78505,
Sulawesi Selatan,2018,Forestry,6853.13969,4512699.67226,
Sulawesi Selatan,2018,Shifting agriculture,83.23528,59830.4999,
Sulawesi Selatan,2018,Unknown,18.22417,12356.986640000001,
Sulawesi Selatan,2018,Urbanization,83.31221,59798.10631,
Sulawesi Selatan,2019,Commodity driven deforestation,25249.04831,13566203.162870001,
Sulawesi Selatan,2019,Forestry,5599.88673,3872570.08785,
Sulawesi Selatan,2019,Shifting agriculture,39.84831,28414.46844,
Sulawesi Selatan,2019,Unknown,26.3782,19729.59894,
Sulawesi Selatan,2019,Urbanization,63.69576,44846.73676,
Sulawesi Selatan,2020,Commodity driven deforestation,24812.93816,10327561.04357,
Sulawesi Selatan,2020,Forestry,5442.1395,3711024.8301600004,
Sulawesi Selatan,2020,Shifting agriculture,77.46574,55310.90087,
Sulawesi Selatan,2020,Unknown,31.915020000000002,22919.52768,
Sulawesi Selatan,2020,Urbanization,116.39093,81248.72748,
Sulawesi Selatan,2021,Commodity driven deforestation,29166.62516,14281898.74322,
Sulawesi Selatan,2021,Forestry,6328.33406,4338783.43965,
Sulawesi Selatan,2021,Shifting agriculture,145.85406,100772.75856,
Sulawesi Selatan,2021,Unknown,56.67116,40977.6491,
Sulawesi Selatan,2021,Urbanization,126.23761,90502.13163,
Sulawesi Selatan,2022,Commodity driven deforestation,29644.00653,17231065.05016,
Sulawesi Selatan,2022,Forestry,5597.98792,3683365.96019,
Sulawesi Selatan,2022,Shifting agriculture,100.46699,68073.26091,
