power_unit_key,cluster_id,node_label,plant_name,unit_name,owner,parent,capacity_mw,status,start_year,province,local_area,captive_industry_use,source_dataset,cluster_key
PLTU-0018,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Mining power station,Phase II Unit 1,PT Indonesia Guang Ching Nickel and Stainless Steel Industry [100%],Guangdong Guangxin Holdings Group,150.0,operating,2016.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0019,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Mining power station,Phase I Unit 1,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],65.0,operating,2015.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0020,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Sulawesi Mining power station,Phase I Unit 2,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],65.0,operating,2015.0,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0021,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Qingdao Zhongsheng captive power station,Unit 3,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,cancelled,,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0022,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Qingdao Zhongsheng captive power station,Unit 4,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,cancelled,,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0023,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Qingdao Zhongsheng captive power station,Unit 5,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,cancelled,,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0024,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,Qingdao Zhongsheng captive power station,Unit 6,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,cancelled,,Sulawesi Tengah,Morowali,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-001
PLTU-0025,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase IV power station,Unit 3,PT Nadesico Nickel Industry,Jiangsu Delong Nickel Industry Co Ltd; Tongren Zhongwei Hongling No. 1 Enterprise Management Consulting Partnership LP; Zhongwei Hong Kong Zhengbang New Energy Co Ltd; Zhongwei Hong Kong Zhenghong New Energy Co Ltd,330.0,operating,2024.0,Sulawesi Tengah,,,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0026,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 07,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2023.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0027,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 02,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0028,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 03,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0029,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 04,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
