power_unit_key,cluster_id,node_label,plant_name,unit_name,owner,parent,capacity_mw,status,start_year,province,local_area,captive_industry_use,source_dataset,cluster_key
PLTU-0074,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 02,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0075,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 03,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0076,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase I power station,Unit 3,PT Virtue Dragon Nickel Industry [100%],unknown,50.0,operating,2019.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0077,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase I power station,Unit 4,PT Virtue Dragon Nickel Industry [100%],unknown,50.0,operating,2019.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0078,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase I power station,Unit 5,PT Virtue Dragon Nickel Industry [100%],unknown,60.0,operating,2019.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0079,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase I power station,Unit 6,PT Virtue Dragon Nickel Industry [100%],unknown,60.0,operating,2019.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0080,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase I power station,Unit 1,PT Virtue Dragon Nickel Industry [100%],unknown,30.0,operating,2018.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0081,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase I power station,Unit 2,PT Virtue Dragon Nickel Industry [100%],unknown,30.0,operating,2018.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0082,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase I power station,Unit 7,PT Virtue Dragon Nickel Industry [100%],unknown,125.0,operating,2018.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0083,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase I power station,Unit 8,PT Virtue Dragon Nickel Industry [100%],unknown,125.0,operating,2018.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0084,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 08,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,150.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0085,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 09,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0086,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 10,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0087,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 11,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0088,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 12,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0089,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase IV power station,Unit 2,PT Nadesico Nickel Industry,Jiangsu Delong Nickel Industry Co Ltd; Tongren Zhongwei Hongling No. 1 Enterprise Management Consulting Partnership LP; Zhongwei Hong Kong Zhengbang New Energy Co Ltd; Zhongwei Hong Kong Zhenghong New Energy Co Ltd,330.0,construction,,Sulawesi Tengah,,,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0090,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 11,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,cancelled,,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0091,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 07,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2023.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0092,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 02,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0093,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 03,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0094,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 04,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0095,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 05,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0096,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 06,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0097,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 09,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,operating,2022.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0098,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 01,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2021.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0099,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 04,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0100,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 05,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0101,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 06,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0102,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 07,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0103,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 08,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0104,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 10,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0105,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 01,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0106,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 02,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0107,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 03,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0108,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 08,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,150.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0109,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 09,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0110,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 10,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0111,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 11,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0112,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase III power station,Unit 12,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0113,NODE-SULTRA-KONAWE-OSS,Simpul logistik Konawe-OSS,Delong Nickel Phase II power station,Unit 11,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,cancelled,,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-004
PLTU-0114,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Simpul logistik Pomalaa-ANTAM,Pomalaa Nickel power station,Unit S1,PT Aneka Tambang Tbk [100%],PT Aneka Tambang Tbk [100.0%],30.0,operating,2016.0,Sulawesi Tenggara,,,data/processed/sulawesi_pltu_captive.csv,CLUSTER-005
PLTU-0115,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,Simpul logistik Pomalaa-ANTAM,Pomalaa Nickel power station,Unit S2,PT Aneka Tambang Tbk [100%],PT Aneka Tambang Tbk [100.0%],30.0,operating,2016.0,Sulawesi Tenggara,,,data/processed/sulawesi_pltu_captive.csv,CLUSTER-005
