company_key,company_norm,company_name
COMP-0112,MOROWALI BANGKIT SEJAHTERA,MOROWALI BANGKIT SEJAHTERA
COMP-0113,MOROWALI NUSANTARA MINERAL,MOROWALI NUSANTARA MINERAL
COMP-0114,MULIA JAYA MOROWALI,MULIA JAYA MOROWALI
COMP-0115,MUTIA KARYA MANDIRI,MUTIA KARYA MANDIRI
COMP-0116,MUTIARA SELATAN,MUTIARA SELATAN
COMP-0117,NATURAL PERSADA MOROWALI,NATURAL PERSADA MOROWALI
COMP-0118,NOVUS BUMI PERSADA,NOVUS BUMI PERSADA
COMP-0119,PALEWAI REZEKI PAMMASE,PALEWAI REZEKI PAMMASE
COMP-0120,PANORAMA FATUTOKO GRUP,PANORAMA FATUTOKO GRUP
COMP-0121,PENINSULA KAPUR PRIMA,PENINSULA KAPUR PRIMA
COMP-0122,PRIMA BERKAT MINERAL,PRIMA BERKAT MINERAL
COMP-0123,PRIMA MINERAL ABADI,PRIMA MINERAL ABADI
COMP-0124,PRIMA MOROWALI SEJAHTERA,PRIMA MOROWALI SEJAHTERA
COMP-0125,PUTRA SEJAHTERA MEMBANGUN,PUTRA SEJAHTERA MEMBANGUN
COMP-0126,REZKY UTAMA JAYA,REZKY UTAMA JAYA
COMP-0127,SAMUDRA LIMESTONE ABADI,SAMUDRA LIMESTONE ABADI
COMP-0128,SANDY KARYA MOROWALI,SANDY KARYA MOROWALI
COMP-0129,SULAWESI UTAMA MANDIRI,SULAWESI UTAMA MANDIRI
COMP-0130,SUMBER GLORI MAKMUR,SUMBER GLORI MAKMUR
COMP-0131,TAMA OTOLU METUTUAI,TAMA OTOLU METUTUAI
COMP-0132,TERA LIMESTONE SEJAHTERA,TERA LIMESTONE SEJAHTERA
COMP-0133,WIKA MANUNGGAL PERKASA,WIKA MANUNGGAL PERKASA
COMP-0134,ANEKA USAHA CEMERLANG,ANEKA USAHA CEMERLANG
COMP-0135,ARTHA BUMI MINERAL,ARTHA BUMI MINERAL
COMP-0136,AULIA PRIMA PERKASA,AULIA PRIMA PERKASA
COMP-0137,BHAKTIPUTRA PERSADA NUSANTARA,BHAKTIPUTRA PERSADA NUSANTARA
COMP-0138,BUKIT MAKMUR ISTINDO NIKELTAMA,BUKIT MAKMUR ISTINDO NIKELTAMA
COMP-0139,BUMI INDAH SULTRA,BUMI INDAH SULTRA
COMP-0140,CAHAYA MURNI SEJAHTERA,CAHAYA MURNI SEJAHTERA
COMP-0141,CIPTA HUTAMA MARANTI,CIPTA HUTAMA MARANTI
COMP-0142,COCOMAN,COCOMAN
COMP-0143,ENERSTEEL,ENERSTEEL
COMP-0144,GEMA RIPAH PRATAMA,GEMA RIPAH PRATAMA
COMP-0145,GHANESA WANA UTAMA,GHANESA WANA UTAMA
COMP-0146,GUNUNG WANGI NIKELINDO,GUNUNG WANGI NIKELINDO
COMP-0147,HALMAHERA INTERNATIONAL RESOURCES,HALMAHERA INTERNATIONAL RESOURCES
COMP-0148,HOFFMEN INTERNATIONAL,HOFFMEN INTERNATIONAL
COMP-0149,ITAMATRA NUSANTARA,ITAMATRA NUSANTARA
COMP-0150,KEINZ VENTURA,KEINZ VENTURA
COMP-0151,LUWUK GAS SEJATI,LUWUK GAS SEJATI
COMP-0152,MULIA PACIFIC RESOURCES,MULIA PACIFIC RESOURCES
COMP-0153,PALU BARUGA YAKU,PALU BARUGA YAKU
COMP-0154,PINHARD INDONESIA,PINHARD INDONESIA
COMP-0155,PUTRI PERDANA,PUTRI PERDANA
COMP-0156,REZKY UTAMA,REZKY UTAMA
COMP-0157,SARANA MINERALINDO PERKASA,SARANA MINERALINDO PERKASA
COMP-0158,SINAR KARYAGAMMA PRIMATAMA,SINAR KARYAGAMMA PRIMATAMA
