permit_key,cluster_id,node_label,nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,is_core_nickel,tahap_kegiatan,provinsi,lokasi_perizinan,tahun,luas_ha,source_dataset,cluster_key
PERMIT-0016,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,CAHAYA ALAM MAKMUR,20082100046070004,Perusahaan Komanditer (CV),Pasir,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,42.71,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0017,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,CAHAYA MINERAL INDUSTRI,28112200644180003,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,26.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0018,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,CAHAYA MINERAL SEJAHTERA,05102100288720004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,41.8,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0019,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,CALMONA PRIMA JAYA,21022200116120003,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,193.72,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0020,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,CETARA BANGUN PERSADA,1163/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2021,199.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0021,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,CETARA KARYA PERKASA,01032300525050012,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,tidak,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI,2023,99.43,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0022,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,CITRA ANGGUN BARATAMA,1127/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,6080.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0023,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,DAMPALA SEJAHTERA BERSAMA,12150004206640018,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,12.55,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0024,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,DELAPAN INTI POWER,28/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,4941.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0025,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,DENMAR JAYA MANDIRI,12540014224460008,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,73.53,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0026,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,DUA SAUDARA NIKELINDO,33/1/iup/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,1535.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0027,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,DUTA SARANA MINERAL,01082300816630001,Perusahaan Perseroan Terbatas (PT),Tanah Urug,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,16.13,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0028,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,FADLAN MULIA JAYA,1303/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2021,199.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0029,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,FINARA RAMA MOROWALI,26102200016850003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2023,80.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
PERMIT-0030,NODE-SULTENG-MOROWALI-IMIP,Simpul logistik pesisir IMIP-Bahodopi,GENBA MULTI MINERAL,1/I/IUP/PMA/2016,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2016,3744.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-001
