Provinsi,Tahun,Faktor_Pendorong,Luas_Deforestasi_Ha,Emisi_CO2_Megagram,Hutan_Primer
Sulawesi Barat,2021,Pertanian Berpindah,663.26705,450826.30738,Tidak/Tidak Diketahui
Sulawesi Barat,2021,Tidak Diketahui,7.99673,5099.24028,Tidak/Tidak Diketahui
Sulawesi Barat,2022,Deforestasi Komoditas (Tambang/Sawit),7694.155489999999,5339026.75375,Tidak/Tidak Diketahui
Sulawesi Barat,2022,Kehutanan,1691.3820299999998,1169461.58839,Tidak/Tidak Diketahui
Sulawesi Barat,2022,Pertanian Berpindah,646.28975,462118.80752,Tidak/Tidak Diketahui
Sulawesi Barat,2022,Tidak Diketahui,9.99449,6964.70212,Tidak/Tidak Diketahui
Sulawesi Barat,2023,Deforestasi Komoditas (Tambang/Sawit),12218.76671,8219502.18871,Tidak/Tidak Diketahui
Sulawesi Barat,2023,Kehutanan,2084.91098,1365573.73767,Tidak/Tidak Diketahui
Sulawesi Barat,2023,Pertanian Berpindah,389.70972,267120.95061,Tidak/Tidak Diketahui
Sulawesi Barat,2023,Tidak Diketahui,4.38203,3379.93964,Tidak/Tidak Diketahui
Sulawesi Selatan,2014,Deforestasi Komoditas (Tambang/Sawit),18006.95371243557,11929619.62387987,Tidak/Tidak Diketahui
Sulawesi Selatan,2014,Kehutanan,255.0572237907356,169578.3987390696,Tidak/Tidak Diketahui
Sulawesi Selatan,2014,Pertanian Berpindah,2188.7661300834825,1418681.321764141,Tidak/Tidak Diketahui
Sulawesi Selatan,2014,Tidak Diketahui,1024.9218321900648,593300.2399754063,Tidak/Tidak Diketahui
Sulawesi Selatan,2015,Deforestasi Komoditas (Tambang/Sawit),19970.39740774096,13700844.863633508,Tidak/Tidak Diketahui
Sulawesi Selatan,2015,Kehutanan,559.6850742730355,385700.26804853487,Tidak/Tidak Diketahui
Sulawesi Selatan,2015,Pertanian Berpindah,3162.8709540622967,2041171.4419908496,Tidak/Tidak Diketahui
Sulawesi Selatan,2015,Tidak Diketahui,4387.7012279474,2517302.4756833017,Tidak/Tidak Diketahui
Sulawesi Selatan,2016,Deforestasi Komoditas (Tambang/Sawit),19396.756068017567,13533448.600046678,Tidak/Tidak Diketahui
Sulawesi Selatan,2016,Kehutanan,963.5393538984482,680765.4778499075,Tidak/Tidak Diketahui
Sulawesi Selatan,2016,Pertanian Berpindah,4104.250102589003,2818067.3284135927,Tidak/Tidak Diketahui
Sulawesi Selatan,2016,Tidak Diketahui,6421.107168910432,3104035.415431223,Tidak/Tidak Diketahui
Sulawesi Selatan,2017,Deforestasi Komoditas (Tambang/Sawit),18355.52788330271,11816800.737452082,Tidak/Tidak Diketahui
Sulawesi Selatan,2017,Kehutanan,645.3835168480331,465599.8927138353,Tidak/Tidak Diketahui
Sulawesi Selatan,2017,Pertanian Berpindah,3569.521611765704,2369980.752925669,Tidak/Tidak Diketahui
Sulawesi Selatan,2017,Tidak Diketahui,1479.558756771028,991814.6144559728,Tidak/Tidak Diketahui
Sulawesi Selatan,2018,Deforestasi Komoditas (Tambang/Sawit),15653.19270246514,9908634.702295983,Tidak/Tidak Diketahui
Sulawesi Selatan,2018,Kehutanan,463.1374425745853,334252.289069751,Tidak/Tidak Diketahui
Sulawesi Selatan,2018,Pertanian Berpindah,2601.450997873674,1659395.397641956,Tidak/Tidak Diketahui
Sulawesi Selatan,2018,Tidak Diketahui,724.674682895328,475245.5400325418,Tidak/Tidak Diketahui
Sulawesi Selatan,2019,Deforestasi Komoditas (Tambang/Sawit),19512.57377919149,11972660.58433552,Tidak/Tidak Diketahui
Sulawesi Selatan,2019,Kehutanan,401.2075953757176,291957.2127961402,Tidak/Tidak Diketahui
Sulawesi Selatan,2019,Pertanian Berpindah,2256.47732383962,1422581.5855281942,Tidak/Tidak Diketahui
Sulawesi Selatan,2019,Tidak Diketahui,754.7240454707076,430174.624490577,Tidak/Tidak Diketahui
Sulawesi Selatan,2020,Deforestasi Komoditas (Tambang/Sawit),10604.226873670876,6957368.874551968,Tidak/Tidak Diketahui
Sulawesi Selatan,2020,Kehutanan,342.84389823055415,240664.3455508608,Tidak/Tidak Diketahui
Sulawesi Selatan,2020,Pertanian Berpindah,1778.2269528085767,1145163.8953490625,Tidak/Tidak Diketahui
Sulawesi Selatan,2020,Tidak Diketahui,1542.3541559678251,905380.6147722972,Tidak/Tidak Diketahui
Sulawesi Selatan,2021,Deforestasi Komoditas (Tambang/Sawit),7839.867751415439,5274198.118796961,Tidak/Tidak Diketahui
Sulawesi Selatan,2021,Kehutanan,153.73174787793096,110374.06860108887,Tidak/Tidak Diketahui
Sulawesi Selatan,2021,Pertanian Berpindah,1512.1417879126293,1023632.9039320644,Tidak/Tidak Diketahui
Sulawesi Selatan,2021,Tidak Diketahui,737.6973856943995,485969.48803320737,Tidak/Tidak Diketahui
Sulawesi Selatan,2022,Deforestasi Komoditas (Tambang/Sawit),13416.233846195491,8955843.48289711,Tidak/Tidak Diketahui
Sulawesi Selatan,2022,Kehutanan,284.81596298971,211417.93738332536,Tidak/Tidak Diketahui
Sulawesi Selatan,2022,Pertanian Berpindah,1649.951996462337,1106955.117521014,Tidak/Tidak Diketahui
Sulawesi Selatan,2022,Tidak Diketahui,591.9178878915334,391036.0934598824,Tidak/Tidak Diketahui
Sulawesi Selatan,2023,Deforestasi Komoditas (Tambang/Sawit),23291.483124780763,14505281.28032652,Tidak/Tidak Diketahui
Sulawesi Selatan,2023,Kehutanan,599.1162450626501,431412.75666424254,Tidak/Tidak Diketahui
Sulawesi Selatan,2023,Pertanian Berpindah,2528.297403541762,1611123.9217197269,Tidak/Tidak Diketahui
Sulawesi Selatan,2023,Tidak Diketahui,531.1857586680119,338391.8014005539,Tidak/Tidak Diketahui
Sulawesi Tengah,2014,Deforestasi Komoditas (Tambang/Sawit),39237.27405,26735015.72485,Tidak/Tidak Diketahui
Sulawesi Tengah,2014,Kehutanan,5309.152,3588651.89152,Tidak/Tidak Diketahui
Sulawesi Tengah,2014,Pertanian Berpindah,1966.72422,1503758.17702,Tidak/Tidak Diketahui
Sulawesi Tengah,2014,Tidak Diketahui,76.29884,48964.77731,Tidak/Tidak Diketahui
Sulawesi Tengah,2015,Deforestasi Komoditas (Tambang/Sawit),78831.23030000001,49340720.46933,Tidak/Tidak Diketahui
Sulawesi Tengah,2015,Kehutanan,10480.86071,6284642.9707,Tidak/Tidak Diketahui
Sulawesi Tengah,2015,Pertanian Berpindah,2284.47985,1549755.9619,Tidak/Tidak Diketahui
Sulawesi Tengah,2015,Tidak Diketahui,122.05167,71632.50474,Tidak/Tidak Diketahui
Sulawesi Tengah,2016,Deforestasi Komoditas (Tambang/Sawit),62065.2169,34240510.79046,Tidak/Tidak Diketahui
Sulawesi Tengah,2016,Kehutanan,9271.83476,5255726.4513,Tidak/Tidak Diketahui
Sulawesi Tengah,2016,Pertanian Berpindah,2585.3404,1573260.78252,Tidak/Tidak Diketahui
Sulawesi Tengah,2016,Tidak Diketahui,105.4329,59995.5895,Tidak/Tidak Diketahui
Sulawesi Tengah,2017,Deforestasi Komoditas (Tambang/Sawit),31070.20898,21098163.30977,Tidak/Tidak Diketahui
Sulawesi Tengah,2017,Kehutanan,4500.69543,3165837.48003,Tidak/Tidak Diketahui
Sulawesi Tengah,2017,Pertanian Berpindah,1182.19857,826042.1577999999,Tidak/Tidak Diketahui
Sulawesi Tengah,2017,Tidak Diketahui,89.6733,61594.89724,Tidak/Tidak Diketahui
Sulawesi Tengah,2018,Deforestasi Komoditas (Tambang/Sawit),32250.1039,21699405.50613,Tidak/Tidak Diketahui
Sulawesi Tengah,2018,Kehutanan,4299.01364,2953801.16241,Tidak/Tidak Diketahui
