provinsi,tahun,indikator,nilai,Sumber
Sulawesi Selatan,2016,Kasus Kusta Baru,1124,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2016,Kasus Kusta Baru,317,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2016,Kasus Kusta Baru,329,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2016,Kasus Kusta Baru,379,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2016,Kasus Malaria Positif,176,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2016,Kasus Malaria Positif,119,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2016,Kasus Malaria Positif,992,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2016,Kasus Malaria Positif,1446,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2016,Kasus Malaria Positif,1226,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2016,Kasus Malaria Positif,1752,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2017,Kasus ISPA/Pneumonia,3996,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2017,Kasus ISPA/Pneumonia,1815,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2017,Kasus ISPA/Pneumonia,6120,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2017,Kasus ISPA/Pneumonia,9895,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2017,Kasus ISPA/Pneumonia,2577,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2017,Kasus ISPA/Pneumonia,321,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2017,Kasus Kusta Baru,214,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2017,Kasus Kusta Baru,195,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2017,Kasus Kusta Baru,1091,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2017,Kasus Kusta Baru,342,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2017,Kasus Kusta Baru,337,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2017,Kasus Kusta Baru,454,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2017,Kasus Malaria Positif,46,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2017,Kasus Malaria Positif,147,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2017,Kasus Malaria Positif,1201,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2017,Kasus Malaria Positif,543,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2017,Kasus Malaria Positif,596,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2017,Kasus Malaria Positif,900,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2018,Kasus Diare Dilayani,20801,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2018,Kasus Diare Dilayani,36616,nasional_kesehatan_detail_2014_2024.csv
