Nama PLTU,Unit,Pemilik,Induk Perusahaan,Kapasitas (MW),Status,Tahun Beroperasi,Provinsi,Kabupaten/Kota,Disuplai ke Industri
Delong Nickel Phase II power station,Unit 08,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power
Delong Nickel Phase II power station,Unit 10,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,operating,2021.0,Sulawesi Tenggara,Kendari,power
Sulawesi Mining power station,Phase II Unit 2,PT Indonesia Guang Ching Nickel and Stainless Steel Industry [100%],Guangdong Guangxin Holdings Group,150.0,operating,2020.0,Sulawesi Tengah,Morowali,power
Sulawesi Mining power station,Unit 9,Indonesia Morowali Power Co [100%],Eternal Tsingshan Group Ltd,250.0,operating,2020.0,Sulawesi Tengah,Morowali,power
Delong Nickel Phase II power station,Unit 01,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power
Delong Nickel Phase II power station,Unit 02,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power
Delong Nickel Phase II power station,Unit 03,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power
Delong Nickel Phase I power station,Unit 3,PT Virtue Dragon Nickel Industry [100%],unknown,50.0,operating,2019.0,Sulawesi Selatan,Kendari,power
Delong Nickel Phase I power station,Unit 4,PT Virtue Dragon Nickel Industry [100%],unknown,50.0,operating,2019.0,Sulawesi Selatan,Kendari,power
Delong Nickel Phase I power station,Unit 5,PT Virtue Dragon Nickel Industry [100%],unknown,60.0,operating,2019.0,Sulawesi Selatan,Kendari,power
Delong Nickel Phase I power station,Unit 6,PT Virtue Dragon Nickel Industry [100%],unknown,60.0,operating,2019.0,Sulawesi Selatan,Kendari,power
Sulawesi Mining power station,Phase IV Unit 1,PT Indonesia Tsingshan Stainless Steel [100%],Eternal Tsingshan Group Ltd,350.0,operating,2019.0,Sulawesi Tengah,Morowali,power
Sulawesi Mining power station,Phase IV Unit 2,PT Indonesia Tsingshan Stainless Steel [100%],Eternal Tsingshan Group Ltd,350.0,operating,2019.0,Sulawesi Tengah,Morowali,power
Delong Nickel Phase I power station,Unit 1,PT Virtue Dragon Nickel Industry [100%],unknown,30.0,operating,2018.0,Sulawesi Selatan,Kendari,power
Delong Nickel Phase I power station,Unit 2,PT Virtue Dragon Nickel Industry [100%],unknown,30.0,operating,2018.0,Sulawesi Selatan,Kendari,power
Delong Nickel Phase I power station,Unit 7,PT Virtue Dragon Nickel Industry [100%],unknown,125.0,operating,2018.0,Sulawesi Selatan,Kendari,power
Delong Nickel Phase I power station,Unit 8,PT Virtue Dragon Nickel Industry [100%],unknown,125.0,operating,2018.0,Sulawesi Selatan,Kendari,power
Sulawesi Mining power station,Phase III Unit 1,PT Indonesia Tsingshan Stainless Steel [100%],Eternal Tsingshan Group Ltd,350.0,operating,2017.0,Sulawesi Tengah,Morowali,power
Sulawesi Mining power station,Phase III Unit 2,PT Indonesia Tsingshan Stainless Steel [100%],Eternal Tsingshan Group Ltd,350.0,operating,2017.0,Sulawesi Tengah,Morowali,power
Sulawesi Mining power station,Phase II Unit 1,PT Indonesia Guang Ching Nickel and Stainless Steel Industry [100%],Guangdong Guangxin Holdings Group,150.0,operating,2016.0,Sulawesi Tengah,Morowali,power
Pomalaa Nickel power station,Unit S1,PT Aneka Tambang Tbk [100%],PT Aneka Tambang Tbk [100.0%],30.0,operating,2016.0,Sulawesi Tenggara,,
Pomalaa Nickel power station,Unit S2,PT Aneka Tambang Tbk [100%],PT Aneka Tambang Tbk [100.0%],30.0,operating,2016.0,Sulawesi Tenggara,,
Sulawesi Mining power station,Phase I Unit 1,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],65.0,operating,2015.0,Sulawesi Tengah,Morowali,power
Sulawesi Mining power station,Phase I Unit 2,PT Sulawesi Mining Investment [100%],Dingxin Group [55.0%]; PT Bintang Delapan Group [45.0%],65.0,operating,2015.0,Sulawesi Tengah,Morowali,power
Tonasa Cement Plant power station,Phase V Unit 1,PT Semen Gresik [100%],PT Semen Indonesia (Persero) Tbk [100.0%],35.0,operating,2013.0,Sulawesi Selatan,Biringkassi Port,power
Tonasa Cement Plant power station,Phase V Unit 2,PT Semen Gresik [100%],PT Semen Indonesia (Persero) Tbk [100.0%],35.0,operating,2013.0,Sulawesi Selatan,Biringkassi Port,power
Delong Nickel Phase III power station,Unit 08,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,150.0,shelved,,Sulawesi Tengah,Petasia,power
Delong Nickel Phase III power station,Unit 09,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power
Delong Nickel Phase III power station,Unit 10,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power
Delong Nickel Phase III power station,Unit 11,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power
Delong Nickel Phase III power station,Unit 12,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power
Delong Nickel Phase IV power station,Unit 2,PT Nadesico Nickel Industry,Jiangsu Delong Nickel Industry Co Ltd; Tongren Zhongwei Hongling No. 1 Enterprise Management Consulting Partnership LP; Zhongwei Hong Kong Zhengbang New Energy Co Ltd; Zhongwei Hong Kong Zhenghong New Energy Co Ltd,330.0,construction,,Sulawesi Tengah,,
PT IHIP power station,Expansion Unit,PT Baoshuo Taman Industry Investment Group,Huakai Investment Co Ltd; Tongxiang Wushi Trading Co Ltd; unknown; Zhenshi Holding Group Co Ltd,100.0,announced,,Sulawesi Tengah,West Bungku,
Qingdao Zhongsheng captive power station,Unit 3,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,cancelled,,Sulawesi Tengah,Morowali,power
Qingdao Zhongsheng captive power station,Unit 4,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,cancelled,,Sulawesi Tengah,Morowali,power
Qingdao Zhongsheng captive power station,Unit 5,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,cancelled,,Sulawesi Tengah,Morowali,power
Qingdao Zhongsheng captive power station,Unit 6,PT Metal Smeltindo Selaras [100%],PT Metal Smeltindo Selaras [100.0%],65.0,cancelled,,Sulawesi Tengah,Morowali,power
Delong Nickel Phase II power station,Unit 11,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,cancelled,,Sulawesi Tenggara,Kendari,power
