provinsi,kabupaten,tahun,sektor_nama,nilai_miliar_rp,pct_dari_total
Sulawesi Tengah,Banggai Kepulauan,2018,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",194.65,2.7019898805516416
Sulawesi Tengah,Banggai Kepulauan,2018,Jasa Pendidikan,201.69,2.799714045766559
Sulawesi Tengah,Banggai Kepulauan,2018,Jasa Kesehatan dan Kegiatan Sosial,89.04,1.2359885895932092
Sulawesi Tengah,Banggai Kepulauan,2018,Jasa Lainnya,54.2,0.7523650219671153
Sulawesi Tengah,Banggai Kepulauan,2018,PRODUK DOMESTIK BRUTO,3601.97,49.999930593632655
Sulawesi Tengah,Banggai Kepulauan,2019,"Pertanian, Kehutanan, dan Perikanan",1843.33,23.84234019243778
Sulawesi Tengah,Banggai Kepulauan,2019,Pertambangan dan Penggalian,38.56,0.4987498916745243
Sulawesi Tengah,Banggai Kepulauan,2019,Industri Pengolahan,101.01,1.306502244762544
Sulawesi Tengah,Banggai Kepulauan,2019,Pengadaan Listrik dan Gas,0.54,0.006984567985068546
Sulawesi Tengah,Banggai Kepulauan,2019,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.34,0.056135231583699055
Sulawesi Tengah,Banggai Kepulauan,2019,Konstruksi,117.84,1.5241879469638473
Sulawesi Tengah,Banggai Kepulauan,2019,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,755.05,9.766107513196307
Sulawesi Tengah,Banggai Kepulauan,2019,Transportasi dan Pergudangan,123.05,1.5915760936346008
Sulawesi Tengah,Banggai Kepulauan,2019,Penyediaan Akomodasi dan Makan Minum,16.65,0.2153575128729468
Sulawesi Tengah,Banggai Kepulauan,2019,Informasi dan Komunikasi,119.66,1.5477285279505597
Sulawesi Tengah,Banggai Kepulauan,2019,Jasa Keuangan dan Asuransi,90.75,1.1737954530462418
Sulawesi Tengah,Banggai Kepulauan,2019,Real Estate,66.95,0.8659570862969244
Sulawesi Tengah,Banggai Kepulauan,2019,Jasa Perusahaan,3.71,0.04798656893445242
Sulawesi Tengah,Banggai Kepulauan,2019,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",213.98,2.767699736009199
Sulawesi Tengah,Banggai Kepulauan,2019,Jasa Pendidikan,208.44,2.696043242236459
Sulawesi Tengah,Banggai Kepulauan,2019,Jasa Kesehatan dan Kegiatan Sosial,103.93,1.3442706494225445
Sulawesi Tengah,Banggai Kepulauan,2019,Jasa Lainnya,57.87,0.7485128690665125
Sulawesi Tengah,Banggai Kepulauan,2019,PRODUK DOMESTIK BRUTO,3865.67,50.00006467192579
Sulawesi Tengah,Banggai Kepulauan,2020,"Pertanian, Kehutanan, dan Perikanan",1836.92,23.958440664083337
Sulawesi Tengah,Banggai Kepulauan,2020,Pertambangan dan Penggalian,32.48,0.42362767718214545
Sulawesi Tengah,Banggai Kepulauan,2020,Industri Pengolahan,104.86,1.3676600440061508
Sulawesi Tengah,Banggai Kepulauan,2020,Pengadaan Listrik dan Gas,0.61,0.007956061671216404
Sulawesi Tengah,Banggai Kepulauan,2020,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.51,0.05882268547079668
Sulawesi Tengah,Banggai Kepulauan,2020,Konstruksi,102.98,1.3431397227899429
Sulawesi Tengah,Banggai Kepulauan,2020,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,727.22,9.48492978449507
Sulawesi Tengah,Banggai Kepulauan,2020,Transportasi dan Pergudangan,101.27,1.3208366646624345
Sulawesi Tengah,Banggai Kepulauan,2020,Penyediaan Akomodasi dan Makan Minum,15.86,0.2068576034516265
Sulawesi Tengah,Banggai Kepulauan,2020,Informasi dan Komunikasi,128.42,1.6749466226518201
Sulawesi Tengah,Banggai Kepulauan,2020,Jasa Keuangan dan Asuransi,103.06,1.344183140714037
Sulawesi Tengah,Banggai Kepulauan,2020,Real Estate,68.49,0.8932961702649367
Sulawesi Tengah,Banggai Kepulauan,2020,Jasa Perusahaan,3.82,0.04982320587548632
Sulawesi Tengah,Banggai Kepulauan,2020,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",218.31,2.84735708761189
Sulawesi Tengah,Banggai Kepulauan,2020,Jasa Pendidikan,212.78,2.7752308236088954
Sulawesi Tengah,Banggai Kepulauan,2020,Jasa Kesehatan dan Kegiatan Sosial,113.05,1.4744799539852693
Sulawesi Tengah,Banggai Kepulauan,2020,Jasa Lainnya,58.92,0.7684773010951975
Sulawesi Tengah,Banggai Kepulauan,2020,PRODUK DOMESTIK BRUTO,3833.55,49.99993478637974
Sulawesi Tengah,Banggai Kepulauan,2021,"Pertanian, Kehutanan, dan Perikanan",1958.21,23.706511448847607
Sulawesi Tengah,Banggai Kepulauan,2021,Pertambangan dan Penggalian,34.23,0.41439574248627753
Sulawesi Tengah,Banggai Kepulauan,2021,Industri Pengolahan,110.76,1.3408843832246597
Sulawesi Tengah,Banggai Kepulauan,2021,Pengadaan Listrik dan Gas,0.64,0.007747977656769431
Sulawesi Tengah,Banggai Kepulauan,2021,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",4.82,0.058351956727544785
Sulawesi Tengah,Banggai Kepulauan,2021,Konstruksi,107.76,1.304565737958553
Sulawesi Tengah,Banggai Kepulauan,2021,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,812.59,9.837389318928551
Sulawesi Tengah,Banggai Kepulauan,2021,Transportasi dan Pergudangan,107.69,1.3037183029023438
Sulawesi Tengah,Banggai Kepulauan,2021,Penyediaan Akomodasi dan Makan Minum,18.08,0.2188803688037364
Sulawesi Tengah,Banggai Kepulauan,2021,Informasi dan Komunikasi,140.48,1.70068109566089
Sulawesi Tengah,Banggai Kepulauan,2021,Jasa Keuangan dan Asuransi,124.48,1.5069816542416543
Sulawesi Tengah,Banggai Kepulauan,2021,Real Estate,70.71,0.8560304689221352
Sulawesi Tengah,Banggai Kepulauan,2021,Jasa Perusahaan,3.94,0.04769848744948681
Sulawesi Tengah,Banggai Kepulauan,2021,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",229.92,2.7834609731944178
Sulawesi Tengah,Banggai Kepulauan,2021,Jasa Pendidikan,216.68,2.6231746854200004
Sulawesi Tengah,Banggai Kepulauan,2021,Jasa Kesehatan dan Kegiatan Sosial,126.41,1.5303466493628495
Sulawesi Tengah,Banggai Kepulauan,2021,Jasa Lainnya,62.7,0.7590596860616303
Sulawesi Tengah,Banggai Kepulauan,2021,PRODUK DOMESTIK BRUTO,4130.12,50.00012106215088
Sulawesi Tengah,Banggai Kepulauan,2022,"Pertanian, Kehutanan, dan Perikanan",2190.23,23.96947550664399
Sulawesi Tengah,Banggai Kepulauan,2022,Pertambangan dan Penggalian,38.47,0.42100862591627103
Sulawesi Tengah,Banggai Kepulauan,2022,Industri Pengolahan,119.79,1.3109597946064495
Sulawesi Tengah,Banggai Kepulauan,2022,Pengadaan Listrik dan Gas,0.71,0.007770109810256108
Sulawesi Tengah,Banggai Kepulauan,2022,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",5.16,0.056470093832283824
Sulawesi Tengah,Banggai Kepulauan,2022,Konstruksi,115.57,1.2647768884102792
Sulawesi Tengah,Banggai Kepulauan,2022,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,909.4,9.952306847108314
Sulawesi Tengah,Banggai Kepulauan,2022,Transportasi dan Pergudangan,123.88,1.3557200046401783
Sulawesi Tengah,Banggai Kepulauan,2022,Penyediaan Akomodasi dan Makan Minum,19.64,0.21493655869497175
Sulawesi Tengah,Banggai Kepulauan,2022,Informasi dan Komunikasi,149.28,1.633692947147932
Sulawesi Tengah,Banggai Kepulauan,2022,Jasa Keuangan dan Asuransi,141.21,1.5453763469102324
Sulawesi Tengah,Banggai Kepulauan,2022,Real Estate,76.54,0.8376397251788767
Sulawesi Tengah,Banggai Kepulauan,2022,Jasa Perusahaan,4.33,0.04738672602592809
Sulawesi Tengah,Banggai Kepulauan,2022,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",243.92,2.6694157534051683
Sulawesi Tengah,Banggai Kepulauan,2022,Jasa Pendidikan,227.71,2.492016485765378
Sulawesi Tengah,Banggai Kepulauan,2022,Jasa Kesehatan dan Kegiatan Sosial,135.92,1.487483556915507
Sulawesi Tengah,Banggai Kepulauan,2022,Jasa Lainnya,67.03,0.7335640289879816
Sulawesi Tengah,Banggai Kepulauan,2022,PRODUK DOMESTIK BRUTO,4568.79,50.0
Sulawesi Tengah,Banggai Kepulauan,2023,"Pertanian, Kehutanan, dan Perikanan",2365.55,23.996100652663916
Sulawesi Tengah,Banggai Kepulauan,2023,Pertambangan dan Penggalian,44.01,0.4464367228440484
Sulawesi Tengah,Banggai Kepulauan,2023,Industri Pengolahan,122.93,1.2469999168193338
Sulawesi Tengah,Banggai Kepulauan,2023,Pengadaan Listrik dan Gas,0.75,0.007607987778528434
Sulawesi Tengah,Banggai Kepulauan,2023,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",5.41,0.05487895184245176
Sulawesi Tengah,Banggai Kepulauan,2023,Konstruksi,124.85,1.2664763655323663
Sulawesi Tengah,Banggai Kepulauan,2023,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,997.05,10.114058952775698
Sulawesi Tengah,Banggai Kepulauan,2023,Transportasi dan Pergudangan,132.74,1.3465123969624857
Sulawesi Tengah,Banggai Kepulauan,2023,Penyediaan Akomodasi dan Makan Minum,21.43,0.21738557079181908
Sulawesi Tengah,Banggai Kepulauan,2023,Informasi dan Komunikasi,159.5,1.6179654009003799
Sulawesi Tengah,Banggai Kepulauan,2023,Jasa Keuangan dan Asuransi,144.09,1.4616466120108826
Sulawesi Tengah,Banggai Kepulauan,2023,Real Estate,86.81,0.8805992254054044
Sulawesi Tengah,Banggai Kepulauan,2023,Jasa Perusahaan,4.71,0.04777816324915855
Sulawesi Tengah,Banggai Kepulauan,2023,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",256.34,2.600308782863971
Sulawesi Tengah,Banggai Kepulauan,2023,Jasa Pendidikan,241.38,2.4485547866415907
Sulawesi Tengah,Banggai Kepulauan,2023,Jasa Kesehatan dan Kegiatan Sosial,149.11,1.5125694102084997
Sulawesi Tengah,Banggai Kepulauan,2023,Jasa Lainnya,72.37,0.7341201007094703
Sulawesi Tengah,Banggai Kepulauan,2023,PRODUK DOMESTIK BRUTO,4929.03,50.0
Sulawesi Tengah,Banggai Kepulauan,2024,"Pertanian, Kehutanan, dan Perikanan",2527.87,23.50492438612543
Sulawesi Tengah,Banggai Kepulauan,2024,Pertambangan dan Penggalian,50.72,0.4716103932814116
Sulawesi Tengah,Banggai Kepulauan,2024,Industri Pengolahan,132.45,1.2315614469661467
Sulawesi Tengah,Banggai Kepulauan,2024,Pengadaan Listrik dan Gas,0.8,0.007438649736299868
Sulawesi Tengah,Banggai Kepulauan,2024,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",5.96,0.05541794053543401
Sulawesi Tengah,Banggai Kepulauan,2024,Konstruksi,138.79,1.290512746126323
Sulawesi Tengah,Banggai Kepulauan,2024,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,1150.02,10.693244962174466
Sulawesi Tengah,Banggai Kepulauan,2024,Transportasi dan Pergudangan,143.25,1.331983218406195
Sulawesi Tengah,Banggai Kepulauan,2024,Penyediaan Akomodasi dan Makan Minum,22.93,0.21321029806669495
Sulawesi Tengah,Banggai Kepulauan,2024,Informasi dan Komunikasi,168.03,1.5623953939880835
Sulawesi Tengah,Banggai Kepulauan,2024,Jasa Keuangan dan Asuransi,157.96,1.4687613904324088
Sulawesi Tengah,Banggai Kepulauan,2024,Real Estate,97.93,0.9105837108448076
Sulawesi Tengah,Banggai Kepulauan,2024,Jasa Perusahaan,5.08,0.047235425825504156
Sulawesi Tengah,Banggai Kepulauan,2024,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",276.93,2.574981589341903
Sulawesi Tengah,Banggai Kepulauan,2024,Jasa Pendidikan,259.92,2.416817299323827
Sulawesi Tengah,Banggai Kepulauan,2024,Jasa Kesehatan dan Kegiatan Sosial,158.73,1.4759210908035973
Sulawesi Tengah,Banggai Kepulauan,2024,Jasa Lainnya,79.95,0.743400058021468
Sulawesi Tengah,Banggai Kepulauan,2024,PRODUK DOMESTIK BRUTO,5377.32,50.0
Sulawesi Tengah,Banggai,2016,"Pertanian, Kehutanan, dan Perikanan",5010.67,11.99914173306222
Sulawesi Tengah,Banggai,2016,Pertambangan dan Penggalian,4220.46,10.106811607772967
Sulawesi Tengah,Banggai,2016,Industri Pengolahan,5447.32,13.044795355779662
Sulawesi Tengah,Banggai,2016,Pengadaan Listrik dan Gas,2.73,0.006537580190126242
Sulawesi Tengah,Banggai,2016,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",10.27,0.02459375404857015
Sulawesi Tengah,Banggai,2016,Konstruksi,1758.59,4.21132715990993
