provinsi,tahun,indikator,nilai
Kalimantan Tengah,2022,Kasus Malaria Positif,216
Kalimantan Timur,2022,Kasus Malaria Positif,3263
Kalimantan Utara,2022,Kasus Malaria Positif,113
Kepulauan Bangka Belitung,2022,Kasus Malaria Positif,123
Kepulauan Riau,2022,Kasus Malaria Positif,46
Lampung,2022,Kasus Malaria Positif,714
Maluku,2022,Kasus Malaria Positif,1119
Maluku Utara,2022,Kasus Malaria Positif,232
Nusa Tenggara Barat,2022,Kasus Malaria Positif,497
Nusa Tenggara Timur,2022,Kasus Malaria Positif,15812
Papua,2022,Kasus Malaria Positif,393801
Papua Barat,2022,Kasus Malaria Positif,13080
Riau,2022,Kasus Malaria Positif,1811
Sulawesi Barat,2022,Kasus Malaria Positif,241
Sulawesi Selatan,2022,Kasus Malaria Positif,1736
Sulawesi Tengah,2022,Kasus Malaria Positif,173
Sulawesi Tenggara,2022,Kasus Malaria Positif,590
Sulawesi Utara,2022,Kasus Malaria Positif,1069
Sumatera Barat,2022,Kasus Malaria Positif,197
Sumatera Selatan,2022,Kasus Malaria Positif,40
Sumatera Utara,2022,Kasus Malaria Positif,5226
