tahun,provinsi,jenis_bencana,jumlah_kejadian,korban_terdampak,Sumber
2024,Sulawesi Tengah,Banjir,1.0,400,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,220,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,3450,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,644,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,3518,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,20520,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,125,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,275,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,1620,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,2420,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,1670,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,675,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,395,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,65,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,1321,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,60,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,0,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,379,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,350,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Barat,Banjir,1.0,1445,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,85,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,66,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,1842,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,1893,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,7788,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,575,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,120,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,60,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,2603,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,315,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,175,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,250,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,1360,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,1180,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,390,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,178,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,295,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,460,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,510,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,2025,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Barat,Tanah Longsor,1.0,4850,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,455,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,600,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,385,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,70,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,860,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,661,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,175,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,175,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.5,215,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.5,470,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.5,898,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,1300,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.5,110,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,1625,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,966,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Barat,Banjir,1.0,831,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,9579,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,376,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,475,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,350,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,7693,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Barat,Tanah Longsor,1.0,1829,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Tanah Longsor,1.0,174,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,450,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,595,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,60,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,90,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,585,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,4224,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,150,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,300,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,50,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,1613,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,1115,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,450,Data DIBI BNPB (Raw Recovered)
