wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Gorontalo,7500,Tidak ada,2022,64.97,2153,Proporsi Kerja Informal
Gorontalo,7500,Tidak ada,2023,63.73,2153,Proporsi Kerja Informal
Sulawesi Barat,7600,Tidak ada,2022,77.25,2153,Proporsi Kerja Informal
Sulawesi Barat,7600,Tidak ada,2023,73.35,2153,Proporsi Kerja Informal
Sulawesi Utara,7100,Tidak ada,2014,10.76,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Utara,7100,Tidak ada,2015,10.42,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tengah,7200,Tidak ada,2014,5.96,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tengah,7200,Tidak ada,2015,9.81,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Selatan,7300,Tidak ada,2014,14.23,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Selatan,7300,Tidak ada,2015,14.17,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tenggara,7400,Tidak ada,2014,6.03,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tenggara,7400,Tidak ada,2015,6.08,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Gorontalo,7500,Tidak ada,2014,4.06,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Gorontalo,7500,Tidak ada,2015,4.0,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Barat,7600,Tidak ada,2014,11.03,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Barat,7600,Tidak ada,2015,11.42,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Utara,7100,Tidak ada,2016,9.92,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Utara,7100,Tidak ada,2017,10.08,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tengah,7200,Tidak ada,2016,12.04,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tengah,7200,Tidak ada,2017,12.5,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Selatan,7300,Tidak ada,2016,14.28,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Selatan,7300,Tidak ada,2017,13.99,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tenggara,7400,Tidak ada,2016,6.22,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tenggara,7400,Tidak ada,2017,6.2,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Gorontalo,7500,Tidak ada,2016,4.0,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Gorontalo,7500,Tidak ada,2017,3.88,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Barat,7600,Tidak ada,2016,10.51,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Barat,7600,Tidak ada,2017,10.67,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Utara,7100,Tidak ada,2018,9.93,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Utara,7100,Tidak ada,2019,9.45,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tengah,7200,Tidak ada,2018,21.38,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tengah,7200,Tidak ada,2019,23.05,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Selatan,7300,Tidak ada,2018,13.19,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Selatan,7300,Tidak ada,2019,13.56,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tenggara,7400,Tidak ada,2018,6.22,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tenggara,7400,Tidak ada,2019,6.47,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Gorontalo,7500,Tidak ada,2018,3.89,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Gorontalo,7500,Tidak ada,2019,4.08,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Barat,7600,Tidak ada,2018,10.79,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Barat,7600,Tidak ada,2019,10.75,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Utara,7100,Tidak ada,2020,9.97,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Utara,7100,Tidak ada,2021,10.39,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tengah,7200,Tidak ada,2020,27.18,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tengah,7200,Tidak ada,2021,29.11,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Selatan,7300,Tidak ada,2020,13.04,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Selatan,7300,Tidak ada,2021,12.84,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tenggara,7400,Tidak ada,2020,7.18,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Sulawesi Tenggara,7400,Tidak ada,2021,7.34,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Gorontalo,7500,Tidak ada,2020,4.13,1214,Proporsi Nilai Tambah Manufaktur ke PDB
Gorontalo,7500,Tidak ada,2021,4.24,1214,Proporsi Nilai Tambah Manufaktur ke PDB
