umd_tree_cover_loss__year,is__umd_regional_primary_forest_2001,Luas_Hilang_Hutan_Primer_Ha,Provinsi,Tahun
2014.0,False,4789.60392,Sulawesi Utara,2014.0
2014.0,True,2178.71734,Sulawesi Utara,2014.0
2015.0,False,7290.97823,Sulawesi Utara,2015.0
2015.0,True,7277.21502,Sulawesi Utara,2015.0
2016.0,False,4451.8632,Sulawesi Utara,2016.0
2016.0,True,4283.28415,Sulawesi Utara,2016.0
2017.0,False,3543.81412,Sulawesi Utara,2017.0
2017.0,True,2114.39701,Sulawesi Utara,2017.0
2018.0,False,5450.06665,Sulawesi Utara,2018.0
2018.0,True,1895.05568,Sulawesi Utara,2018.0
2019.0,False,7397.326440000001,Sulawesi Utara,2019.0
2019.0,True,1486.42529,Sulawesi Utara,2019.0
2020.0,False,1936.99265,Sulawesi Utara,2020.0
2020.0,True,919.62049,Sulawesi Utara,2020.0
2021.0,False,2175.99169,Sulawesi Utara,2021.0
2021.0,True,536.44803,Sulawesi Utara,2021.0
2022.0,False,2145.17519,Sulawesi Utara,2022.0
2022.0,True,503.49289,Sulawesi Utara,2022.0
2023.0,False,5800.83335,Sulawesi Utara,2023.0
2023.0,True,542.43606,Sulawesi Utara,2023.0
2014.0,False,49565.93261,Sulawesi Tengah,2014.0
2014.0,True,38133.37111,Sulawesi Tengah,2014.0
2015.0,False,70096.35722,Sulawesi Tengah,2015.0
2015.0,True,84072.26109,Sulawesi Tengah,2015.0
2016.0,False,53293.49989,Sulawesi Tengah,2016.0
2016.0,True,74706.39368000001,Sulawesi Tengah,2016.0
2017.0,False,44651.38315,Sulawesi Tengah,2017.0
2017.0,True,27343.75044,Sulawesi Tengah,2017.0
2018.0,False,45625.58842,Sulawesi Tengah,2018.0
2018.0,True,25708.9253,Sulawesi Tengah,2018.0
2019.0,False,62047.14225,Sulawesi Tengah,2019.0
2019.0,True,30638.14837,Sulawesi Tengah,2019.0
2020.0,False,29136.32798,Sulawesi Tengah,2020.0
2020.0,True,17787.97793,Sulawesi Tengah,2020.0
2021.0,False,22561.2715,Sulawesi Tengah,2021.0
2021.0,True,14246.33614,Sulawesi Tengah,2021.0
2022.0,False,26643.91151,Sulawesi Tengah,2022.0
2022.0,True,17294.99294,Sulawesi Tengah,2022.0
2023.0,False,61655.44723,Sulawesi Tengah,2023.0
2023.0,True,26238.93922,Sulawesi Tengah,2023.0
2014.0,False,45966.45277,Sulawesi Selatan,2014.0
2014.0,True,19818.36315,Sulawesi Selatan,2014.0
2015.0,False,43185.1482,Sulawesi Selatan,2015.0
2015.0,True,30831.69006,Sulawesi Selatan,2015.0
2016.0,False,34428.44942,Sulawesi Selatan,2016.0
2016.0,True,36712.54614,Sulawesi Selatan,2016.0
2017.0,False,35401.66201,Sulawesi Selatan,2017.0
2017.0,True,18125.46872,Sulawesi Selatan,2017.0
2018.0,False,34335.53762,Sulawesi Selatan,2018.0
2018.0,True,12334.925179999998,Sulawesi Selatan,2018.0
2019.0,False,48067.02298,Sulawesi Selatan,2019.0
2019.0,True,19357.15734,Sulawesi Selatan,2019.0
2020.0,False,22431.21985,Sulawesi Selatan,2020.0
2020.0,True,11168.08575,Sulawesi Selatan,2020.0
2021.0,False,16939.15951,Sulawesi Selatan,2021.0
2021.0,True,8968.512030000002,Sulawesi Selatan,2021.0
2022.0,False,27297.17232,Sulawesi Selatan,2022.0
2022.0,True,8938.19788,Sulawesi Selatan,2022.0
2023.0,False,67043.71164,Sulawesi Selatan,2023.0
2023.0,True,12150.35535,Sulawesi Selatan,2023.0
2014.0,False,36003.33205,Sulawesi Tenggara,2014.0
2014.0,True,11607.9992,Sulawesi Tenggara,2014.0
2015.0,False,32797.13399,Sulawesi Tenggara,2015.0
2015.0,True,15300.09905,Sulawesi Tenggara,2015.0
