Tahun,Provinsi,Indeks Kualitas Air,Sumber Data
2016,Sulawesi Utara,49.52,BPS SLHI 2019
2017,Sulawesi Utara,54.62,BPS SLHI 2019
2018,Sulawesi Utara,54.1,BPS SLHI 2019
2019,Sulawesi Utara,45.48,BPS SLHI 2024
2020,Sulawesi Utara,49.65,BPS SLHI 2024
2021,Sulawesi Utara,49.1,BPS SLHI 2024
2022,Sulawesi Utara,49.35,BPS SLHI 2024
2023,Sulawesi Utara,52.12,BPS SLHI 2024
2024,Sulawesi Utara,58.17,Open Data Sulawesi Utara 2024
