provinsi,tahun,indikator,nilai
Banten,2022,Kasus Malaria Positif,83
Banten,2023,Kasus Diare Dilayani,245029
Banten,2023,Kasus ISPA/Pneumonia,33647
Banten,2023,Kasus Kusta Baru,782
Banten,2023,Kasus Malaria Positif,133
Banten,2024,Kasus Diare Dilayani,172447
Banten,2024,Kasus ISPA/Pneumonia,35808
Banten,2024,Kasus Kusta Baru,791
Banten,2024,Kasus Malaria Positif,130
Bengkulu,2014,Kasus Diare Dilayani,10653
Bengkulu,2014,Kasus ISPA/Pneumonia,1207
Bengkulu,2014,Kasus Kusta Baru,21
Bengkulu,2014,Kasus Malaria Positif,3971
Bengkulu,2015,Kasus Diare Dilayani,26115
Bengkulu,2015,Kasus ISPA/Pneumonia,1039
Bengkulu,2015,Kasus Kusta Baru,17
Bengkulu,2015,Kasus Malaria Positif,3814
Bengkulu,2016,Kasus Diare Dilayani,12017
Bengkulu,2016,Kasus ISPA/Pneumonia,530
Bengkulu,2016,Kasus Kusta Baru,20
Bengkulu,2016,Kasus Malaria Positif,2770
Bengkulu,2017,Kasus ISPA/Pneumonia,493
Bengkulu,2017,Kasus Kusta Baru,26
Bengkulu,2017,Kasus Malaria Positif,1031
Bengkulu,2018,Kasus Diare Dilayani,21093
Bengkulu,2018,Kasus ISPA/Pneumonia,958
Bengkulu,2018,Kasus Kusta Baru,25
Bengkulu,2018,Kasus Malaria Positif,317
Bengkulu,2019,Kasus Diare Dilayani,26966
Bengkulu,2019,Kasus ISPA/Pneumonia,550
Bengkulu,2019,Kasus Kusta Baru,20
Bengkulu,2019,Kasus Malaria Positif,82
Bengkulu,2020,Kasus Diare Dilayani,19039
Bengkulu,2020,Kasus ISPA/Pneumonia,291
Bengkulu,2020,Kasus Kusta Baru,14
Bengkulu,2020,Kasus Malaria Positif,105
Bengkulu,2021,Kasus Diare Dilayani,15832
Bengkulu,2021,Kasus ISPA/Pneumonia,330
Bengkulu,2021,Kasus Kusta Baru,15
Bengkulu,2021,Kasus Malaria Positif,2
Bengkulu,2022,Kasus Diare Dilayani,11843
Bengkulu,2022,Kasus ISPA/Pneumonia,425
Bengkulu,2022,Kasus Kusta Baru,8
Bengkulu,2022,Kasus Malaria Positif,12
Bengkulu,2023,Kasus Diare Dilayani,10569
Bengkulu,2023,Kasus ISPA/Pneumonia,853
Bengkulu,2023,Kasus Kusta Baru,11
Bengkulu,2023,Kasus Malaria Positif,29
Bengkulu,2024,Kasus Diare Dilayani,10625
Bengkulu,2024,Kasus ISPA/Pneumonia,463
Bengkulu,2024,Kasus Kusta Baru,7
Bengkulu,2024,Kasus Malaria Positif,3
DI Yogyakarta,2014,Kasus Diare Dilayani,0
DI Yogyakarta,2014,Kasus ISPA/Pneumonia,2996
DI Yogyakarta,2014,Kasus Kusta Baru,79
DI Yogyakarta,2014,Kasus Malaria Positif,86
DI Yogyakarta,2015,Kasus Diare Dilayani,147807
DI Yogyakarta,2015,Kasus ISPA/Pneumonia,2829
DI Yogyakarta,2015,Kasus Kusta Baru,105
DI Yogyakarta,2015,Kasus Malaria Positif,126
DI Yogyakarta,2016,Kasus Diare Dilayani,8442
DI Yogyakarta,2016,Kasus ISPA/Pneumonia,3160
DI Yogyakarta,2016,Kasus Kusta Baru,40
DI Yogyakarta,2016,Kasus Malaria Positif,95
DI Yogyakarta,2017,Kasus ISPA/Pneumonia,4214
DI Yogyakarta,2017,Kasus Kusta Baru,94
DI Yogyakarta,2017,Kasus Malaria Positif,86
DI Yogyakarta,2018,Kasus Diare Dilayani,67580
DI Yogyakarta,2018,Kasus ISPA/Pneumonia,6021
