tahun_laporan,nama_perusahaan,lokasi,jenis_masalah_izin,excerpt,luas_ha,dampak_jiwa,Sumber
2021,Hamparan Masawit Bangun Persada  Best Agro International  Anak Perusahaan; Peputra Supra Jaya dan PT Nusa Wana; Tunas Agro Subur Kencana II,,Tumpang Tindih,"Meski terjadi penurunan di tahun ini, penting menjadi perhatian serius bahwa sejak  periode pertama 
pemerintahan Presiden Jokowi, KPA mencatat sektor perkebunan  selalu menempati posisi teratas 
penyumbang konflik agraria di Indonesia . Jika ditarik ke belakang dalam 1 (satu) dekade terakhir (2012 -
2021), sektor perkebunan juga menjadi penyebab konflik agraria tertinggi setiap tahunnya –kecuali ",1.303,,Laporan CATAHU KPA
2021,Toba Pulp Paper (TPL); Dairi Prima Mineral kembali,Sulawesi Selatan,Tumpang Tindih,"Letusan konflik agraria di Jawa Barat juga didominasi oleh proyek -proyek strategis nasional seperti 
pembangunan Tol Jakarta -Cikampek II, Tol Cisum dawu, Tol Cimanggis -Cibitung, proyek kereta api 
cepat Jakarta -Bandung, dan pembangunan MNC Lido City di Kabupaten Bogor dan Sukabumi  yang 
mencapai luasan 3.000 hektar.  
Posisi ketiga penyumbang konflik terbanyak tahun ini ditempati oleh Provins",45866.0,102.0,Laporan CATAHU KPA
2021,Freeport Indonesia; Aneka Tambang Niterra; Ang And Fang Brother,"Sulawesi 
Tengah",HGU Kadaluarsa/Habis; Tumpang Tindih,"BAB II  
POTRET KEBIJAKAN AGRARIA 2021  
 
 
A. Kebijakan Agraria Pro Investasi  
 
Setelah lahirnya Undang -Undang Nomor 11 Tahun 2020 tentang Cipta Kerja (UUCK) pemerintah 
menerbitkan banyak aturan pelaksanaan yang terkait dengan tanah dan sumber -sumber agraria (SSA). 
Keseluruhan aturan operasional tersebut, sejalan dengan semangat UUCK yang menghendaki 
kemudahan investasi di bidang tanah da",0.0,,Laporan CATAHU KPA
2022,Perkebunan,Sulawesi Selatan,HGU Kadaluarsa/Habis; Operasi Ilegal,"BARA KONFLIK AGRARIA:
PTPN Tak Tersentuh,
Kriminalisasi Rakyat 
Meningkat
Catatan Akhir Tahun 2022  
Konsorsium Pembaruan Agraria
4 | Catatan Akhir Tahun 2022 Konsorsium Pembaruan Agraria
Daftar Isi
Kata Sambutan 5
BAB I.  Pendahuluan 7
 Kilas Balik 2022 8
Lingkup dan Batasan Laporan Konflik Agraria 12
Metode Pemantauan dan Pengumpulan Data 13
BAB II. Pendahuluan 15
Letusan Konflik Agraria Tahun 2",35.612,,Laporan CATAHU KPA
2022,MPM dan Bank Tanah; Daya Landak Plantation; Muara Sungai,Sulawesi Selatan,HGU Kadaluarsa/Habis; Tumpang Tindih,"Bara Konflik Agraria: PTPN Tak Tersentuh, Kriminalisasi Rakyat Meningkat | 31
Jambi, Kabupaten Simalungun, PTPN IV menghancurkan tanah warga 
yang tengah memasuki masa panen. 
Di kawasan hutan, konflik terjadi salah satunya antara PT. Sumatra Silva 
Lestari dan PT. Sumatra Riang Lestari dengan Kelompok Tani Torang 
Jaya Mandiri (KTT JM) di Kabupaten Padang Lawas. Pihak perusahaan 
menuduh warga me",330.024,141.001,Laporan CATAHU KPA
2022,MPM dan HP; Maskapai Perkebunan Moelia (MPM),,HGU Kadaluarsa/Habis; IUP Bermasalah; Tumpang Tindih,"48 | Catatan Akhir Tahun 2022 Konsorsium Pembaruan Agraria
Salah satu temuan terkait praktik Bank Tanah di tahun 2022 terjadi di 
Desa Batulawang, Kabupaten Cianjur, Jawa Barat. Tanah garapan petani, 
eks HGU PT. Maskapai Perkebunan Moelia (MPM) yang telah habis masa 
berlakunya sejak 2012, tiba-tiba diklaim sepihak sebagai asset Bank 
Tanah.
D. Aktor Baru Pelaku Konflik Agraria
Praktik Bank Tanah",24.764,,Laporan CATAHU KPA
2023,Hamparan Massawit Ban gun Persada (HMBP),SULAWESI SELATAN,Tumpang Tindih,"ii  | Catatan Akhir Tahun 2023 Konsorsium Pembaruan Agraria   
  
Dekade Krisis Agraria: Warisan Nawacita dan Masa De pan Reforma Agraria Pasca Perubahan Politik 2024  | iii  KATA  SAMBUTAN  
 
ahun 2023 boleh dikatakan merupakan tahun dari muar a kekecewaan gerakan 
reforma agraria. Rentetan peristiwa, baik yang terj adi pada aras kebijakan maupun 
potret situasi di lapangan agraria, sama sekali ",5.0,,Laporan CATAHU KPA
2023,MPRD; Fajar Pematang Indah Lestari (FPIL); HMBP I,Sulawesi Selatan,HGU Kadaluarsa/Habis,"10  | Catatan Akhir Tahun 2023 Konsorsium Pembaruan Agraria  kepada masyarakat yang telah hidup bergenerasi di w ilayahnya. Masyarakat dipaksa secara halus 
oleh kekuatan modal, beking aparat serta manipulasi  status tanah rakyat yang dicap “illegal” agar 
bersedia menyerahkan tanah kepada perusahaan.  
Warga setempat, masyarakat adat, para petani dari p emilik tanah didorong menjadi orang tak 
be",127.525,7.5,Laporan CATAHU KPA
2023,Indonesia; Indonesia Morowali Industrial Park (IMIP),,Tumpang Tindih,"Dekade Krisis Agraria: Warisan Nawacita dan Masa Depan Reforma Agraria Pasca Perubahan Politik 2024  | 51  
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Tingginya angka kemiskinan dan sebaran petani gurem 
beriringan dengan tingginya pembangunan yang bersifat “lapar 
tanah”. Hal ini disebabkan berbagai kebijakan tidak dibuat untuk 
seluas-luasnya kesejahteraan rakyat, melainkan diarahkan 
untuk kemudahan bisnis ",165.0,2.233,Laporan CATAHU KPA
2023,Indonesia Wed a Industrial Park (IWIP),Sulawesi Tenggara,Tumpang Tindih,"70 |  Catatan Akhir Tahun 2023 Konsorsium Pembaruan Agraria  di Jawa Barat; (2) Pesantren bagi anak-anak petani sebagai lembaga penguat 
kaderisasi dan regenerasi pejuang reforma agraria; (3) sekolah disabilitas 
sebagai kepedulian petani atas kelompok masyarakat rentan lainnya 
 di Ciamis; (4) konservasi sebagai penunjang aktivi tas pertanian dan kehidupan 
sosial petani dan masih banyak pengguna",276.823,5.188,Laporan CATAHU KPA
2023,Masmindo Dwi Area); Citra Palu Mineral menjadi; Emas Mineral Murni telah,Sulawesi Selatan,IUP Bermasalah; Tumpang Tindih,"80 |  Catatan Akhir Tahun 2023 Konsorsium Pembaruan Agraria  
estate justru memperparah perampasan tanah rakyat, konflik agraria dan mendorong 
terjadinya ploletarisasi petani menjadi buruh di pr oyek-proyek tersebut. Misalnya terjadi di 
Sumut, Kalteng dan Papua. Pada pemerinatahan ke dep an, kebijakan Food Estate yang 
bersifat anti-RA harus lah dievalusi menyeluruh dan  dihentikan, jika betul-b",100.0,3.0,Laporan CATAHU KPA
