provinsi,kabupaten,tahun,jumlah_penduduk_rb,laju_pertumbuhan_sumber_pct,kepadatan_per_km2,laju_pertumbuhan_yoy_pct,is_smelter,iup_kumulatif
Sulawesi Barat,Mamasa,2024,172.9,1.52,57.0,1.47,False,27.0
Sulawesi Barat,Mamasa,2025,175.5,1.52,58.0,1.5,False,
Sulawesi Barat,Mamasa,2026,178.1,1.51,59.0,1.48,False,
Sulawesi Barat,Mamuju,2010,231.3,3.91,47.0,,False,
Sulawesi Barat,Mamuju,2017,279.4,2.7,56.0,20.8,False,0.0
Sulawesi Barat,Mamuju,2018,286.4,2.5,57.0,2.51,False,0.0
Sulawesi Barat,Mamuju,2019,293.3,2.65,59.0,2.41,False,0.0
Sulawesi Barat,Mamuju,2020,278.8,1.82,56.0,-4.94,False,0.0
Sulawesi Barat,Mamuju,2021,281.9,1.11,56.0,1.11,False,2.0
Sulawesi Barat,Mamuju,2022,285.6,1.4,58.0,1.31,False,5.0
Sulawesi Barat,Mamuju,2023,292.4,1.69,59.0,2.38,False,11.0
Sulawesi Barat,Mamuju,2024,297.1,1.67,60.0,1.61,False,27.0
Sulawesi Barat,Mamuju,2025,301.9,1.66,61.0,1.62,False,
Sulawesi Barat,Mamuju,2026,306.6,1.67,62.0,1.56,False,
Sulawesi Barat,Mamuju Tengah,2010,105.7,,35.0,,False,
Sulawesi Barat,Mamuju Tengah,2017,127.6,2.7,42.0,20.72,False,0.0
Sulawesi Barat,Mamuju Tengah,2018,130.8,2.53,43.0,2.51,False,0.0
Sulawesi Barat,Mamuju Tengah,2019,134.0,2.65,44.0,2.45,False,0.0
Sulawesi Barat,Mamuju Tengah,2020,135.3,2.42,45.0,0.97,False,0.0
Sulawesi Barat,Mamuju Tengah,2021,137.4,1.55,46.0,1.55,False,2.0
Sulawesi Barat,Mamuju Tengah,2022,140.0,1.99,51.0,1.89,False,5.0
Sulawesi Barat,Mamuju Tengah,2023,142.5,1.92,52.0,1.79,False,11.0
Sulawesi Barat,Mamuju Tengah,2024,145.1,1.91,53.0,1.82,False,27.0
Sulawesi Barat,Mamuju Tengah,2025,147.8,1.89,54.0,1.86,False,
Sulawesi Barat,Mamuju Tengah,2026,150.5,1.87,55.0,1.83,False,
Sulawesi Barat,Pasangkayu,2010,134.4,5.94,45.0,,False,
Sulawesi Barat,Pasangkayu,2017,165.2,2.96,54.0,22.92,False,0.0
Sulawesi Barat,Pasangkayu,2018,170.2,3.01,56.0,3.03,False,0.0
Sulawesi Barat,Pasangkayu,2019,174.5,2.92,57.0,2.53,False,0.0
Sulawesi Barat,Pasangkayu,2020,188.9,3.35,62.0,8.25,False,0.0
Sulawesi Barat,Pasangkayu,2021,193.1,2.24,63.0,2.22,False,2.0
Sulawesi Barat,Pasangkayu,2022,198.6,2.92,68.0,2.85,False,5.0
Sulawesi Barat,Pasangkayu,2023,199.1,1.95,69.0,0.25,False,11.0
Sulawesi Barat,Pasangkayu,2024,202.9,1.93,70.0,1.91,False,27.0
Sulawesi Barat,Pasangkayu,2025,206.6,1.91,71.0,1.82,False,
Sulawesi Barat,Pasangkayu,2026,210.3,1.89,72.0,1.79,False,
Sulawesi Barat,Polewali Mandar,2010,396.1,1.44,224.0,,False,
Sulawesi Barat,Polewali Mandar,2017,432.7,1.25,214.0,9.24,False,0.0
Sulawesi Barat,Polewali Mandar,2018,437.7,1.15,246.0,1.16,False,0.0
Sulawesi Barat,Polewali Mandar,2019,442.6,1.23,249.0,1.12,False,0.0
Sulawesi Barat,Polewali Mandar,2020,478.5,1.85,237.0,8.11,False,0.0
Sulawesi Barat,Polewali Mandar,2021,483.9,1.13,273.0,1.13,False,2.0
Sulawesi Barat,Polewali Mandar,2022,490.5,1.42,236.0,1.36,False,5.0
Sulawesi Barat,Polewali Mandar,2023,495.4,1.24,239.0,1.0,False,11.0
Sulawesi Barat,Polewali Mandar,2024,501.3,1.23,242.0,1.19,False,27.0
Sulawesi Barat,Polewali Mandar,2025,507.2,1.22,245.0,1.18,False,
Sulawesi Barat,Polewali Mandar,2026,513.1,1.22,247.0,1.16,False,
Sulawesi Selatan,Bantaeng,2010,177.3,0.77,448.0,,False,
Sulawesi Selatan,Bantaeng,2016,184.5,93.15,2.0,4.06,False,1.0
Sulawesi Selatan,Bantaeng,2017,185.6,0.6,469.0,0.6,False,6.0
Sulawesi Selatan,Bantaeng,2018,186.612,0.56,471.0,0.55,False,11.0
Sulawesi Selatan,Bantaeng,2019,187.6,0.63,474.0,0.53,False,14.0
Sulawesi Selatan,Bantaeng,2020,196.7,1.04,497.0,4.85,False,14.0
Sulawesi Selatan,Bantaeng,2021,197.9,0.45,500.0,0.61,False,22.0
Sulawesi Selatan,Bantaeng,2023,203.1,1.18,520.0,2.63,False,51.0
Sulawesi Selatan,Bantaeng,2024,205.4,1.16,525.0,1.13,False,105.0
Sulawesi Selatan,Bantaeng,2025,207.7,1.14,531.0,1.12,False,
Sulawesi Selatan,Bantaeng,2026,209.8,1.13,537.0,1.01,False,
Sulawesi Selatan,Barru,2010,166.5,0.63,142.0,,False,
Sulawesi Selatan,Barru,2016,171.9,92.53,2.0,3.24,False,1.0
Sulawesi Selatan,Barru,2017,172.8,0.45,147.0,0.52,False,6.0
Sulawesi Selatan,Barru,2018,173.623,0.5,148.0,0.48,False,11.0
Sulawesi Selatan,Barru,2019,174.3,0.51,148.0,0.39,False,14.0
Sulawesi Selatan,Barru,2020,184.5,1.03,157.0,5.85,False,14.0
Sulawesi Selatan,Barru,2021,185.5,0.44,158.0,0.54,False,22.0
Sulawesi Selatan,Barru,2023,188.0,0.69,156.0,1.35,False,51.0
Sulawesi Selatan,Barru,2024,189.2,0.68,157.0,0.64,False,105.0
Sulawesi Selatan,Barru,2025,190.5,0.68,158.0,0.69,False,
Sulawesi Selatan,Barru,2026,191.7,0.68,159.0,0.63,False,
Sulawesi Selatan,Bone,2010,720.0,0.71,158.0,,False,
Sulawesi Selatan,Bone,2016,747.0,91.39,9.0,3.75,False,1.0
Sulawesi Selatan,Bone,2017,751.0,0.54,165.0,0.54,False,6.0
Sulawesi Selatan,Bone,2018,754.894,0.52,166.0,0.52,False,11.0
Sulawesi Selatan,Bone,2019,758.6,0.58,166.0,0.49,False,14.0
Sulawesi Selatan,Bone,2020,801.8,1.08,176.0,5.69,False,14.0
Sulawesi Selatan,Bone,2021,806.8,0.47,177.0,0.62,False,22.0
Sulawesi Selatan,Bone,2023,823.1,0.96,180.0,2.02,False,51.0
Sulawesi Selatan,Bone,2024,830.1,0.93,182.0,0.85,False,105.0
Sulawesi Selatan,Bone,2025,837.1,0.91,183.0,0.84,False,
Sulawesi Selatan,Bone,2026,844.0,0.86,185.0,0.82,False,
Sulawesi Selatan,Bulukumba,2010,395.8,0.82,343.0,,False,
Sulawesi Selatan,Bulukumba,2016,413.2,89.55,5.0,4.4,False,1.0
Sulawesi Selatan,Bulukumba,2017,415.7,0.63,360.0,0.61,False,6.0
Sulawesi Selatan,Bulukumba,2018,418.326,0.63,362.0,0.63,False,11.0
Sulawesi Selatan,Bulukumba,2019,420.6,0.68,364.0,0.54,False,14.0
Sulawesi Selatan,Bulukumba,2020,437.6,1.01,379.0,4.04,False,14.0
Sulawesi Selatan,Bulukumba,2021,440.1,0.43,343.0,0.57,False,22.0
Sulawesi Selatan,Bulukumba,2023,450.3,1.05,383.0,2.32,False,51.0
Sulawesi Selatan,Bulukumba,2024,454.7,1.03,387.0,0.98,False,105.0
Sulawesi Selatan,Bulukumba,2025,459.0,1.01,390.0,0.95,False,
Sulawesi Selatan,Bulukumba,2026,463.2,0.99,394.0,0.92,False,
Sulawesi Selatan,Enrekang,2010,190.9,1.04,107.0,,False,
Sulawesi Selatan,Enrekang,2016,201.6,100.78,2.0,5.61,False,1.0
Sulawesi Selatan,Enrekang,2017,203.3,0.83,114.0,0.84,False,6.0
Sulawesi Selatan,Enrekang,2018,204.827,0.74,115.0,0.75,False,11.0
Sulawesi Selatan,Enrekang,2019,206.4,0.87,116.0,0.77,False,14.0
Sulawesi Selatan,Enrekang,2020,225.2,1.64,126.0,9.11,False,14.0
Sulawesi Selatan,Enrekang,2021,227.5,0.78,127.0,1.02,False,22.0
Sulawesi Selatan,Enrekang,2023,234.6,1.5,130.0,3.12,False,51.0
Sulawesi Selatan,Enrekang,2024,238.1,1.5,132.0,1.49,False,105.0
Sulawesi Selatan,Enrekang,2025,241.7,1.5,134.0,1.51,False,
Sulawesi Selatan,Enrekang,2026,245.3,1.5,136.0,1.49,False,
