Negara,Tahun,Tipe_Lahan,Indikator,Nilai_Faktor,Deskripsi,Sumber
Indonesia,2023,Hutan (Forest),Biocapacity Multiplier (gha/ha),0.7865,Mengubah 1 Hektar deforestasi hutan menjadi Global Hectares (gha),data/raw/klhk_gfn/
Indonesia,2023,Pertanian (Cropland),Biocapacity Multiplier (gha/ha),2.7385,Mengubah 1 Hektar alih fungsi lahan pertanian menjadi gha,data/raw/klhk_gfn/
Indonesia,2023,Lahan Terbangun (Built-up),Biocapacity Multiplier (gha/ha),2.6462,Mengubah 1 Hektar area terbangun/tambang menjadi gha,data/raw/klhk_gfn/
Indonesia,2022,Hutan (Forest),Biocapacity Multiplier (gha/ha),0.7876,Mengubah 1 Hektar deforestasi hutan menjadi Global Hectares (gha),data/raw/klhk_gfn/
Indonesia,2022,Pertanian (Cropland),Biocapacity Multiplier (gha/ha),2.7421,Mengubah 1 Hektar alih fungsi lahan pertanian menjadi gha,data/raw/klhk_gfn/
Indonesia,2022,Lahan Terbangun (Built-up),Biocapacity Multiplier (gha/ha),2.678,Mengubah 1 Hektar area terbangun/tambang menjadi gha,data/raw/klhk_gfn/
Indonesia,2021,Hutan (Forest),Biocapacity Multiplier (gha/ha),0.7883,Mengubah 1 Hektar deforestasi hutan menjadi Global Hectares (gha),data/raw/klhk_gfn/
Indonesia,2021,Pertanian (Cropland),Biocapacity Multiplier (gha/ha),2.7586,Mengubah 1 Hektar alih fungsi lahan pertanian menjadi gha,data/raw/klhk_gfn/
Indonesia,2021,Lahan Terbangun (Built-up),Biocapacity Multiplier (gha/ha),2.6683,Mengubah 1 Hektar area terbangun/tambang menjadi gha,data/raw/klhk_gfn/
