Tahun,Rata_Rata_NO2
2018,5.4397907185440395e-06
2019,4.949219663460801e-06
2020,5.182338488326304e-06
2021,5.93311111300795e-06
2022,6.224522976780415e-06
2023,6.098677596526257e-06
2024,5.650320285522291e-06
