    provinsi,tahun,kategori,satuan,nilai,Sumber
Indonesia,2025,Ekspor Migas,Juta USD,26135867.2,data/raw/eksporimpor/
Indonesia,2025,Ekspor Non-Migas,Juta USD,539682020.6,data/raw/eksporimpor/
Indonesia,2026,Ekspor Migas,Juta USD,6505416.6,data/raw/eksporimpor/
Indonesia,2026,Ekspor Non-Migas,Juta USD,127193058.3,data/raw/eksporimpor/
Jambi,2022,Ekspor Migas,Juta USD,2901177.2,data/raw/eksporimpor/
Jambi,2022,Ekspor Non-Migas,Juta USD,3102682.0,data/raw/eksporimpor/
Jambi,2023,Ekspor Migas,Juta USD,1902127.0,data/raw/eksporimpor/
Jambi,2023,Ekspor Non-Migas,Juta USD,2483425.5,data/raw/eksporimpor/
Jambi,2024,Ekspor Migas,Juta USD,2725834.6,data/raw/eksporimpor/
Jambi,2024,Ekspor Non-Migas,Juta USD,1955542.0,data/raw/eksporimpor/
Jambi,2025,Ekspor Migas,Juta USD,1788090.0,data/raw/eksporimpor/
Jambi,2025,Ekspor Non-Migas,Juta USD,2299520.4,data/raw/eksporimpor/
Jambi,2026,Ekspor Migas,Juta USD,367661.4,data/raw/eksporimpor/
Jambi,2026,Ekspor Non-Migas,Juta USD,494097.4,data/raw/eksporimpor/
Jawa Barat,2022,Ekspor Migas,Juta USD,648627.9,data/raw/eksporimpor/
Jawa Barat,2022,Ekspor Non-Migas,Juta USD,76444548.6,data/raw/eksporimpor/
Jawa Barat,2023,Ekspor Migas,Juta USD,711754.7,data/raw/eksporimpor/
Jawa Barat,2023,Ekspor Non-Migas,Juta USD,72539801.2,data/raw/eksporimpor/
Jawa Barat,2024,Ekspor Migas,Juta USD,676156.9,data/raw/eksporimpor/
Jawa Barat,2024,Ekspor Non-Migas,Juta USD,75093487.1,data/raw/eksporimpor/
Jawa Barat,2025,Ekspor Migas,Juta USD,545068.5,data/raw/eksporimpor/
Jawa Barat,2025,Ekspor Non-Migas,Juta USD,76900423.30000001,data/raw/eksporimpor/
Jawa Barat,2026,Ekspor Migas,Juta USD,137550.7,data/raw/eksporimpor/
Jawa Barat,2026,Ekspor Non-Migas,Juta USD,18116779.8,data/raw/eksporimpor/
Jawa Tengah,2022,Ekspor Migas,Juta USD,1119154.0,data/raw/eksporimpor/
Jawa Tengah,2022,Ekspor Non-Migas,Juta USD,22410473.9,data/raw/eksporimpor/
Jawa Tengah,2023,Ekspor Migas,Juta USD,716465.2,data/raw/eksporimpor/
Jawa Tengah,2023,Ekspor Non-Migas,Juta USD,19887972.3,data/raw/eksporimpor/
Jawa Tengah,2024,Ekspor Migas,Juta USD,835929.8,data/raw/eksporimpor/
Jawa Tengah,2024,Ekspor Non-Migas,Juta USD,22013400.0,data/raw/eksporimpor/
Jawa Tengah,2025,Ekspor Migas,Juta USD,412289.5,data/raw/eksporimpor/
Jawa Tengah,2025,Ekspor Non-Migas,Juta USD,24834123.3,data/raw/eksporimpor/
Jawa Tengah,2026,Ekspor Migas,Juta USD,308013.0,data/raw/eksporimpor/
Jawa Tengah,2026,Ekspor Non-Migas,Juta USD,6075230.0,data/raw/eksporimpor/
Jawa Timur,2022,Ekspor Migas,Juta USD,2399635.0,data/raw/eksporimpor/
Jawa Timur,2022,Ekspor Non-Migas,Juta USD,47097355.8,data/raw/eksporimpor/
