umd_tree_cover_loss__year,wdpa_protected_areas__iucn_cat,Luas_Hilang_Kawasan_Lindung_Ha,Provinsi,Tahun
2023.0,1,128.28182,Sulawesi Tenggara,2023.0
2023.0,2,590.63053,Sulawesi Tenggara,2023.0
2015.0,2,0.15236,Sulawesi Barat,2015.0
2016.0,1,0.30472,Sulawesi Barat,2016.0
2017.0,2,0.45708,Sulawesi Barat,2017.0
2018.0,1,0.07618,Sulawesi Barat,2018.0
2018.0,2,0.83798,Sulawesi Barat,2018.0
2019.0,2,0.30472,Sulawesi Barat,2019.0
2021.0,1,0.30472,Sulawesi Barat,2021.0
2023.0,1,16.37867,Sulawesi Barat,2023.0
