Scientific Name,Common Name,Status,Population Trend,Mining Threat,Endemic_Provinces
Babyrousa celebensis,Sulawesi Babirusa,Vulnerable,Decreasing,Yes,"Sulawesi Tengah, Gorontalo, Sulawesi Utara, Sulawesi Tenggara"
Babyrousa babyrussa,Hairy Babirusa,Vulnerable,Decreasing,No,"Sulawesi Tengah, Sulawesi Utara, Gorontalo"
Bubalus depressicornis,Lowland Anoa,Endangered,Decreasing,Yes,"Sulawesi Tenggara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Barat, Sulawesi Utara, Gorontalo"
Bubalus quarlesi,Mountain Anoa,Endangered,Decreasing,Yes,"Sulawesi Tenggara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Barat, Sulawesi Utara, Gorontalo"
Macaca nigra,Celebes Crested Macaque,Critically Endangered,Decreasing,Yes,Sulawesi Utara
Macrocephalon maleo,Maleo,Critically Endangered,Decreasing,No,"Sulawesi Tengah, Gorontalo, Sulawesi Utara, Sulawesi Tenggara"
Tarsius tarsier,Spectral Tarsier,Vulnerable,Decreasing,No,"Sulawesi Utara, Gorontalo, Sulawesi Tengah"
