province,year,driver,area_ha,co2_emissions_mg,is_primary
Sulawesi Barat,2008,Unknown,6.91996,6296.839190000001,
Sulawesi Barat,2009,Commodity driven deforestation,10053.24664,7144649.40138,
Sulawesi Barat,2009,Forestry,1413.92935,1003767.7966,
Sulawesi Barat,2009,Shifting agriculture,385.1005,294394.93297,
Sulawesi Barat,2009,Unknown,5.99704,4981.404820000001,
Sulawesi Barat,2010,Commodity driven deforestation,6232.16338,4528465.348999999,
Sulawesi Barat,2010,Forestry,772.3533,564149.51346,
Sulawesi Barat,2010,Shifting agriculture,187.8258,143491.67088,
Sulawesi Barat,2010,Unknown,3.5368,2078.22259,
Sulawesi Barat,2011,Commodity driven deforestation,12297.00618,8321354.33693,
Sulawesi Barat,2011,Forestry,1421.26438,1002564.67234,
Sulawesi Barat,2011,Shifting agriculture,135.51113,102524.55183,
Sulawesi Barat,2011,Unknown,2.22928,1418.13372,
Sulawesi Barat,2012,Commodity driven deforestation,12366.92767,8608338.40075,
Sulawesi Barat,2012,Forestry,1016.46037,746577.80003,
Sulawesi Barat,2012,Shifting agriculture,156.25263,116991.46056,
Sulawesi Barat,2012,Unknown,16.29996,11949.46457,
Sulawesi Barat,2013,Commodity driven deforestation,6992.62205,4727420.729350001,
Sulawesi Barat,2013,Forestry,991.78456,691674.43934,
Sulawesi Barat,2013,Shifting agriculture,83.3501,59372.26022,
Sulawesi Barat,2013,Unknown,4.9191400000000005,3004.05699,
Sulawesi Barat,2014,Commodity driven deforestation,12378.07434,8227875.65679,
Sulawesi Barat,2014,Forestry,1680.8776300000002,1076822.45246,
Sulawesi Barat,2014,Shifting agriculture,148.49377,100614.89122,
Sulawesi Barat,2014,Unknown,6.38037,3811.16203,
Sulawesi Barat,2015,Commodity driven deforestation,11918.959,7844971.28454,
Sulawesi Barat,2015,Forestry,1820.79736,1141485.34852,
Sulawesi Barat,2015,Shifting agriculture,309.89336,225880.6561,
Sulawesi Barat,2015,Unknown,5.22813,3406.8093,
Sulawesi Barat,2016,Commodity driven deforestation,10119.08959,6794476.6317,
Sulawesi Barat,2016,Forestry,3170.94795,1978278.32608,
