nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,tahap_kegiatan,Provinsi,lokasi_perizinan,Tahun,luas_ha
TONIA MITRA SEJAHTERA,4/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2023,5891.0
TOPAZ PERKASA,12092400752330004,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,EKSPLORASI,Sulawesi Barat,KAB. MAMUJU TENGAH,2024,3.6
TOPOGARO BUNGBAR SORAJAI,540/303/IUP-OP/DPMPTSP/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2018,148.8
TRIAS JAYA AGUNG,759/DPMPTSP/XII/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2020,512.0
TRI MITRA BABARINA PUTRA,30052300043260001,Perusahaan Perseroan Terbatas (PT),Peridotit,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2024,64.7
TRINUSA BANGUN PERKASA,18/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,1305.0
TRINUSA DHARMA UTAMA,1742/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,85.0
TRIO KENCANA,540/426/IUP-OP/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Tengah,KAB. PARIGI MOUTONG,2020,15725.0
TRI PUTRA COPPO,21042200408070003,Perusahaan Komanditer (CV),Peridotit,EKSPLORASI,Sulawesi Selatan,KAB. BARRU,2024,11.09
TUNAS KASIH ANDHIKABAKTI,187 TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Molibdenum,EKSPLORASI,Sulawesi Tengah,KAB. TOLI TOLI,2014,600.0
TUNGGAL PUTRA BONE PUTE,10022300649720001,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,EKSPLORASI,Sulawesi Selatan,KAB. BONE,2023,13.56
USAHA KITA KINERJATAMA,1107/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2022,1209.0
USFATINDO,02202022712850030,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PINRANG,2023,77.79
UTAMA SIRTU ABADI,91203028321210003,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2024,9.8
UTARI PRIMA SEJAHTERA,81201121720790003,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,EKSPLORASI,Sulawesi Selatan,KAB. SIDENRENG RAPPANG,2024,23.29
VALE INDONESIA,01/1/IUP/PMA/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA UTARA,2024,4466.0
VALE INDONESIA,01/1/IUP/PMA/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2024,20286.0
VALE INDONESIA,01/1/IUP/PMA/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,"KAB. MOROWALI, KAB. LUWU TIMUR",2024,22699.0
VALE INDONESIA,01/1/IUP/PMA/2024,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,"KAB. MOROWALI, KAB. LUWU TIMUR",2024,70566.0
VICTORY CEMERLANG LESTARI BERSAMA,02200012324090017,Perusahaan Komanditer (CV),Batuan,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,13.13
VISI DEBTINDO MINERAL,957/DPM-PTSP/XI/2018,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2018,873.8
