provinsi,tahun,indikator,nilai,satuan,Sumber
Kalimantan Utara,2017,Investasi PMDN - Nilai (Juta Rp),853.3,Juta Rp,data/raw/bps_pmdn/
Sulawesi Utara,2016,Investasi PMDN - Nilai (Juta Rp),5069.6,Juta Rp,data/raw/bps_pmdn/
Sulawesi Utara,2017,Investasi PMDN - Nilai (Juta Rp),1488.2,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tengah,2016,Investasi PMDN - Nilai (Juta Rp),1081.2,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tengah,2017,Investasi PMDN - Nilai (Juta Rp),1929.7,Juta Rp,data/raw/bps_pmdn/
Sulawesi Selatan,2016,Investasi PMDN - Nilai (Juta Rp),3334.6,Juta Rp,data/raw/bps_pmdn/
Sulawesi Selatan,2017,Investasi PMDN - Nilai (Juta Rp),1969.4,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tenggara,2016,Investasi PMDN - Nilai (Juta Rp),1794.2,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tenggara,2017,Investasi PMDN - Nilai (Juta Rp),3148.7,Juta Rp,data/raw/bps_pmdn/
Gorontalo,2016,Investasi PMDN - Nilai (Juta Rp),2202.5,Juta Rp,data/raw/bps_pmdn/
Gorontalo,2017,Investasi PMDN - Nilai (Juta Rp),888.4,Juta Rp,data/raw/bps_pmdn/
Sulawesi Barat,2016,Investasi PMDN - Nilai (Juta Rp),84.1,Juta Rp,data/raw/bps_pmdn/
Sulawesi Barat,2017,Investasi PMDN - Nilai (Juta Rp),660.2,Juta Rp,data/raw/bps_pmdn/
Maluku,2016,Investasi PMDN - Nilai (Juta Rp),11.4,Juta Rp,data/raw/bps_pmdn/
Maluku,2017,Investasi PMDN - Nilai (Juta Rp),52.3,Juta Rp,data/raw/bps_pmdn/
Maluku Utara,2016,Investasi PMDN - Nilai (Juta Rp),8.8,Juta Rp,data/raw/bps_pmdn/
Maluku Utara,2017,Investasi PMDN - Nilai (Juta Rp),1150.6,Juta Rp,data/raw/bps_pmdn/
Papua Barat,2016,Investasi PMDN - Nilai (Juta Rp),10.6,Juta Rp,data/raw/bps_pmdn/
Papua Barat,2017,Investasi PMDN - Nilai (Juta Rp),59.2,Juta Rp,data/raw/bps_pmdn/
Papua,2016,Investasi PMDN - Nilai (Juta Rp),220.5,Juta Rp,data/raw/bps_pmdn/
