province,year,extent_2000_ha,total_loss_ha,total_gain_ha,current_tree_cover_ha
Sulawesi Utara,2024,1249530.29586,22366301.46663,0,-21116771.17077
Sulawesi Tengah,2024,10196872.34674,30450363.07557,0,-20253490.72883
Sulawesi Selatan,2024,5562883.57462,23587911.32045,0,-18025027.74583
Sulawesi Tenggara,2024,3081778.36034,12884384.51135,0,-9802606.15101
Gorontalo,2024,1073783.78422,2953721.08048,0,-1879937.29626
Sulawesi Barat,2024,2586461.36062,5535127.79846,0,-2948666.4378400003
