Tahun,Provinsi,Indeks Kualitas Air,Sumber Data,Sumber
2016,Sulawesi Utara,49.52,BPS SLHI 2019,sulawesi_ika_2016_2024.csv
2017,Sulawesi Utara,54.62,BPS SLHI 2019,sulawesi_ika_2016_2024.csv
2018,Sulawesi Utara,54.1,BPS SLHI 2019,sulawesi_ika_2016_2024.csv
2019,Sulawesi Utara,45.48,BPS SLHI 2024,sulawesi_ika_2016_2024.csv
2020,Sulawesi Utara,49.65,BPS SLHI 2024,sulawesi_ika_2016_2024.csv
2021,Sulawesi Utara,49.1,BPS SLHI 2024,sulawesi_ika_2016_2024.csv
2022,Sulawesi Utara,49.35,BPS SLHI 2024,sulawesi_ika_2016_2024.csv
2023,Sulawesi Utara,52.12,BPS SLHI 2024,sulawesi_ika_2016_2024.csv
2024,Sulawesi Utara,58.17,Open Data Sulawesi Utara 2024,sulawesi_ika_2016_2024.csv
