provinsi,tahun,kategori,satuan,nilai
JAWA TENGAH,2023,Ekspor Migas,Juta USD,716465.2
JAWA TENGAH,2023,Ekspor Non-Migas,Juta USD,19887972.299999997
JAWA TENGAH,2024,Ekspor Migas,Juta USD,835929.8
JAWA TENGAH,2024,Ekspor Non-Migas,Juta USD,22013400.0
JAWA TENGAH,2025,Ekspor Migas,Juta USD,412289.5
JAWA TENGAH,2025,Ekspor Non-Migas,Juta USD,24834123.299999997
JAWA TENGAH,2026,Ekspor Migas,Juta USD,308013.0
JAWA TENGAH,2026,Ekspor Non-Migas,Juta USD,6075230.0
JAWA TIMUR,2022,Ekspor Migas,Juta USD,2399635.0
JAWA TIMUR,2022,Ekspor Non-Migas,Juta USD,47097355.8
JAWA TIMUR,2023,Ekspor Migas,Juta USD,1715658.5
JAWA TIMUR,2023,Ekspor Non-Migas,Juta USD,43129800.4
JAWA TIMUR,2024,Ekspor Migas,Juta USD,1880354.1
JAWA TIMUR,2024,Ekspor Non-Migas,Juta USD,50088942.0
JAWA TIMUR,2025,Ekspor Migas,Juta USD,1263656.2999999998
JAWA TIMUR,2025,Ekspor Non-Migas,Juta USD,56984275.6
JAWA TIMUR,2026,Ekspor Migas,Juta USD,267797.6
JAWA TIMUR,2026,Ekspor Non-Migas,Juta USD,10797712.6
KALIMANTAN BARAT,2022,Ekspor Migas,Juta USD,0.0
KALIMANTAN BARAT,2022,Ekspor Non-Migas,Juta USD,5919781.699999999
KALIMANTAN BARAT,2023,Ekspor Migas,Juta USD,0.0
KALIMANTAN BARAT,2023,Ekspor Non-Migas,Juta USD,4248274.9
KALIMANTAN BARAT,2024,Ekspor Migas,Juta USD,0.0
KALIMANTAN BARAT,2024,Ekspor Non-Migas,Juta USD,4224558.699999999
KALIMANTAN BARAT,2025,Ekspor Migas,Juta USD,256.8
KALIMANTAN BARAT,2025,Ekspor Non-Migas,Juta USD,4299315.2
KALIMANTAN BARAT,2026,Ekspor Migas,Juta USD,0.0
KALIMANTAN BARAT,2026,Ekspor Non-Migas,Juta USD,1068265.0
KALIMANTAN SELATAN,2022,Ekspor Migas,Juta USD,0.0
KALIMANTAN SELATAN,2022,Ekspor Non-Migas,Juta USD,32408570.700000003
KALIMANTAN SELATAN,2023,Ekspor Migas,Juta USD,0.2
KALIMANTAN SELATAN,2023,Ekspor Non-Migas,Juta USD,26499752.2
KALIMANTAN SELATAN,2024,Ekspor Migas,Juta USD,0.0
KALIMANTAN SELATAN,2024,Ekspor Non-Migas,Juta USD,23322025.0
KALIMANTAN SELATAN,2025,Ekspor Non-Migas,Juta USD,20273116.9
KALIMANTAN SELATAN,2026,Ekspor Non-Migas,Juta USD,4945402.8
KALIMANTAN TENGAH,2022,Ekspor Migas,Juta USD,0.0
KALIMANTAN TENGAH,2022,Ekspor Non-Migas,Juta USD,11704747.7
KALIMANTAN TENGAH,2023,Ekspor Migas,Juta USD,0.0
KALIMANTAN TENGAH,2023,Ekspor Non-Migas,Juta USD,9981373.1
KALIMANTAN TENGAH,2024,Ekspor Migas,Juta USD,0.0
KALIMANTAN TENGAH,2024,Ekspor Non-Migas,Juta USD,8047001.1
KALIMANTAN TENGAH,2025,Ekspor Non-Migas,Juta USD,7077228.9
KALIMANTAN TENGAH,2026,Ekspor Non-Migas,Juta USD,1862975.8
KALIMANTAN TIMUR,2022,Ekspor Migas,Juta USD,5997857.2
KALIMANTAN TIMUR,2022,Ekspor Non-Migas,Juta USD,66931980.8
KALIMANTAN TIMUR,2023,Ekspor Migas,Juta USD,5424902.2
KALIMANTAN TIMUR,2023,Ekspor Non-Migas,Juta USD,50450361.3
KALIMANTAN TIMUR,2024,Ekspor Migas,Juta USD,5013285.9
KALIMANTAN TIMUR,2024,Ekspor Non-Migas,Juta USD,45908584.9
KALIMANTAN TIMUR,2025,Ekspor Migas,Juta USD,4102632.9
KALIMANTAN TIMUR,2025,Ekspor Non-Migas,Juta USD,38278831.0
KALIMANTAN TIMUR,2026,Ekspor Migas,Juta USD,650621.6
KALIMANTAN TIMUR,2026,Ekspor Non-Migas,Juta USD,8613163.4
KALIMANTAN UTARA,2022,Ekspor Migas,Juta USD,0.0
KALIMANTAN UTARA,2022,Ekspor Non-Migas,Juta USD,5139866.699999999
KALIMANTAN UTARA,2023,Ekspor Migas,Juta USD,3884.4
KALIMANTAN UTARA,2023,Ekspor Non-Migas,Juta USD,3907626.8
KALIMANTAN UTARA,2024,Ekspor Migas,Juta USD,36446.9
KALIMANTAN UTARA,2024,Ekspor Non-Migas,Juta USD,3107354.4
KALIMANTAN UTARA,2025,Ekspor Migas,Juta USD,183912.2
KALIMANTAN UTARA,2025,Ekspor Non-Migas,Juta USD,2798604.5
KALIMANTAN UTARA,2026,Ekspor Migas,Juta USD,4213.4
KALIMANTAN UTARA,2026,Ekspor Non-Migas,Juta USD,645246.0
KEP. BANGKA BELITUNG,2022,Ekspor Migas,Juta USD,0.0
KEP. BANGKA BELITUNG,2022,Ekspor Non-Migas,Juta USD,5268788.699999999
KEP. BANGKA BELITUNG,2023,Ekspor Migas,Juta USD,72715.4
KEP. BANGKA BELITUNG,2023,Ekspor Non-Migas,Juta USD,3996674.0
KEP. BANGKA BELITUNG,2024,Ekspor Migas,Juta USD,119291.4
KEP. BANGKA BELITUNG,2024,Ekspor Non-Migas,Juta USD,3283030.7
KEP. BANGKA BELITUNG,2025,Ekspor Migas,Juta USD,43195.8
KEP. BANGKA BELITUNG,2025,Ekspor Non-Migas,Juta USD,4030300.1
KEP. BANGKA BELITUNG,2026,Ekspor Migas,Juta USD,15314.4
KEP. BANGKA BELITUNG,2026,Ekspor Non-Migas,Juta USD,1120313.4
KEP. RIAU,2022,Ekspor Migas,Juta USD,5652268.6
KEP. RIAU,2022,Ekspor Non-Migas,Juta USD,31726803.8
KEP. RIAU,2023,Ekspor Migas,Juta USD,6688785.8
KEP. RIAU,2023,Ekspor Non-Migas,Juta USD,30116801.8
KEP. RIAU,2024,Ekspor Migas,Juta USD,4973187.2
KEP. RIAU,2024,Ekspor Non-Migas,Juta USD,33677811.400000006
KEP. RIAU,2025,Ekspor Migas,Juta USD,5466702.199999999
KEP. RIAU,2025,Ekspor Non-Migas,Juta USD,41361673.3
KEP. RIAU,2026,Ekspor Migas,Juta USD,1947869.4
KEP. RIAU,2026,Ekspor Non-Migas,Juta USD,9778222.4
LAMPUNG,2022,Ekspor Migas,Juta USD,0.0
LAMPUNG,2022,Ekspor Non-Migas,Juta USD,11202200.2
LAMPUNG,2023,Ekspor Migas,Juta USD,174614.0
LAMPUNG,2023,Ekspor Non-Migas,Juta USD,9116304.6
LAMPUNG,2024,Ekspor Migas,Juta USD,208354.2
LAMPUNG,2024,Ekspor Non-Migas,Juta USD,10968178.9
LAMPUNG,2025,Ekspor Non-Migas,Juta USD,13275447.8
LAMPUNG,2026,Ekspor Non-Migas,Juta USD,2761737.0
MALUKU,2022,Ekspor Migas,Juta USD,85770.9
MALUKU,2022,Ekspor Non-Migas,Juta USD,173078.8
MALUKU,2023,Ekspor Migas,Juta USD,57781.0
MALUKU,2023,Ekspor Non-Migas,Juta USD,185685.8
MALUKU,2024,Ekspor Migas,Juta USD,46580.7
MALUKU,2024,Ekspor Non-Migas,Juta USD,143468.5
MALUKU,2025,Ekspor Migas,Juta USD,19932.8
MALUKU,2025,Ekspor Non-Migas,Juta USD,156125.4
MALUKU,2026,Ekspor Non-Migas,Juta USD,40225.6
MALUKU UTARA,2022,Ekspor Migas,Juta USD,0.0
MALUKU UTARA,2022,Ekspor Non-Migas,Juta USD,16400488.2
MALUKU UTARA,2023,Ekspor Migas,Juta USD,0.0
MALUKU UTARA,2023,Ekspor Non-Migas,Juta USD,20400296.6
MALUKU UTARA,2024,Ekspor Migas,Juta USD,0.0
MALUKU UTARA,2024,Ekspor Non-Migas,Juta USD,22154258.1
MALUKU UTARA,2025,Ekspor Migas,Juta USD,0.0
MALUKU UTARA,2025,Ekspor Non-Migas,Juta USD,29519882.8
MALUKU UTARA,2026,Ekspor Non-Migas,Juta USD,8100801.4
NUSA TENGGARA BARAT,2022,Ekspor Migas,Juta USD,0.0
NUSA TENGGARA BARAT,2022,Ekspor Non-Migas,Juta USD,6199503.9
NUSA TENGGARA BARAT,2023,Ekspor Migas,Juta USD,0.0
NUSA TENGGARA BARAT,2023,Ekspor Non-Migas,Juta USD,4100698.4
NUSA TENGGARA BARAT,2024,Ekspor Migas,Juta USD,0.0
NUSA TENGGARA BARAT,2024,Ekspor Non-Migas,Juta USD,5127426.300000001
NUSA TENGGARA BARAT,2025,Ekspor Non-Migas,Juta USD,3394291.7
NUSA TENGGARA BARAT,2026,Ekspor Non-Migas,Juta USD,1415834.6
NUSA TENGGARA TIMUR,2022,Ekspor Migas,Juta USD,3852.5
NUSA TENGGARA TIMUR,2022,Ekspor Non-Migas,Juta USD,129418.9
NUSA TENGGARA TIMUR,2023,Ekspor Migas,Juta USD,4336.8
NUSA TENGGARA TIMUR,2023,Ekspor Non-Migas,Juta USD,143793.3
NUSA TENGGARA TIMUR,2024,Ekspor Migas,Juta USD,5015.299999999999
NUSA TENGGARA TIMUR,2024,Ekspor Non-Migas,Juta USD,164598.4
NUSA TENGGARA TIMUR,2025,Ekspor Migas,Juta USD,4579.0
NUSA TENGGARA TIMUR,2025,Ekspor Non-Migas,Juta USD,148694.9
NUSA TENGGARA TIMUR,2026,Ekspor Migas,Juta USD,1497.6
NUSA TENGGARA TIMUR,2026,Ekspor Non-Migas,Juta USD,26867.7
PAPUA,2022,Ekspor Migas,Juta USD,4.9
PAPUA,2022,Ekspor Non-Migas,Juta USD,12647034.8
PAPUA,2023,Ekspor Migas,Juta USD,21.200000000000003
PAPUA,2023,Ekspor Non-Migas,Juta USD,12811386.1
PAPUA,2024,Ekspor Migas,Juta USD,26.2
PAPUA,2024,Ekspor Non-Migas,Juta USD,179124.6
PAPUA,2025,Ekspor Migas,Juta USD,99.5
PAPUA,2025,Ekspor Non-Migas,Juta USD,186936.2
PAPUA,2026,Ekspor Migas,Juta USD,64.1
PAPUA,2026,Ekspor Non-Migas,Juta USD,29195.2
PAPUA BARAT,2022,Ekspor Migas,Juta USD,5370795.4
PAPUA BARAT,2022,Ekspor Non-Migas,Juta USD,89373.6
PAPUA BARAT,2023,Ekspor Migas,Juta USD,6053291.6
PAPUA BARAT,2023,Ekspor Non-Migas,Juta USD,104152.4
PAPUA BARAT,2024,Ekspor Migas,Juta USD,7194027.1
PAPUA BARAT,2024,Ekspor Non-Migas,Juta USD,58732.7
PAPUA BARAT,2025,Ekspor Migas,Juta USD,6493076.0
PAPUA BARAT,2025,Ekspor Non-Migas,Juta USD,67726.3
PAPUA BARAT,2026,Ekspor Migas,Juta USD,1440508.3
PAPUA BARAT,2026,Ekspor Non-Migas,Juta USD,12780.9
PAPUA BARAT DAYA,2024,Ekspor Migas,Juta USD,55807.2
PAPUA BARAT DAYA,2024,Ekspor Non-Migas,Juta USD,45575.7
PAPUA BARAT DAYA,2025,Ekspor Migas,Juta USD,568643.4
PAPUA BARAT DAYA,2025,Ekspor Non-Migas,Juta USD,58107.6
PAPUA BARAT DAYA,2026,Ekspor Non-Migas,Juta USD,8596.0
