provinsi,tahun,indikator,nilai
Kalimantan Tengah,2018,Kasus Malaria Positif,664
Kalimantan Timur,2018,Kasus Malaria Positif,2297
Kalimantan Utara,2018,Kasus Malaria Positif,27
Kep. Bangka Belitung,2018,Kasus Malaria Positif,227
Kepulauan Riau,2018,Kasus Malaria Positif,238
Lampung,2018,Kasus Malaria Positif,3181
Maluku,2018,Kasus Malaria Positif,2058
Maluku Utara,2018,Kasus Malaria Positif,485
Nusa Tenggara Barat,2018,Kasus Malaria Positif,1702
Nusa Tenggara Timur,2018,Kasus Malaria Positif,18386
Papua,2018,Kasus Malaria Positif,176070
Papua Barat,2018,Kasus Malaria Positif,7957
Riau,2018,Kasus Malaria Positif,74
Sulawesi Barat,2018,Kasus Malaria Positif,254
Sulawesi Selatan,2018,Kasus Malaria Positif,1285
Sulawesi Tengah,2018,Kasus Malaria Positif,186
Sulawesi Tenggara,2018,Kasus Malaria Positif,831
Sulawesi Utara,2018,Kasus Malaria Positif,609
Sumatera Barat,2018,Kasus Malaria Positif,482
Sumatera Selatan,2018,Kasus Malaria Positif,646
Sumatera Utara,2018,Kasus Malaria Positif,1299
