provinsi,tahun,jenis_penyakit,jumlah_kasus,satuan
Kep. Bangka Belitung,2014,TB Paru,915,Kasus
Kep. Bangka Belitung,2015,TB Paru,927,Kasus
Kep. Bangka Belitung,2014,Pneumonia,7666,Kasus
Kep. Bangka Belitung,2015,Pneumonia,7869,Kasus
Kep. Bangka Belitung,2014,Kusta,54,Kasus
Kep. Bangka Belitung,2015,Kusta,35,Kasus
Kep. Bangka Belitung,2015,Tetanus Neonatorum,1,Kasus
Kep. Bangka Belitung,2014,Campak,47,Kasus
Kep. Bangka Belitung,2015,Campak,63,Kasus
Kep. Bangka Belitung,2014,DBD,321,Kasus
Kep. Bangka Belitung,2015,DBD,623,Kasus
Kep. Riau,2014,Malaria,4753,Kasus
Kep. Riau,2015,Malaria,5627,Kasus
Kep. Riau,2014,TB Paru,1339,Kasus
Kep. Riau,2015,TB Paru,1069,Kasus
Kep. Riau,2015,Pneumonia,859,Kasus
Kep. Riau,2014,Kusta,17,Kasus
Kep. Riau,2015,Kusta,24,Kasus
Kep. Riau,2015,Tetanus Neonatorum,0,Kasus
Kep. Riau,2014,Campak,405,Kasus
Kep. Riau,2015,Campak,158,Kasus
Kep. Riau,2014,DBD,1882,Kasus
Kep. Riau,2015,DBD,1795,Kasus
Dki Jakarta,2014,Malaria,32,Kasus
Dki Jakarta,2015,Malaria,23,Kasus
Dki Jakarta,2014,TB Paru,8452,Kasus
Dki Jakarta,2015,TB Paru,8904,Kasus
Dki Jakarta,2014,Pneumonia,39864,Kasus
Dki Jakarta,2015,Pneumonia,39755,Kasus
Dki Jakarta,2014,Kusta,258,Kasus
Dki Jakarta,2015,Kusta,317,Kasus
Dki Jakarta,2014,Tetanus Neonatorum,2,Kasus
Dki Jakarta,2015,Tetanus Neonatorum,1,Kasus
Dki Jakarta,2014,Campak,1361,Kasus
Dki Jakarta,2015,Campak,1209,Kasus
Dki Jakarta,2014,DBD,8447,Kasus
Dki Jakarta,2015,DBD,4954,Kasus
Jawa Barat,2014,Malaria,17125,Kasus
Jawa Barat,2015,Malaria,174,Kasus
Jawa Barat,2014,TB Paru,31469,Kasus
Jawa Barat,2015,TB Paru,31231,Kasus
Jawa Barat,2014,Pneumonia,197654,Kasus
Jawa Barat,2015,Pneumonia,180357,Kasus
Jawa Barat,2014,Kusta,1917,Kasus
Jawa Barat,2015,Kusta,2026,Kasus
Jawa Barat,2014,Tetanus Neonatorum,2,Kasus
Jawa Barat,2015,Tetanus Neonatorum,0,Kasus
Jawa Barat,2014,Campak,95,Kasus
Jawa Barat,2015,Campak,650,Kasus
Jawa Barat,2014,DBD,18116,Kasus
Jawa Barat,2015,DBD,21237,Kasus
Jawa Tengah,2014,Malaria,44798,Kasus
Jawa Tengah,2015,Malaria,50654,Kasus
Jawa Tengah,2014,TB Paru,16079,Kasus
Jawa Tengah,2015,TB Paru,19712,Kasus
Jawa Tengah,2014,Pneumonia,99465,Kasus
Jawa Tengah,2015,Pneumonia,36279,Kasus
Jawa Tengah,2014,Kusta,1860,Kasus
Jawa Tengah,2015,Kusta,1807,Kasus
Jawa Tengah,2015,Tetanus Neonatorum,0,Kasus
Jawa Tengah,2014,Campak,199,Kasus
Jawa Tengah,2015,Diare,116,Kasus
Jawa Tengah,2014,DBD,11075,Kasus
Jawa Tengah,2015,DBD,16398,Kasus
Di Yogyakarta,2014,Malaria,86,Kasus
Di Yogyakarta,2015,Malaria,126,Kasus
Di Yogyakarta,2014,TB Paru,1239,Kasus
Di Yogyakarta,2015,TB Paru,1241,Kasus
Di Yogyakarta,2014,Pneumonia,2996,Kasus
Di Yogyakarta,2015,Pneumonia,2829,Kasus
Di Yogyakarta,2014,Kusta,79,Kasus
Di Yogyakarta,2015,Kusta,105,Kasus
Di Yogyakarta,2015,Tetanus Neonatorum,0,Kasus
Di Yogyakarta,2014,Campak,1222,Kasus
Di Yogyakarta,2015,Campak,37,Kasus
Di Yogyakarta,2014,DBD,1955,Kasus
Di Yogyakarta,2015,DBD,3420,Kasus
Jawa Timur,2014,Malaria,21589,Kasus
Jawa Timur,2015,Malaria,3515,Kasus
Jawa Timur,2014,TB Paru,22244,Kasus
Jawa Timur,2015,TB Paru,23487,Kasus
Jawa Timur,2014,Pneumonia,106551,Kasus
Jawa Timur,2015,Pneumonia,96087,Kasus
Jawa Timur,2014,Kusta,4116,Kasus
Jawa Timur,2015,Kusta,4013,Kasus
Jawa Timur,2014,Tetanus Neonatorum,17,Kasus
Jawa Timur,2015,Tetanus Neonatorum,21,Kasus
Jawa Timur,2014,Campak,1071,Kasus
Jawa Timur,2015,Campak,1072,Kasus
Jawa Timur,2014,Diare,258,Kasus
Jawa Timur,2014,DBD,9273,Kasus
Jawa Timur,2015,DBD,20138,Kasus
Banten,2014,Malaria,1405,Kasus
Banten,2015,Malaria,401,Kasus
Banten,2014,TB Paru,4688,Kasus
Banten,2015,TB Paru,7978,Kasus
Banten,2014,Pneumonia,34853,Kasus
Banten,2015,Pneumonia,32978,Kasus
Banten,2014,Kusta,823,Kasus
Banten,2015,Kusta,1026,Kasus
Banten,2014,Tetanus Neonatorum,22,Kasus
Banten,2015,Tetanus Neonatorum,12,Kasus
Banten,2014,Campak,1149,Kasus
Banten,2015,Campak,606,Kasus
Banten,2015,Diare,19,Kasus
Banten,2014,DBD,3002,Kasus
Banten,2015,DBD,3011,Kasus
Bali,2014,Malaria,4780,Kasus
Bali,2015,Malaria,5283,Kasus
Bali,2014,TB Paru,1616,Kasus
Bali,2015,TB Paru,1477,Kasus
Bali,2014,Pneumonia,4712,Kasus
Bali,2015,Pneumonia,5731,Kasus
Bali,2014,Kusta,81,Kasus
Bali,2015,Kusta,61,Kasus
Bali,2015,Tetanus Neonatorum,0,Kasus
Bali,2014,Campak,382,Kasus
Bali,2015,Campak,141,Kasus
Bali,2014,DBD,8629,Kasus
Bali,2015,DBD,10704,Kasus
Nusa Tenggara Barat,2014,Malaria,94530,Kasus
Nusa Tenggara Barat,2015,Malaria,101990,Kasus
Nusa Tenggara Barat,2014,TB Paru,4396,Kasus
Nusa Tenggara Barat,2015,TB Paru,4149,Kasus
Nusa Tenggara Barat,2014,Pneumonia,24178,Kasus
Nusa Tenggara Barat,2015,Pneumonia,24872,Kasus
Nusa Tenggara Barat,2014,Kusta,281,Kasus
Nusa Tenggara Barat,2015,Kusta,292,Kasus
Nusa Tenggara Barat,2015,Tetanus Neonatorum,0,Kasus
Nusa Tenggara Barat,2014,Campak,16,Kasus
Nusa Tenggara Barat,2015,Campak,3,Kasus
Nusa Tenggara Barat,2014,DBD,824,Kasus
Nusa Tenggara Barat,2015,DBD,1252,Kasus
Nusa Tenggara Timur,2014,Malaria,296845,Kasus
Nusa Tenggara Timur,2015,Malaria,283112,Kasus
Nusa Tenggara Timur,2014,TB Paru,3364,Kasus
Nusa Tenggara Timur,2015,TB Paru,3424,Kasus
Nusa Tenggara Timur,2015,Pneumonia,2364,Kasus
Nusa Tenggara Timur,2014,Kusta,378,Kasus
Nusa Tenggara Timur,2015,Kusta,280,Kasus
Nusa Tenggara Timur,2015,Tetanus Neonatorum,0,Kasus
Nusa Tenggara Timur,2014,Campak,58,Kasus
Nusa Tenggara Timur,2014,Diare,2089,Kasus
Nusa Tenggara Timur,2015,Diare,452,Kasus
Nusa Tenggara Timur,2014,DBD,167,Kasus
Nusa Tenggara Timur,2015,DBD,506,Kasus
Kalimantan Barat,2014,Malaria,29295,Kasus
Kalimantan Barat,2015,Malaria,49128,Kasus
Kalimantan Barat,2014,TB Paru,4265,Kasus
Kalimantan Barat,2015,TB Paru,3565,Kasus
Kalimantan Barat,2014,Pneumonia,2443,Kasus
Kalimantan Barat,2015,Pneumonia,2791,Kasus
Kalimantan Barat,2014,Kusta,43,Kasus
Kalimantan Barat,2015,Kusta,57,Kasus
Kalimantan Barat,2014,Tetanus Neonatorum,9,Kasus
Kalimantan Barat,2015,Tetanus Neonatorum,5,Kasus
Kalimantan Barat,2014,Campak,933,Kasus
Kalimantan Barat,2015,Campak,254,Kasus
Kalimantan Barat,2015,Diare,4,Kasus
Kalimantan Barat,2014,DBD,5049,Kasus
Kalimantan Barat,2015,DBD,1115,Kasus
Kalimantan Tengah,2014,Malaria,24167,Kasus
Kalimantan Tengah,2015,Malaria,23909,Kasus
Kalimantan Tengah,2014,TB Paru,1565,Kasus
Kalimantan Tengah,2015,TB Paru,1400,Kasus
Kalimantan Tengah,2014,Pneumonia,416,Kasus
Kalimantan Tengah,2015,Pneumonia,408,Kasus
Kalimantan Tengah,2014,Kusta,62,Kasus
Kalimantan Tengah,2015,Kusta,26,Kasus
Kalimantan Tengah,2015,Tetanus Neonatorum,2,Kasus
Kalimantan Tengah,2014,Campak,53,Kasus
Kalimantan Tengah,2015,Campak,311,Kasus
Kalimantan Tengah,2015,Diare,2,Kasus
Kalimantan Tengah,2014,DBD,880,Kasus
Kalimantan Tengah,2015,DBD,1502,Kasus
Kalimantan Selatan,2014,Malaria,15898,Kasus
Kalimantan Selatan,2015,Malaria,14056,Kasus
Kalimantan Selatan,2014,TB Paru,3207,Kasus
Kalimantan Selatan,2015,TB Paru,3128,Kasus
Kalimantan Selatan,2014,Pneumonia,18820,Kasus
Kalimantan Selatan,2015,Pneumonia,14764,Kasus
Kalimantan Selatan,2014,Kusta,156,Kasus
Kalimantan Selatan,2015,Kusta,145,Kasus
Kalimantan Selatan,2015,Tetanus Neonatorum,0,Kasus
Kalimantan Selatan,2014,Campak,121,Kasus
Kalimantan Selatan,2014,DBD,828,Kasus
Kalimantan Selatan,2015,DBD,3668,Kasus
Kalimantan Timur,2014,Malaria,9177,Kasus
Kalimantan Timur,2015,Malaria,15229,Kasus
Kalimantan Timur,2014,TB Paru,1660,Kasus
Kalimantan Timur,2015,TB Paru,2183,Kasus
Kalimantan Timur,2014,Pneumonia,622,Kasus
Kalimantan Timur,2015,Pneumonia,7828,Kasus
Kalimantan Timur,2014,Kusta,154,Kasus
Kalimantan Timur,2015,Kusta,176,Kasus
Kalimantan Timur,2015,Tetanus Neonatorum,0,Kasus
Kalimantan Timur,2014,Campak,283,Kasus
Kalimantan Timur,2014,DBD,4752,Kasus
Kalimantan Timur,2015,DBD,6458,Kasus
Kalimantan Utara,2014,Malaria,4303,Kasus
Kalimantan Utara,2015,Malaria,4240,Kasus
Kalimantan Utara,2014,TB Paru,377,Kasus
Kalimantan Utara,2015,TB Paru,402,Kasus
Kalimantan Utara,2015,Kusta,41,Kasus
Kalimantan Utara,2014,DBD,781,Kasus
Kalimantan Utara,2015,DBD,719,Kasus
Sulawesi Utara,2014,Malaria,18846,Kasus
Sulawesi Utara,2015,Malaria,22274,Kasus
Sulawesi Utara,2014,TB Paru,5226,Kasus
Sulawesi Utara,2015,TB Paru,5034,Kasus
Sulawesi Utara,2014,Pneumonia,11208,Kasus
Sulawesi Utara,2015,Pneumonia,753,Kasus
Sulawesi Utara,2014,Kusta,349,Kasus
Sulawesi Utara,2015,Kusta,427,Kasus
