provinsi,tahun,indikator,nilai
Aceh,2024,Kasus Diare Dilayani,45444
Bali,2024,Kasus Diare Dilayani,41739
Banten,2024,Kasus Diare Dilayani,172447
Bengkulu,2024,Kasus Diare Dilayani,10625
DI Yogyakarta,2024,Kasus Diare Dilayani,41886
DKI Jakarta,2024,Kasus Diare Dilayani,195005
Gorontalo,2024,Kasus Diare Dilayani,13040
Jambi,2024,Kasus Diare Dilayani,29469
Jawa Barat,2024,Kasus Diare Dilayani,663921
Jawa Tengah,2024,Kasus Diare Dilayani,467663
Jawa Timur,2024,Kasus Diare Dilayani,435344
Kalimantan Barat,2024,Kasus Diare Dilayani,36776
Kalimantan Selatan,2024,Kasus Diare Dilayani,44075
Kalimantan Tengah,2024,Kasus Diare Dilayani,20353
Kalimantan Timur,2024,Kasus Diare Dilayani,55417
Kalimantan Utara,2024,Kasus Diare Dilayani,13889
Kep. Bangka Belitung,2024,Kasus Diare Dilayani,17822
Kepulauan Riau,2024,Kasus Diare Dilayani,21425
Lampung,2024,Kasus Diare Dilayani,74406
Maluku,2024,Kasus Diare Dilayani,17183
Maluku Utara,2024,Kasus Diare Dilayani,11256
Nusa Tenggara Barat,2024,Kasus Diare Dilayani,102324
Nusa Tenggara Timur,2024,Kasus Diare Dilayani,29313
Papua,2024,Kasus Diare Dilayani,5610
Papua Barat,2024,Kasus Diare Dilayani,7309
Papua Selatan,2024,Kasus Diare Dilayani,3658
Papua Tengah,2024,Kasus Diare Dilayani,1771
Riau,2024,Kasus Diare Dilayani,38745
Sulawesi Barat,2024,Kasus Diare Dilayani,16785
Sulawesi Selatan,2024,Kasus Diare Dilayani,120370
Sulawesi Tengah,2024,Kasus Diare Dilayani,34225
Sulawesi Tenggara,2024,Kasus Diare Dilayani,24613
Sulawesi Utara,2024,Kasus Diare Dilayani,11532
Sumatera Barat,2024,Kasus Diare Dilayani,50105
Sumatera Selatan,2024,Kasus Diare Dilayani,27263
Sumatera Utara,2024,Kasus Diare Dilayani,133953
Aceh,2024,Kasus ISPA/Pneumonia,3296
Bali,2024,Kasus ISPA/Pneumonia,6055
Banten,2024,Kasus ISPA/Pneumonia,35808
Bengkulu,2024,Kasus ISPA/Pneumonia,463
DI Yogyakarta,2024,Kasus ISPA/Pneumonia,12780
DKI Jakarta,2024,Kasus ISPA/Pneumonia,41032
Gorontalo,2024,Kasus ISPA/Pneumonia,2843
Jambi,2024,Kasus ISPA/Pneumonia,1620
Jawa Barat,2024,Kasus ISPA/Pneumonia,133926
Jawa Tengah,2024,Kasus ISPA/Pneumonia,82862
Jawa Timur,2024,Kasus ISPA/Pneumonia,99628
Kalimantan Barat,2024,Kasus ISPA/Pneumonia,2270
Kalimantan Selatan,2024,Kasus ISPA/Pneumonia,13952
Kalimantan Tengah,2024,Kasus ISPA/Pneumonia,1480
Kalimantan Timur,2024,Kasus ISPA/Pneumonia,5799
Kalimantan Utara,2024,Kasus ISPA/Pneumonia,1524
Kep. Bangka Belitung,2024,Kasus ISPA/Pneumonia,2240
Kepulauan Riau,2024,Kasus ISPA/Pneumonia,1255
Lampung,2024,Kasus ISPA/Pneumonia,7537
Maluku,2024,Kasus ISPA/Pneumonia,1121
Maluku Utara,2024,Kasus ISPA/Pneumonia,870
Nusa Tenggara Barat,2024,Kasus ISPA/Pneumonia,17883
Nusa Tenggara Timur,2024,Kasus ISPA/Pneumonia,4966
Papua,2024,Kasus ISPA/Pneumonia,1153
Papua Barat,2024,Kasus ISPA/Pneumonia,1203
Papua Pegunungan,2024,Kasus ISPA/Pneumonia,0
Papua Selatan,2024,Kasus ISPA/Pneumonia,1873
Papua Tengah,2024,Kasus ISPA/Pneumonia,0
Riau,2024,Kasus ISPA/Pneumonia,1853
