provinsi,tahun,indikator,nilai
Aceh,2016,Kasus Diare Dilayani,25341
Bali,2016,Kasus Diare Dilayani,32651
Banten,2016,Kasus Diare Dilayani,164079
Bengkulu,2016,Kasus Diare Dilayani,12017
DI Yogyakarta,2016,Kasus Diare Dilayani,8442
DKI Jakarta,2016,Kasus Diare Dilayani,246895
Gorontalo,2016,Kasus Diare Dilayani,16206
Jambi,2016,Kasus Diare Dilayani,26001
Jawa Barat,2016,Kasus Diare Dilayani,930176
Jawa Tengah,2016,Kasus Diare Dilayani,95635
Jawa Timur,2016,Kasus Diare Dilayani,338806
Kalimantan Barat,2016,Kasus Diare Dilayani,0
Kalimantan Selatan,2016,Kasus Diare Dilayani,9986
Kalimantan Tengah,2016,Kasus Diare Dilayani,9472
Kalimantan Timur,2016,Kasus Diare Dilayani,51776
Kalimantan Utara,2016,Kasus Diare Dilayani,0
Kep. Bangka Belitung,2016,Kasus Diare Dilayani,12149
Kepulauan Riau,2016,Kasus Diare Dilayani,5351
Lampung,2016,Kasus Diare Dilayani,43323
Maluku,2016,Kasus Diare Dilayani,7764
Maluku Utara,2016,Kasus Diare Dilayani,0
Nusa Tenggara Barat,2016,Kasus Diare Dilayani,89269
Nusa Tenggara Timur,2016,Kasus Diare Dilayani,66341
Papua,2016,Kasus Diare Dilayani,16242
Papua Barat,2016,Kasus Diare Dilayani,0
Riau,2016,Kasus Diare Dilayani,7717
Sulawesi Barat,2016,Kasus Diare Dilayani,25825
Sulawesi Selatan,2016,Kasus Diare Dilayani,172650
Sulawesi Tengah,2016,Kasus Diare Dilayani,12992
Sulawesi Tenggara,2016,Kasus Diare Dilayani,30304
Sulawesi Utara,2016,Kasus Diare Dilayani,6337
Sumatera Barat,2016,Kasus Diare Dilayani,36322
Sumatera Selatan,2016,Kasus Diare Dilayani,44015
Sumatera Utara,2016,Kasus Diare Dilayani,0
Aceh,2016,Kasus ISPA/Pneumonia,1854
Bali,2016,Kasus ISPA/Pneumonia,6688
Banten,2016,Kasus ISPA/Pneumonia,30649
Bengkulu,2016,Kasus ISPA/Pneumonia,530
DI Yogyakarta,2016,Kasus ISPA/Pneumonia,3160
DKI Jakarta,2016,Kasus ISPA/Pneumonia,44967
Gorontalo,2016,Kasus ISPA/Pneumonia,4084
Jambi,2016,Kasus ISPA/Pneumonia,5572
Jawa Barat,2016,Kasus ISPA/Pneumonia,174612
Jawa Tengah,2016,Kasus ISPA/Pneumonia,59650
Jawa Timur,2016,Kasus ISPA/Pneumonia,93279
Kalimantan Barat,2016,Kasus ISPA/Pneumonia,2542
Kalimantan Selatan,2016,Kasus ISPA/Pneumonia,13262
Kalimantan Tengah,2016,Kasus ISPA/Pneumonia,466
Kalimantan Timur,2016,Kasus ISPA/Pneumonia,7153
Kalimantan Utara,2016,Kasus ISPA/Pneumonia,2632
