provinsi,tahun,indikator,nilai,satuan
Bengkulu,2016,Keluhan Kesehatan Umum,27.66,Persen
Bengkulu,2017,Keluhan Kesehatan Umum,24.83,Persen
Lampung,2016,Keluhan Kesehatan Umum,27.39,Persen
Lampung,2017,Keluhan Kesehatan Umum,28.52,Persen
Kep. Bangka Belitung,2016,Keluhan Kesehatan Umum,31.33,Persen
Kep. Bangka Belitung,2017,Keluhan Kesehatan Umum,27.7,Persen
Kep. Riau,2016,Keluhan Kesehatan Umum,22.17,Persen
Kep. Riau,2017,Keluhan Kesehatan Umum,21.46,Persen
Dki Jakarta,2016,Keluhan Kesehatan Umum,30.45,Persen
Dki Jakarta,2017,Keluhan Kesehatan Umum,27.05,Persen
Jawa Barat,2016,Keluhan Kesehatan Umum,28.32,Persen
Jawa Barat,2017,Keluhan Kesehatan Umum,29.26,Persen
Jawa Tengah,2016,Keluhan Kesehatan Umum,33.39,Persen
Jawa Tengah,2017,Keluhan Kesehatan Umum,32.72,Persen
Di Yogyakarta,2016,Keluhan Kesehatan Umum,35.98,Persen
Di Yogyakarta,2017,Keluhan Kesehatan Umum,32.9,Persen
Jawa Timur,2016,Keluhan Kesehatan Umum,29.88,Persen
Jawa Timur,2017,Keluhan Kesehatan Umum,31.48,Persen
Banten,2016,Keluhan Kesehatan Umum,28.3,Persen
Banten,2017,Keluhan Kesehatan Umum,27.51,Persen
Bali,2016,Keluhan Kesehatan Umum,31.18,Persen
Bali,2017,Keluhan Kesehatan Umum,28.9,Persen
Nusa Tenggara Barat,2016,Keluhan Kesehatan Umum,34.64,Persen
Nusa Tenggara Barat,2017,Keluhan Kesehatan Umum,30.89,Persen
Nusa Tenggara Timur,2016,Keluhan Kesehatan Umum,31.81,Persen
Nusa Tenggara Timur,2017,Keluhan Kesehatan Umum,34.86,Persen
Kalimantan Barat,2016,Keluhan Kesehatan Umum,24.93,Persen
Kalimantan Barat,2017,Keluhan Kesehatan Umum,24.5,Persen
Kalimantan Tengah,2016,Keluhan Kesehatan Umum,25.47,Persen
Kalimantan Tengah,2017,Keluhan Kesehatan Umum,25.7,Persen
Kalimantan Selatan,2016,Keluhan Kesehatan Umum,34.35,Persen
Kalimantan Selatan,2017,Keluhan Kesehatan Umum,33.45,Persen
Kalimantan Timur,2016,Keluhan Kesehatan Umum,21.76,Persen
Kalimantan Timur,2017,Keluhan Kesehatan Umum,23.92,Persen
Kalimantan Utara,2016,Keluhan Kesehatan Umum,22.38,Persen
Kalimantan Utara,2017,Keluhan Kesehatan Umum,28.41,Persen
Sulawesi Utara,2016,Keluhan Kesehatan Umum,25.79,Persen
Sulawesi Utara,2017,Keluhan Kesehatan Umum,26.67,Persen
Sulawesi Tengah,2016,Keluhan Kesehatan Umum,26.14,Persen
Sulawesi Tengah,2017,Keluhan Kesehatan Umum,29.8,Persen
Sulawesi Selatan,2016,Keluhan Kesehatan Umum,23.58,Persen
Sulawesi Selatan,2017,Keluhan Kesehatan Umum,24.7,Persen
Sulawesi Tenggara,2016,Keluhan Kesehatan Umum,26.84,Persen
Sulawesi Tenggara,2017,Keluhan Kesehatan Umum,24.1,Persen
Gorontalo,2016,Keluhan Kesehatan Umum,33.69,Persen
Gorontalo,2017,Keluhan Kesehatan Umum,34.43,Persen
Sulawesi Barat,2016,Keluhan Kesehatan Umum,26.73,Persen
Sulawesi Barat,2017,Keluhan Kesehatan Umum,25.74,Persen
Maluku,2016,Keluhan Kesehatan Umum,17.67,Persen
Maluku,2017,Keluhan Kesehatan Umum,19.09,Persen
Maluku Utara,2016,Keluhan Kesehatan Umum,16.25,Persen
Maluku Utara,2017,Keluhan Kesehatan Umum,16.04,Persen
Papua Barat,2016,Keluhan Kesehatan Umum,18.86,Persen
Papua Barat,2017,Keluhan Kesehatan Umum,20.71,Persen
Papua,2016,Keluhan Kesehatan Umum,16.64,Persen
Papua,2017,Keluhan Kesehatan Umum,16.53,Persen
Indonesia,2016,Keluhan Kesehatan Umum,28.53,Persen
Indonesia,2017,Keluhan Kesehatan Umum,28.62,Persen
Aceh,2018,Keluhan Kesehatan Umum,30.18,Persen
Aceh,2019,Keluhan Kesehatan Umum,29.33,Persen
Sumatera Utara,2018,Keluhan Kesehatan Umum,24.86,Persen
Sumatera Utara,2019,Keluhan Kesehatan Umum,26.28,Persen
Sumatera Barat,2018,Keluhan Kesehatan Umum,29.37,Persen
Sumatera Barat,2019,Keluhan Kesehatan Umum,29.84,Persen
Riau,2018,Keluhan Kesehatan Umum,29.61,Persen
Riau,2019,Keluhan Kesehatan Umum,26.44,Persen
Jambi,2018,Keluhan Kesehatan Umum,22.41,Persen
Jambi,2019,Keluhan Kesehatan Umum,21.42,Persen
Sumatera Selatan,2018,Keluhan Kesehatan Umum,28.57,Persen
Sumatera Selatan,2019,Keluhan Kesehatan Umum,30.9,Persen
Bengkulu,2018,Keluhan Kesehatan Umum,27.07,Persen
Bengkulu,2019,Keluhan Kesehatan Umum,29.72,Persen
Lampung,2018,Keluhan Kesehatan Umum,30.66,Persen
Lampung,2019,Keluhan Kesehatan Umum,35.32,Persen
Kep. Bangka Belitung,2018,Keluhan Kesehatan Umum,29.15,Persen
Kep. Bangka Belitung,2019,Keluhan Kesehatan Umum,32.76,Persen
Kep. Riau,2018,Keluhan Kesehatan Umum,22.4,Persen
Kep. Riau,2019,Keluhan Kesehatan Umum,21.37,Persen
Dki Jakarta,2018,Keluhan Kesehatan Umum,28.83,Persen
Dki Jakarta,2019,Keluhan Kesehatan Umum,29.28,Persen
Jawa Barat,2018,Keluhan Kesehatan Umum,31.03,Persen
Jawa Barat,2019,Keluhan Kesehatan Umum,33.09,Persen
Jawa Tengah,2018,Keluhan Kesehatan Umum,34.36,Persen
Jawa Tengah,2019,Keluhan Kesehatan Umum,36.83,Persen
Di Yogyakarta,2018,Keluhan Kesehatan Umum,35.32,Persen
Di Yogyakarta,2019,Keluhan Kesehatan Umum,35.67,Persen
Jawa Timur,2018,Keluhan Kesehatan Umum,33.8,Persen
Jawa Timur,2019,Keluhan Kesehatan Umum,35.59,Persen
Banten,2018,Keluhan Kesehatan Umum,32.41,Persen
Banten,2019,Keluhan Kesehatan Umum,34.29,Persen
Bali,2018,Keluhan Kesehatan Umum,30.33,Persen
Bali,2019,Keluhan Kesehatan Umum,28.53,Persen
Nusa Tenggara Barat,2018,Keluhan Kesehatan Umum,38.62,Persen
Nusa Tenggara Barat,2019,Keluhan Kesehatan Umum,44.39,Persen
Nusa Tenggara Timur,2018,Keluhan Kesehatan Umum,37.71,Persen
Nusa Tenggara Timur,2019,Keluhan Kesehatan Umum,40.39,Persen
Kalimantan Barat,2018,Keluhan Kesehatan Umum,28.68,Persen
Kalimantan Barat,2019,Keluhan Kesehatan Umum,27.52,Persen
Kalimantan Tengah,2018,Keluhan Kesehatan Umum,28.17,Persen
Kalimantan Tengah,2019,Keluhan Kesehatan Umum,27.14,Persen
Kalimantan Selatan,2018,Keluhan Kesehatan Umum,33.26,Persen
Kalimantan Selatan,2019,Keluhan Kesehatan Umum,35.07,Persen
Kalimantan Timur,2018,Keluhan Kesehatan Umum,27.81,Persen
Kalimantan Timur,2019,Keluhan Kesehatan Umum,27.28,Persen
Kalimantan Utara,2018,Keluhan Kesehatan Umum,31.09,Persen
Kalimantan Utara,2019,Keluhan Kesehatan Umum,27.84,Persen
Sulawesi Utara,2018,Keluhan Kesehatan Umum,29.01,Persen
Sulawesi Utara,2019,Keluhan Kesehatan Umum,28.85,Persen
Sulawesi Tengah,2018,Keluhan Kesehatan Umum,31.44,Persen
Sulawesi Tengah,2019,Keluhan Kesehatan Umum,32.32,Persen
Sulawesi Selatan,2018,Keluhan Kesehatan Umum,29.32,Persen
Sulawesi Selatan,2019,Keluhan Kesehatan Umum,30.12,Persen
Sulawesi Tenggara,2018,Keluhan Kesehatan Umum,27.81,Persen
Sulawesi Tenggara,2019,Keluhan Kesehatan Umum,28.48,Persen
Gorontalo,2018,Keluhan Kesehatan Umum,36.95,Persen
Gorontalo,2019,Keluhan Kesehatan Umum,36.97,Persen
Sulawesi Barat,2018,Keluhan Kesehatan Umum,29.47,Persen
Sulawesi Barat,2019,Keluhan Kesehatan Umum,26.77,Persen
Maluku,2018,Keluhan Kesehatan Umum,19.99,Persen
Maluku,2019,Keluhan Kesehatan Umum,19.37,Persen
Maluku Utara,2018,Keluhan Kesehatan Umum,19.94,Persen
Maluku Utara,2019,Keluhan Kesehatan Umum,17.99,Persen
Papua Barat,2018,Keluhan Kesehatan Umum,23.65,Persen
Papua Barat,2019,Keluhan Kesehatan Umum,25.11,Persen
Papua,2018,Keluhan Kesehatan Umum,17.6,Persen
Papua,2019,Keluhan Kesehatan Umum,15.2,Persen
Indonesia,2018,Keluhan Kesehatan Umum,30.96,Persen
Indonesia,2019,Keluhan Kesehatan Umum,32.36,Persen
Aceh,2020,Keluhan Kesehatan Umum,27.12,Persen
Aceh,2021,Keluhan Kesehatan Umum,25.16,Persen
Sumatera Utara,2020,Keluhan Kesehatan Umum,26.12,Persen
Sumatera Utara,2021,Keluhan Kesehatan Umum,20.45,Persen
Sumatera Barat,2020,Keluhan Kesehatan Umum,31.09,Persen
Sumatera Barat,2021,Keluhan Kesehatan Umum,24.51,Persen
Riau,2020,Keluhan Kesehatan Umum,24.66,Persen
Riau,2021,Keluhan Kesehatan Umum,22.78,Persen
Jambi,2020,Keluhan Kesehatan Umum,21.63,Persen
Jambi,2021,Keluhan Kesehatan Umum,16.83,Persen
Sumatera Selatan,2020,Keluhan Kesehatan Umum,29.32,Persen
Sumatera Selatan,2021,Keluhan Kesehatan Umum,27.91,Persen
Bengkulu,2020,Keluhan Kesehatan Umum,30.23,Persen
Bengkulu,2021,Keluhan Kesehatan Umum,26.63,Persen
Lampung,2020,Keluhan Kesehatan Umum,31.35,Persen
Lampung,2021,Keluhan Kesehatan Umum,28.44,Persen
Kep. Bangka Belitung,2020,Keluhan Kesehatan Umum,31.25,Persen
Kep. Bangka Belitung,2021,Keluhan Kesehatan Umum,26.16,Persen
Kep. Riau,2020,Keluhan Kesehatan Umum,18.21,Persen
Kep. Riau,2021,Keluhan Kesehatan Umum,14.72,Persen
Dki Jakarta,2020,Keluhan Kesehatan Umum,33.8,Persen
Dki Jakarta,2021,Keluhan Kesehatan Umum,25.98,Persen
Jawa Barat,2020,Keluhan Kesehatan Umum,32.04,Persen
Jawa Barat,2021,Keluhan Kesehatan Umum,29.74,Persen
Jawa Tengah,2020,Keluhan Kesehatan Umum,35.63,Persen
Jawa Tengah,2021,Keluhan Kesehatan Umum,29.81,Persen
Di Yogyakarta,2020,Keluhan Kesehatan Umum,38.07,Persen
Di Yogyakarta,2021,Keluhan Kesehatan Umum,30.2,Persen
Jawa Timur,2020,Keluhan Kesehatan Umum,32.8,Persen
Jawa Timur,2021,Keluhan Kesehatan Umum,28.55,Persen
Banten,2020,Keluhan Kesehatan Umum,32.22,Persen
Banten,2021,Keluhan Kesehatan Umum,28.41,Persen
Bali,2020,Keluhan Kesehatan Umum,25.48,Persen
Bali,2021,Keluhan Kesehatan Umum,23.62,Persen
Nusa Tenggara Barat,2020,Keluhan Kesehatan Umum,44.0,Persen
Nusa Tenggara Barat,2021,Keluhan Kesehatan Umum,42.15,Persen
Nusa Tenggara Timur,2020,Keluhan Kesehatan Umum,34.44,Persen
Nusa Tenggara Timur,2021,Keluhan Kesehatan Umum,30.14,Persen
Kalimantan Barat,2020,Keluhan Kesehatan Umum,25.84,Persen
Kalimantan Barat,2021,Keluhan Kesehatan Umum,21.32,Persen
Kalimantan Tengah,2020,Keluhan Kesehatan Umum,26.44,Persen
Kalimantan Tengah,2021,Keluhan Kesehatan Umum,22.57,Persen
Kalimantan Selatan,2020,Keluhan Kesehatan Umum,34.88,Persen
Kalimantan Selatan,2021,Keluhan Kesehatan Umum,32.02,Persen
Kalimantan Timur,2020,Keluhan Kesehatan Umum,22.65,Persen
Kalimantan Timur,2021,Keluhan Kesehatan Umum,21.32,Persen
Kalimantan Utara,2020,Keluhan Kesehatan Umum,26.04,Persen
Kalimantan Utara,2021,Keluhan Kesehatan Umum,25.18,Persen
Sulawesi Utara,2020,Keluhan Kesehatan Umum,24.98,Persen
Sulawesi Utara,2021,Keluhan Kesehatan Umum,22.09,Persen
Sulawesi Tengah,2020,Keluhan Kesehatan Umum,26.16,Persen
Sulawesi Tengah,2021,Keluhan Kesehatan Umum,25.72,Persen
Sulawesi Selatan,2020,Keluhan Kesehatan Umum,28.91,Persen
Sulawesi Selatan,2021,Keluhan Kesehatan Umum,28.03,Persen
Sulawesi Tenggara,2020,Keluhan Kesehatan Umum,29.23,Persen
Sulawesi Tenggara,2021,Keluhan Kesehatan Umum,25.8,Persen
Gorontalo,2020,Keluhan Kesehatan Umum,32.19,Persen
Gorontalo,2021,Keluhan Kesehatan Umum,31.06,Persen
Sulawesi Barat,2020,Keluhan Kesehatan Umum,26.29,Persen
Sulawesi Barat,2021,Keluhan Kesehatan Umum,25.86,Persen
Maluku,2020,Keluhan Kesehatan Umum,18.55,Persen
Maluku,2021,Keluhan Kesehatan Umum,16.42,Persen
Maluku Utara,2020,Keluhan Kesehatan Umum,15.97,Persen
Maluku Utara,2021,Keluhan Kesehatan Umum,15.66,Persen
Papua Barat,2020,Keluhan Kesehatan Umum,21.43,Persen
Papua Barat,2021,Keluhan Kesehatan Umum,20.74,Persen
Papua,2020,Keluhan Kesehatan Umum,16.27,Persen
Papua,2021,Keluhan Kesehatan Umum,12.74,Persen
Indonesia,2020,Keluhan Kesehatan Umum,30.96,Persen
Indonesia,2021,Keluhan Kesehatan Umum,27.23,Persen
Aceh,2022,Keluhan Kesehatan Umum,32.91,Persen
Aceh,2023,Keluhan Kesehatan Umum,27.71,Persen
