No,Provinsi,Jumlah Penduduk,Kasus Baru,,,,,,,,,Angka Penemuan Kasus Baru (NCDR/New Case Detection Rate) Per 100.000 Penduduk
,,,Pausi Basiler (PB)/ Kusta kering,,,Multi Basiler (MB)/ Kusta Basah,,,PB + MB,,,
,,,L,P,L+P,L,P,L+P,L,P,L+P,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
1,Aceh,5.599.952,18 ,21 ,39 ,167 ,78 ,245 ,185 ,99 ,284 ,5.1
2,Sumatera Utara,15.257.842,1 ,2 ,3 ,88 ,62 ,150 ,89 ,64 ,153 ,1.0
3,Sumatera Barat,5.676.344,3 ,6 ,9 ,35 ,21 ,56 ,38 ,27 ,65 ,1.1
4,Riau,7.295.829,5 ,7 ,12 ,87 ,34 ,121 ,92 ,41 ,133 ,1.8
5,Jambi,3.674.667,4 ,4 ,8 ,43 ,17 ,60 ,47 ,21 ,68 ,1.9
6,Sumatera Selatan,8.902.406,15 ,4 ,19 ,108 ,76 ,184 ,123 ,80 ,203 ,2.3
7,Bengkulu,2.059.421,1 ,0 ,1 ,7 ,3 ,10 ,8 ,3 ,11 ,0.5
8,Lampung,8.521.201,5 ,7 ,12 ,96 ,34 ,130 ,101 ,41 ,142 ,1.7
9,Kepulauan  Bangka Belitung,1.524.567,1 ,1 ,2 ,31 ,17 ,48 ,32 ,18 ,50 ,3.3
10,Kepulauan Riau,2.521.306,3 ,2 ,5 ,23 ,11 ,34 ,26 ,13 ,39 ,1.5
11,DKI Jakarta,11.204.714,20 ,21 ,41 ,331 ,170 ,501 ,351 ,191 ,542 ,4.8
12,Jawa Barat,49.964.542,67 ,51 ,118 ,1.083 ,589 ,1.672 ,1.150 ,640 ,1.790 ,3.6
13,Jawa Tengah,35.258.144,30 ,27 ,57 ,806 ,422 ,1.228 ,836 ,449 ,1.285 ,3.6
14,DI Yogyakarta,3.634.493,6 ,1 ,7 ,22 ,21 ,43 ,28 ,22 ,50 ,1.4
15,Jawa Timur,40.348.441,76 ,52 ,128 ,1.448 ,772 ,2.220 ,1.524 ,824 ,2.348 ,5.8
16,Banten,13.613.944,35 ,33 ,68 ,469 ,245 ,714 ,504 ,278 ,782 ,5.7
17,Bali,4.570.684,3 ,5 ,8 ,88 ,35 ,123 ,91 ,40 ,131 ,2.9
18,Nusa Tenggara Barat,5.370.302,18 ,18 ,36 ,123 ,89 ,212 ,141 ,107 ,248 ,4.6
19,Nusa Tenggara Timur,5.784.645,23 ,12 ,35 ,341 ,158 ,499 ,364 ,170 ,534 ,9.2
20,Kalimantan Barat,5.456.623,5 ,2 ,7 ,44 ,16 ,60 ,49 ,18 ,67 ,1.2
21,Kalimantan Tengah,2.741.075,6 ,5 ,11 ,36 ,16 ,52 ,42 ,21 ,63 ,2.3
22,Kalimantan Selatan,4.420.513,9 ,2 ,11 ,90 ,35 ,125 ,99 ,37 ,136 ,3.08
23,Kalimantan Timur,3.795.636,11 ,9 ,20 ,107 ,30 ,137 ,118 ,39 ,157 ,4.1
24,Kalimantan Utara,734.112,0 ,0 ,0 ,15 ,8 ,23 ,15 ,8 ,23 ,3.1
25,Sulawesi Utara,2.550.592,14 ,13 ,27 ,283 ,146 ,429 ,297 ,159 ,456 ,17.9
26,Sulawesi Tengah,3.159.749,17  14,18 ,35 ,191 ,96 ,287 ,208 ,114 ,322 ,10.2
27,Sulawesi Selatan,9.086.997,47 ,52 ,99 ,473 ,245 ,718 ,520 ,297 ,817 ,9.0
28,Sulawesi Tenggara,2.721.246,,14 ,28 ,115 ,77 ,192 ,129 ,91 ,220 ,8.1
29,Gorontalo,1.189.312,3 ,1 ,4 ,114 ,48 ,162 ,117 ,49 ,166 ,14.0
30,Sulawesi Barat,1.433.233,11 ,9 ,20 ,94 ,37 ,131 ,105 ,46 ,151 ,10.5
31,Maluku,1.906.490,8 ,10 ,18 ,241 ,158 ,399 ,249 ,168 ,417 ,21.9
32,Maluku Utara,1.301.836,23 ,34 ,57 ,396 ,213 ,609 ,419 ,247 ,666 ,51.2
33,Papua,828.420,60 ,107 ,167 ,391 ,226 ,617 ,451 ,333 ,784 ,94.6
34,Papua Barat,465.563,45 ,37 ,82 ,177 ,106 ,283 ,222 ,143 ,365 ,78.4
35,Papua Selatan,523.182,11 ,6 ,17 ,51 ,25 ,76 ,62 ,31 ,93 ,17.8
36,Papua Tengah,991.989,14 ,17 ,31 ,125 ,68 ,193 ,139 ,85 ,224 ,22.6
37 Papua Pegunungan Indonesia,,975.550 275.619.137,2  673,0  643,2  1.316,4  8.546,3  4.514,7  13.060,6  9.219,3  5.157,9  14.376,"0.9 5,2"
38 Papua Barat Daya Proporsi Jenis Kelamin,,553.575,"39  51,1","33  48,9",72 ,"203  65,4","107  34,6",310 ,"242  64,1","140  35,9",382  69.0,
