No,Provinsi,Jumlah Balita,Perkiraan Pneumonia Balita,Realisasi Penemuan Penderita Pneumonia Pada Balita,,,,,,,,,,,,,,,,,,,,Kasus Pneumonia yang mendapatkan antibiotik,Persentase Kasus Pneumonia yang mendapatkan pengobatan sesuai standar
,,,,Pneumonia,,,,Pneumonia Berat,,,,Jumlah,,,%,Jumlah Kematian Balita Karena Pneumonia,,,,Total,,,CFR (%),,
,,,,< 1 Tahun,,1-<5 tahun,,< 1 Tahun,,1-<5 tahun,,L,P,L+P,,< 1 Tahun,,1-<5 tahun,,L,P,L+P,,,
,,,,L,P,L,P,L,P,L,P,,,,,L,P,L,P,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26)
1,Aceh,548.866,24.479,403,286,1.254,1.000,75,57,124,97,1.856,1.440,3.296,"13,46",1,0,0,1,1,1,2,"0,06",2.972,"90,17"
2,Sumatera Utara,1.560.648,46.663,863,636,1.824,1.605,455,291,371,283,3.513,2.815,6.328,"13,56",31,15,3,9,34,24,58,"0,92",6.282,"99,27"
3,Sumatera Barat,565.241,22.101,1.151,842,3.281,2.871,68,51,171,141,4.671,3.905,8.576,"38,80",0,1,0,0,0,1,1,"0,01",8.202,"95,64"
4,Riau,644.531,17.209,319,198,654,557,32,14,46,33,1.051,802,1.853,"10,77",0,0,0,0,0,0,0,"0,00",1.735,"93,63"
5,Jambi,368.234,11.599,306,221,573,459,14,13,17,17,910,710,1.620,"13,97",0,0,0,0,0,0,0,"0,00",1.586,"97,90"
6,Sumatera Selatan,923.818,33.350,845,826,2.587,2.281,118,64,106,69,3.656,3.240,6.896,"20,68",0,0,0,0,0,0,0,"0,00",6.235,"90,41"
7,Bengkulu,207.056,4.141,68,35,201,149,4,1,1,4,274,189,463,"11,18",0,0,0,0,0,0,0,"0,00",462,"99,78"
8,Lampung,918.823,20.490,1.006,1.129,2.771,2.308,88,67,106,62,3.971,3.566,7.537,"36,78",0,0,0,0,0,0,0,"0,00",7.468,"99,08"
9,Kep. Bangka Belitung,145.333,8.793,351,194,917,742,9,5,13,9,1.290,950,2.240,"25,47",2,1,0,0,2,1,3,"0,13",2.215,"98,88"
10,Kepulauan Riau,207.944,8.276,240,144,457,382,9,3,12,8,718,537,1.255,"15,16",1,2,0,0,1,2,3,"0,24",1.222,"97,37"
11,DKI Jakarta,891.491,37.799,7.199,5.517,14.795,12.753,172,135,252,209,22.418,18.614,41.032,"108,55",0,0,0,0,0,0,0,"0,00",41.032,"100,00"
12,Jawa Barat,4.960.090,229.156,22.310,18.745,44.892,40.319,1.739,1.193,2.577,2.151,71.518,62.408,133.926,"58,44",31,35,15,10,46,45,91,"0,07",130.668,"97,57"
13,Jawa Tengah,3.547.812,128.076,10.860,9.496,31.054,27.163,962,635,1.485,1.207,44.361,38.501,82.862,"64,70",98,97,34,46,132,143,275,"0,33",80.786,"97,49"
14,DI Yogyakarta,198.343,8.568,1.550,1.053,3.521,2.655,990,622,1.385,1.004,7.446,5.334,12.780,"149,16",5,1,2,3,7,4,11,"0,09",10.989,"85,99"
15,Jawa Timur,3.537.130,137.861,12.845,12.234,37.808,35.094,363,234,548,502,51.564,48.064,99.628,"72,27",4,2,3,1,7,3,10,"0,01",97.670,"98,03"
16,Banten,1.168.992,48.162,5.851,5.246,12.575,11.596,131,114,149,146,18.706,17.102,35.808,"74,35",2,0,0,2,2,2,4,"0,01",34.038,"95,06"
17,Bali,323.353,6.955,1.117,785,2.179,1.584,87,77,140,86,3.523,2.532,6.055,"87,06",6,5,0,0,6,5,11,"0,18",5.921,"97,79"
18,Nusa Tenggara Barat,564.602,32.663,3.032,2.322,6.151,5.046,341,190,416,385,9.940,7.943,17.883,"54,75",6,3,0,0,6,3,9,"0,05",17.743,"99,22"
19,Nusa Tenggara Timur,540.594,23.137,1.154,810,1.295,1.253,125,76,115,138,2.689,2.277,4.966,"21,46",1,0,0,1,1,1,2,"0,04",4.966,"100,00"
20,Kalimantan Barat,544.043,11.534,439,341,723,616,31,22,46,52,1.239,1.031,2.270,"19,68",11,13,0,1,11,14,25,"1,10",2.200,"96,92"
21,Kalimantan Tengah,275.864,12.055,243,149,420,287,108,81,108,84,879,601,1.480,"12,28",2,1,3,0,5,1,6,"0,41",1.480,"100,00"
22,Kalimantan Selatan,422.507,23.365,2.268,1.678,4.745,3.846,411,310,385,309,7.809,6.143,13.952,"59,71",0,0,0,0,0,0,0,"0,00",13.657,"97,89"
23,Kalimantan Timur,365.934,10.466,1.139,751,1.988,1.583,67,36,139,96,3.333,2.466,5.799,"55,41",0,0,0,1,0,1,1,"0,02",5.764,"99,40"
24,Kalimantan Utara,73.996,2.116,286,221,584,415,8,2,4,4,882,642,1.524,"72,02",1,1,1,0,2,1,3,"0,20",1.505,"98,75"
25,Sulawesi Utara,261.229,7.001,34,21,81,79,11,4,7,6,133,110,243,"3,47",4,3,0,0,4,3,7,"2,88",240,"98,77"
26,Sulawesi Tengah,294.550,16.112,1.426,1.039,3.306,2.593,118,88,145,125,4.995,3.845,8.840,"54,87",3,0,2,0,5,0,5,"0,06",8.123,"91,89"
27,Sulawesi Selatan,908.767,34.446,1.378,1.031,2.958,2.257,360,249,455,364,5.151,3.901,9.052,"26,28",11,3,2,1,13,4,17,"0,19",8.688,"95,98"
28,Sulawesi Tenggara,273.700,10.510,321,250,551,450,17,9,20,29,909,738,1.647,"15,67",0,0,3,0,3,0,3,"0,18",1.640,"99,57"
29,Gorontalo,118.164,5.660,581,390,907,814,36,18,55,42,1.579,1.264,2.843,"50,23",0,1,0,0,0,1,1,"0,04",2.734,"96,17"
30,Sulawesi Barat,142.964,6.977,215,120,425,334,79,37,104,67,823,558,1.381,"19,79",9,10,0,3,9,13,22,"1,59",1.198,"86,75"
31,Maluku,184.774,6.911,222,174,370,314,9,15,9,8,610,511,1.121,"16,22",6,4,1,0,7,4,11,"0,98",1.099,"98,04"
32,Maluku Utara,124.666,2.855,182,114,306,223,8,7,19,11,515,355,870,"30,47",1,1,0,0,1,1,2,"0,23",837,"96,21"
33,Papua,92.253,2.583,220,167,248,190,78,67,86,97,632,521,1.153,"44,64",4,4,0,0,4,4,8,"0,69",1.057,"91,67"
34,Papua Barat,50.702,1.460,228,201,401,300,18,11,23,21,670,533,1.203,"82,40",2,4,0,1,2,5,7,"0,58",1.153,"95,84"
35,Papua Selatan,58.181,1.676,318,267,465,416,123,60,116,108,1.022,851,1.873,"111,75",3,6,5,9,8,15,23,"1,23",1.370,"73,1"
36,Papua Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,0,"0,00",0,"0,0"
37,Papua Pegunungan,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,0,"0,00",0,"0,0"
38 PapuaIn Bdaornate Dsiaaya,,26.07516..975527,1.0061..864305,81.03699,67.68596,187.319392,164.614184,7.2695,4.8591,9.7583,7.9806,285.426059,245.117767,530.634816,"5223,,7601",2505,2207,751,901,3256,3108,63154,"03,,1623",515.332836,"9170,01,10"
No,Provinsi,K e l o m p o k U m u r ( T a h u n ),,,,,,,,,,,,,,,Jumlah estimasi orang dengan risiko terinfeksi HIV (minimal) (Target Tes),Jumlah orang dengan risiko terinfeksi HIV yang mendapatkan pelayanan sesuai standar (Tes HIV),Persentase orang dengan risiko terinfeksi HIV mendapatkan pelayanan deteksi dini HIV sesuai standar,,,,,,
,,≤ 4 Tahun,,5 - 14 Tahun,,15 - 19 Tahun,,20 - 24 Tahun,,25 - 49 Tahun,,≥ 50 Tahun,,Total,,,,,,,,,,,
,,L,P,L,P,L,P,L,P,L,P,L,P,L,P,T,,,,,,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),,,,,,
1,Aceh,0,2,2,3,17,0,52,11,196,44,20,5,287,65,352,135.151,104.579,77%,,,,,,
2,Sumatera Utara,22,8,11,13,172,24,574,50,1.705,417,178,76,2.662,588,3.250,452.858,345.840,76%,,,,,,
3,Sumatera Barat,2,1,3,2,29,3,108,10,388,72,30,6,560,94,654,167.178,106.048,63%,,,,,,
4,Riau,7,6,4,4,41,4,192,17,522,134,49,27,815,192,1.007,233.796,198.708,85%,,,,,,
5,Jambi,0,5,0,2,17,2,55,3,163,49,14,3,249,64,313,92.750,61.823,67%,,,,,,
6,Sumatera Selatan,9,2,2,7,45,5,161,16,498,158,60,23,775,211,986,248.250,205.800,83%,,,,,,
7,Bengkulu,2,1,0,0,5,2,37,8,80,24,8,6,132,41,173,63.327,45.875,72%,,,,,,
8,Lampung,13,3,9,5,57,15,196,46,594,185,64,33,933,287,1.220,223.299,159.463,71%,,,,,,
9,Kep. Bangka Belitung,1,0,1,4,8,2,36,8,131,62,20,4,197,80,277,42.660,40.056,94%,,,,,,
10,Kepulauan Riau,7,2,5,4,48,8,133,15,488,156,57,26,738,211,949,78.454,82.970,106%,,,,,,
11,DKI Jakarta,16,10,20,20,199,33,937,103,2.686,607,298,98,4.156,871,5.027,339.786,580.577,171%,,,,,,
12,Jawa Barat,57,47,51,49,513,103,1.755,294,4.570,1.667,565,222,7.511,2.382,9.893,1.311.992,1.194.931,91%,,,,,,
13,Jawa Tengah,35,30,27,23,222,75,721,159,2.506,1.254,755,384,4.266,1.925,6.191,861.554,951.448,110%,,,,,,
14,DI Yogyakarta,1,4,5,2,60,8,207,16,388,97,98,42,759,169,928,85.762,93.289,109%,,,,,,
15,Jawa Timur,41,32,51,38,322,58,1.043,326,4.051,2.474,1.286,738,6.794,3.666,10.460,886.108,964.578,109%,,,,,,
16,Banten,9,8,23,9,99,16,426,46,1.247,360,141,50,1.945,489,2.434,361.382,358.361,99%,,,,,,
17,Bali,10,5,9,7,56,14,233,78,865,439,182,100,1.355,643,1.998,120.125,99.766,83%,,,,,,
18,Nusa Tenggara Barat,3,4,3,1,41,5,95,20,294,111,41,9,477,150,627,149.851,145.221,97%,,,,,,
19,Nusa Tenggara Timur,11,7,7,6,33,28,153,70,523,283,82,52,809,446,1.255,183.991,100.648,55%,,,,,,
20,Kalimantan Barat,8,11,10,8,53,18,199,45,590,246,96,25,956,353,1.309,144.031,109.462,76%,,,,,,
21,Kalimantan Tengah,2,1,1,0,20,6,68,13,219,111,27,17,337,148,485,81.156,55.875,69%,,,,,,
22,Kalimantan Selatan,4,3,3,0,25,5,111,21,309,121,57,15,509,165,674,123.848,133.495,108%,,,,,,
23,Kalimantan Timur,11,11,5,3,64,12,195,46,590,283,104,51,969,406,1.375,133.262,171.412,129%,,,,,,
24,Kalimantan Utara,1,1,0,2,13,1,34,11,102,34,9,1,159,50,209,25.318,29.045,115%,,,,,,
25,Sulawesi Utara,5,7,4,2,66,12,202,35,371,108,37,20,685,184,869,78.575,41.249,52%,,,,,,
26,Sulawesi Tengah,1,3,4,0,57,4,160,16,343,79,35,3,600,105,705,88.991,43.671,49%,,,,,,
27,Sulawesi Selatan,5,7,6,11,180,17,460,47,1.028,241,86,32,1.765,355,2.120,266.815,197.148,74%,,,,,,
28,Sulawesi Tenggara,4,3,1,1,45,11,122,26,295,107,22,9,489,157,646,85.291,55.780,65%,,,,,,
29,Gorontalo,0,1,1,0,18,1,73,6,141,23,10,3,243,34,277,36.521,25.898,71%,,,,,,
30,Sulawesi Barat,1,0,1,1,4,1,27,4,76,14,4,1,113,21,134,43.738,25.905,59%,,,,,,
31,Maluku,5,10,4,2,45,22,138,76,307,187,42,23,541,320,861,65.504,46.556,71%,,,,,,
32,Maluku Utara,5,3,3,3,34,22,101,43,247,106,13,12,403,189,592,39.655,22.753,57%,,,,,,
33,Papua,26,26,7,8,54,147,213,412,625,662,58,37,983,1.292,2.275,107.520,49.512,46%,,,,,,
34,Papua Barat,7,6,3,5,20,57,93,131,224,247,18,16,365,462,827,70.241,34.473,49%,,,,,,
35,Papua Selatan,1,3,1,0,3,19,12,27,56,62,4,6,77,117,194,58.329,26.893,46%,,,,,,
36,Papua Tengah,7,11,2,14,53,139,139,187,357,338,37,27,595,716,1.311,95.736,47.096,49%,,,,,,
37,Papua Pegunungan,3,3,2,3,7,33,41,88,177,181,12,9,242,317,559,48.463,10.117,21%,,,,,,
38 PapuIan dBoanraets Diaaya,,3402,2829,2901,2664,2.7594,91580,9.53480,2.55822,28.06291,11.88247,4.6298,2.2167,45.152756,18.116361,63.279017,7.65835..910619,6.92806..048012,"370%,9",,,,,,
,,"1,0%",,"0,9%",,"5,8%",,"19,0%",,"62,5%",,"10,7%",,100%,,,,,,,,,,,
