No,Provinsi,Penduduk,Malaria,,,,,,,,,,
,,,Suspek,Konfirmasi Laboratorium,,,% Konfirmasi Laboratorium,Positif,,,Pengobatan Standar,% Pengobatan Standar,Annual Paracite Incidence (API) per 1.000 Penduduk
,,,,Mikroskopis,Rapid Diagnostic Test (RDT),Total,,L,P,L+P,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14)
1,Aceh,5.554.815,48.631,14.695,33.936,48.631,"100,00%",305,67,372,372,"100,00%","0,07"
2,Sumatera Utara,15.588.525,44.379,17.467,26.910,44.377,"100,00%",4.061,2.535,6.596,4.822,"73,10%","0,42"
3,Sumatera Barat,5.836.156,13.042,2.850,10.192,13.042,"100,00%",43,11,54,45,"83,33%","0,01"
4,Riau,6.728.053,19.617,6.395,13.222,19.617,"100,00%",1.747,969,2.716,2.690,"99,04%","0,40"
5,Jambi,3.724.284,29.797,10.981,18.761,29.742,"99,82%",43,6,49,49,"100,00%","0,01"
6,Sumatera Selatan,8.837.301,42.263,12.656,29.607,42.263,"100,00%",91,8,99,99,"100,00%","0,01"
7,Bengkulu,2.112.235,16.325,3.493,12.823,16.316,"99,94%",3,0,3,3,"100,00%","0,00"
8,Lampung,9.419.582,67.360,38.029,29.331,67.360,"100,00%",1.584,1.012,2.596,2.596,"100,00%","0,28"
9,Kepulauan Bangka Belitung,1.531.530,12.453,4.129,8.324,12.453,"100,00%",12,1,13,10,"76,92%","0,01"
10,Kepulauan Riau,2.183.292,13.376,7.139,6.237,13.376,"100,00%",206,100,306,306,"100,00%","0,14"
11,DKI Jakarta,10.684.946,7.665,1.865,5.800,7.665,"100,00%",314,44,358,341,"95,25%","0,03"
12,Jawa Barat,50.345.189,12.146,8.456,3.690,12.146,"100,00%",477,35,512,489,"95,51%","0,01"
13,Jawa Tengah,37.892.283,30.979,17.334,13.199,30.533,"98,56%",709,38,747,562,"75,23%","0,02"
14,DI Yogyakarta,3.759.503,19.383,11.790,7.593,19.383,"100,00%",88,33,121,27,"22,31%","0,03"
15,Jawa Timur,41.814.499,12.915,6.498,6.417,12.915,"100,00%",505,48,553,544,"98,37%","0,01"
16,Banten,12.431.391,4.268,781,3.487,4.268,"100,00%",119,11,130,130,"100,00%","0,01"
