No,Provinsi,Penduduk,,,Klasifikasi,,,Jenis Kelamin,,Jumlah Kasus Baru*,Case Detection Rate per 100.000 Penduduk
,,Laki-laki,Perempuan,Laki-laki + Perempuan,PB*,MB*,Proporsi MB,Laki-laki*,Perempuan*,,
(1),(2),(3),(4),(5),(6),(7),(7),(8),(9),(10),(11)
1,Aceh,2.545.113,2.551.135,5.096.248,89,333,"78,91",256,166,422,"8,28"
2,Sumatera Utara,7.037.326,7.065.585,14.102.911,20,157,"88,70",117,60,177,"1,26"
3,Sumatera Barat,2.617.273,2.642.255,5.259.528,18,36,"66,67",30,24,54,"1,03"
4,Riau,3.336.874,3.164.097,6.500.971,28,116,"80,56",92,52,144,"2,22"
5,Jambi,1.764.935,1.693.991,3.458.926,2,59,"96,72",51,10,61,"1,76"
6,Sumatera Selatan,4.147.140,4.013.761,8.160.901,34,244,"87,77",154,124,278,"3,41"
7,Bengkulu,971.286,933.507,1.904.793,4,16,"80,00",17,3,20,"1,05"
8,Lampung,4.205.694,3.999.447,8.205.141,5,72,"93,51",44,33,77,"0,94"
9,Kepulauan Bangka Belitung,728.580,673.247,1.401.827,3,28,"90,32",20,11,31,"2,21"
10,Kepulauan Riau,1.035.511,992.658,2.028.169,8,26,"76,47",23,11,34,"1,68"
11,DKI Jakarta,5.159.683,5.117.945,10.277.628,33,277,"89,35",217,93,310,"3,02"
12,Jawa Barat,24.011.261,23.368.128,47.379.389,227,1.819,"88,91",1383,663,2046,"4,32"
13,Jawa Tengah,16.871.194,17.147.901,34.019.095,188,1.421,"88,32",1042,567,1609,"4,73"
14,DI Yogyakarta,1.839.951,1.880.961,3.720.912,17,23,"57,50",23,17,40,"1,08"
15,Jawa Timur,19.288.006,19.787.146,39.075.152,563,3.436,"85,92",2363,1.636,3999,"10,23"
16,Banten,6.221.640,5.981.508,12.203.148,107,819,"88,44",585,341,926,"7,59"
17,Bali,2.114.942,2.085.127,4.200.069,13,86,"86,87",67,32,99,"2,36"
18,Nusa Tenggara Barat,2.375.750,2.520.412,4.896.162,43,200,"82,30",144,99,243,"4,96"
19,Nusa Tenggara Timur,2.577.953,2.625.561,5.203.514,45,216,"82,76",206,55,261,"5,02"
20,Kalimantan Barat,2.475.666,2.386.072,4.861.738,8,83,"91,21",53,38,91,"1,87"
21,Kalimantan Tengah,1.332.274,1.217.918,2.550.192,0,51,"100,00",46,5,51,"2,00"
22,Kalimantan Selatan,2.056.078,1.999.401,4.055.479,14,110,"88,71",85,39,124,"3,06"
23,Kalimantan Timur,1.836.293,1.664.939,3.501.232,25,133,"84,18",107,51,158,"4,51"
24,Kalimantan Utara,353.529,312.804,666.333,5,24,"82,76",19,10,29,"4,35"
25,Sulawesi Utara,1.243.443,1.193.478,2.436.921,32,347,"91,56",247,132,379,"15,55"
26,Sulawesi Tengah,1.492.152,1.429.563,2.921.715,34,283,"89,27",196,121,317,"10,85"
27,Sulawesi Selatan,4.204.110,4.402.265,8.606.375,204,920,"81,85",668,456,1124,"13,06"
28,Sulawesi Tenggara,1.282.324,1.268.684,2.551.008,27,302,"91,79",226,103,329,"12,90"
29,Gorontalo,576.482,574.283,1.150.765,10,167,"94,35",117,60,177,"15,38"
30,Sulawesi Barat,655.452,651.026,1.306.478,45,136,"75,14",109,72,181,"13,85"
31,Maluku,865.168,850.380,1.715.548,46,396,"89,59",273,169,442,"25,76"
32,Maluku Utara,605.068,580.844,1.185.912,103,318,"75,53",244,177,421,"35,50"
33,Papua Barat,470.568,422.794,893.362,352,553,"61,10",536,369,905,"101,30"
34,Papua,1.689.971,1.517.473,3.207.444,309,958,"75,61",752,515,1267,"39,50"
Indonesia,,129.988.690,128.716.296,258.704.986,2.661,14.165,"84,19",10.512,6.314,16.826,"6,50"
