72,PROFIL KESEHATAN INDONESIA Tahun 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39,71 876",,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,,,,,,,667,,,,,,,,,,,,,,,,,,,,,
,,,,,,,649,,,,,,,,,,,,,,,,,,,,,
,,,,16,",26",,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,196,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,166,,,,,"3,",84,,145 145,,,,,,,,,,,,,
,,,,,,,,,"4,4",0,,,,,,"1,4",0,34 35,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"0,00",,,,,,,,,
112222,PPRROOFFIILL KKEESSEEHHAATTAANN IINNDDOONNEESSIIAA TTaahhuunn 22001166,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempat Rujukan,,,,Daerah Kerja,,,,,,,,Total,,,,,,,,,,,,,,,,
,,,,Madinah,,,Makkah,,,Airport,,,,,,,,,,,,,,,,,,
Sektor/Oktagon,,,-,,,2.198,,,52,,,2.250,,,,,,,,,,,,,,,,
,Klinik Kesehatan Jemaah Haji,,1.243,,,1.300,,,401,,,2.944,,,,,,,,,,,,,,,,
,Indonesia (KKHI),,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumah Sakit Arab Saudi (RSAS),,,120,,,326,,,32,,,478,,,,,,,,,,,,,,,,
,T o t a l,,,1.363,,,3.824,,,485,,,5.672,,,,,,,,,,,,,,,
236,PROFIL KESEHATAN INDONESIA Tahun 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"7,36",,"74 62,67 7,14",",67",,,,,,,,,,,,,,,,,,,,,,,
,"1 1 15 15 2,9 ,71",,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Renstr 2016: 15%,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PROFIL KESEHATAN INDONESIA Tahun 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Pemerintah,,,,,,,,,,,,Pemerintah Daerah,,,,,,,,,Swasta,,,Semua RS,,
,,Kementerian Kesehatan,,,Kepolisian,,,Tentara Nasional Indonesia,,,Kementerian Lain,,,Pemerintahan Provinsi,,,Pemerintahan Kabupaten,,,Pemerintahan Kota,,,Swasta,,,,,
,,m u m U S R,s u s u h K S R,h a ml u J,m u m U S R,s u s u h K S R,h a ml u J,m u m U S R,s u s u h K S R,h a ml u J,m u m U S R,s u s u h K S R,h a ml u J,m u m U S R,s u s u h K S R,h a ml u J,m u m U S R,s u s u h K S R,h a ml u J,m u m U S R,s u s u h K S R,h a ml u J,m u m U S R,s u s u h K S R,h a ml u J,m u m U S R,s u s u h K S R,h a ml u J
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29)
1,Aceh,0,0,0,1,0,1,4,0,4,0,0,0,1,2,3,20,0,20,4,0,4,35,1,36,65,3,68
2,Sumatera Utara,1,0,1,2,0,2,7,0,7,1,0,1,1,3,4,26,0,26,7,0,7,130,17,147,175,20,195
3,Sumatera Barat,1,1,2,1,0,1,3,0,3,0,0,0,2,2,4,12,0,12,5,0,5,17,23,40,41,26,67
4,Riau,0,0,0,2,0,2,2,0,2,1,0,1,2,1,3,13,0,13,1,1,2,36,13,49,57,15,72
5,Jambi,0,0,0,1,0,1,1,0,1,0,0,0,1,1,2,11,0,11,1,0,1,13,5,18,28,6,34
6,Sumatera Selatan,1,1,2,1,0,1,3,0,3,0,0,0,0,3,3,16,0,16,5,1,6,22,12,34,48,17,65
7,Bengkulu,0,0,0,1,0,1,2,0,2,0,0,0,1,1,2,10,0,10,1,0,1,4,1,5,19,2,21
8,Lampung,0,0,0,1,0,1,1,0,1,0,0,0,1,1,2,10,0,10,3,0,3,30,17,47,46,18,64
9,Kepulauan Bangka Belitung,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,0,7,1,0,1,6,1,7,15,2,17
10,Kepulauan Riau,0,0,0,0,0,0,2,0,2,0,0,0,3,0,3,6,0,6,2,0,2,10,5,15,23,5,28
11,DKI Jakarta,3,7,10,2,0,2,7,3,10,4,0,4,22,1,23,0,0,0,5,1,6,85,50,135,128,62,190
12,Jawa Barat,1,4,5,4,0,4,9,0,9,0,0,0,2,2,4,33,0,33,8,2,10,197,66,263,254,74,328
13,Jawa Tengah,2,3,5,2,0,2,10,0,10,2,1,3,4,3,7,44,1,45,5,0,5,163,50,213,232,58,290
14,DI Yogyakarta,1,0,1,1,0,1,2,0,2,0,0,0,0,1,1,6,0,6,2,1,3,41,19,60,53,21,74
15,Jawa Timur,0,1,1,10,0,10,19,3,22,2,0,2,7,9,16,42,0,42,9,0,9,185,90,275,274,103,377
16,Banten,0,1,1,0,0,0,2,0,2,0,0,0,2,0,2,5,0,5,3,0,3,51,31,82,63,32,95
17,Bali,1,0,1,1,0,1,2,0,2,0,0,0,0,2,2,7,0,7,2,0,2,34,8,42,47,10,57
18,Nusa Tenggara Barat,0,0,0,1,0,1,1,0,1,0,0,0,2,1,3,9,0,9,1,0,1,12,1,13,26,2,28
19,Nusa Tenggara Timur,0,0,0,1,0,1,4,0,4,0,0,0,1,0,1,18,0,18,1,0,1,17,3,20,42,3,45
20,Kalimantan Barat,0,0,0,1,0,1,5,0,5,0,0,0,1,3,4,13,0,13,2,0,2,14,6,20,36,9,45
21,Kalimantan Tengah,0,0,0,1,0,1,1,0,1,0,0,0,2,1,3,12,0,12,2,0,2,2,0,2,20,1,21
