No,Provinsi,Penduduk,Malaria,,,,,,,,,,
,,,Suspek,Konfirmasi Laboratorium,,,% Konfirmasi Laboratorium,Positif,,,Pengobatan Standar,% Pengobatan Standar,Annual Paracite Incidence (API) per 1.000 Penduduk
,,,,Mikroskopis,Rapid Diagnostic Test (RDT),Total,,L,P,L+P,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14)
1, Aceh,5.599.952,33.747,20.328,13.268,33.596,99.55,145,21,166,166,100.00,0.03
2, Sumatera Utara,15.257.842,28.250,11.202,16.863,28.065,99.35,2.937,1.984,4.921,4.178,84.90,0.32
3, Sumatera Barat,5.739.147,9.803,3.908,5.871,9.779,99.76,37,19,56,54,96.43,0.01
4, Riau,7.295.829,15.675,6.065,9.587,15.652,99.85,1.695,924,2.619,2.244,85.68,0.36
5, Jambi,3.713.311,23.678,11.440,10.052,21.492,90.77,155,44,199,187,93.97,0.05
6, Sumatera Selatan,8.902.406,22.728,8.652,14.076,22.728,100.00,47,4,51,51,100.00,0.01
7, Bengkulu,2.059.421,9.754,3.597,5.591,9.188,94.20,26,3,29,28,96.55,0.01
8, Lampung,8.754.570,28.320,14.083,12.229,26.312,92.91,795,420,1.215,1.137,93.58,0.14
9, Kepulauan Bangka Belitung,1.524.567,8.149,4.973,3.121,8.094,99.33,45,16,61,53,86.89,0.04
10, Kepulauan Riau,2.521.306,6.173,3.410,2.763,6.173,100.00,15,1,16,15,93.75,0.01
11, DKI Jakarta,10.775.080,4.190,1.369,2.606,3.975,94.87,233,32,265,210,79.25,0.02
12, Jawa Barat,51.172.130,10.235,7.816,1.784,9.600,93.80,492,20,512,259,50.59,0.01
13, Jawa Tengah,35.258.144,25.111,19.099,4.643,23.742,94.55,524,43,567,418,73.72,0.02
14, DI Yogyakarta,4.073.907,20.511,13.021,4.450,17.471,85.18,66,21,87,22,25.29,0.02
15, Jawa Timur,40.530.954,10.062,6.610,3.380,9.990,99.28,514,51,565,496,87.79,0.01
16, Banten,13.427.073,972,65,389,454,46.71,129,4,133,91,68.42,0.01
17, Bali,4.570.684,9.002,7.416,1.398,8.814,97.91,47,12,59,37,62.71,0.01
18, Nusa Tenggara Barat,5.441.327,121.439,82.087,37.176,119.263,98.21,244,94,338,319,94.38,0.06
