,,3 3 2 2 .4 3 8 .4 4 1 8 6 8 8 9 6 5 5 .0 3 2 .0 3 7 .8 2 5 0 .3 1 4 6 8 .8 4 8 4 .8 7 0 2 .7 7 7 8 .5 1 7 1 .5 8 5 4 .2 3 6 5 .1,,,,,,,,,,,,,,,,,,,,,,,,,,
"7,8",,"8,6",,"8,9",,,,"9,3",,"8,1",,,,,,,,,,,,,,,,,,
"14,0",,"13,8",,,"14,0",,,"14,3",,"12,2",,,,,,,,,,,,,,,,,,
,,,,,,,,,,"14,2",,,,,,,,,,,,,,,,,,
"17,5",,"17,3",,"17,2",,,,"17,1",,,,,,,,,,,,,,,,,,,,
"17,5",,"17,2",,"16,8",,,,"16,4",,"13,4",,,,,,,,,,,,,,,,,,
,,,,,,,,,,"13,8",,,,,,,,,,,,,,,,,,
"19,7",,"18,6",,"18,1",,,,"17,2",,"13,0",,,,,,,,,,,,,,,,,,
"16,3",,"15,9",,"16,0",,,,"15,5",,"8,4",,,,,,,,,,,,,,,,,,
"7,1",,"8,6",,"9,0",,,,"10,1",,"16,9",,,,,,,,,,,,,,,,,,
,,,,,45,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"33,",63,,,,,"91,13 88,31",,,,,,,,,,,,,,,,,
,Target,Rens,tr,a 2018:,,28%,,,,,,,,,,,,,,,,,,,,,,
,,,2 2,,,,,,,,,,,,,,,,,,,,,,,,,
"2,3 2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Provinsi,Pemerintah,,,,,,,,,,,,Pemerintah Daerah,,,,,,,,,Swasta,,,Total RS,,
,,Kementerian Kesehatan,,,Kepolisian,,,Tentara Nasional Indonesia,,,Kementerian Lain dan BUMN,,,Pemerintah Provinsi,,,Pemerintah Kabupaten,,,Pemerintah Kota,,,Swasta,,,,,
,,m u m U S R,su su h K S R,h a lm u J,m u m U S R,su su h K S R,h a lm u J,m u m U S R,su su h K S R,h a lm u J,m u m U S R,su su h K S R,h a lm u J,m u m U S R,su su h K S R,h a lm u J,m u m U S R,su su h K S R,h a lm u J,m u m U S R,su su h K S R,h a lm u J,m u m U S R,su su h K S R,h a lm u J,m u m U S R,su su h K S R,h a lm u J
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29)
1,Aceh,0,0,0,1,0,1,4,0,4,2,0,2,1,2,3,20,0,20,4,0,4,31,2,33,63,4,67
2,Sumatera Utara,1,0,1,2,0,2,7,0,7,11,1,12,1,3,4,26,0,26,7,0,7,131,21,152,186,25,211
3,Sumatera Barat,1,1,2,1,0,1,3,0,3,2,0,2,3,2,5,14,0,14,5,0,5,19,26,45,48,29,77
4,Riau,0,0,0,2,0,2,2,0,2,4,1,5,2,1,3,13,0,13,2,0,2,34,12,46,59,14,73
5,Jambi,0,0,0,1,0,1,2,0,2,0,0,0,1,1,2,11,0,11,2,0,2,19,4,23,36,5,41
6,Sumatera Selatan,1,1,2,1,0,1,3,0,3,3,0,3,1,4,5,22,0,22,4,0,4,26,12,38,61,17,78
7,Bengkulu,0,0,0,1,0,1,2,0,2,0,0,0,1,1,2,11,0,11,1,0,1,5,1,6,21,2,23
8,Lampung,0,0,0,1,0,1,1,0,1,0,0,0,2,1,3,13,0,13,2,0,2,36,21,57,55,22,77
