No,Provinsi,Jumlah Penduduk,Kasus Baru,,,,,,,,,Angka Penemuan Kasus Baru (NCDR/New Case Detection Rate) Per 100.000 Penduduk
,,,Pausi Basiler (PB)/ Kusta kering,,,Multi Basiler (MB)/ Kusta Basah,,,PB + MB,,,
,,,L,P,L+P,L,P,L+P,L,P,L+P,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
1,Aceh,5.599.952,18,22,40,148,77,225,166,99,265,"4,7"
2,Sumatera Utara,15.294.995,3,2,5,66,37,103,69,39,108,"0,7"
3,Sumatera Barat,5.676.344,4,0,4,31,22,53,35,22,57,"1,0"
4,Riau,6.728.053,3,5,8,72,32,104,75,37,112,"1,7"
5,Jambi,3.674.667,1,6,7,27,20,47,28,26,54,"1,5"
6,Sumatera Selatan,8.837.301,13,7,20,141,103,244,154,110,264,"3,0"
7,Bengkulu,2.059.421,0,0,0,7,0,7,7,0,7,"0,3"
8,Lampung,8.521.201,9,2,11,106,53,159,115,55,170,"2,0"
9,Kepulauan Bangka Belitung,1.524.068,2,2,4,30,18,48,32,20,52,"3,4"
10,Kepulauan Riau,2.188.486,3,0,3,24,12,36,27,12,39,"1,8"
11,DKI Jakarta,11.350.328,16,15,31,304,146,450,320,161,481,"4,2"
12,Jawa Barat,49.964.542,70,43,113,1.134,558,1.692,1.204,601,1.805,"3,6"
13,Jawa Tengah,37.892.283,26,39,65,850,379,1.229,876,418,1.294,"3,4"
14,DI Yogyakarta,3.694.038,4,4,8,25,18,43,29,22,51,"1,4"
15,Jawa Timur,41.814.499,44,49,93,1.385,720,2.105,1.429,769,2.198,"5,3"
16,Banten,13.632.823,34,34,68,484,239,723,518,273,791,"5,8"
17,Bali,4.646.694,2,1,3,81,35,116,83,36,119,"2,6"
18,Nusa Tenggara Barat,5.646.015,20,24,44,138,101,239,158,125,283,"5,0"
19,Nusa Tenggara Timur,5.656.039,23,12,35,291,121,412,314,133,447,"7,9"
20,Kalimantan Barat,5.459.482,1,3,4,49,21,70,50,24,74,"1,4"
21,Kalimantan Tengah,2.757.697,6,3,9,45,21,66,51,24,75,"2,7"
22,Kalimantan Selatan,4.232.631,2,3,5,82,55,137,84,58,142,"3,35"
23,Kalimantan Timur,3.834.983,8,4,12,112,5,117,120,9,129,"3,4"
24,Kalimantan Utara,742.542,1,1,2,23,10,33,24,11,35,"4,7"
25,Sulawesi Utara,2.592.274,9,9,18,281,142,423,290,151,441,"17,0"
26,Sulawesi Tengah,3.121.753 9.150.274,21,18,39,199,118,317,220,136,356,"11,4"
27,Sulawesi Selatan,,20,29,49,417,310,727,437,339,776,"8,5"
28,Sulawesi Tenggara,2.721.246,8,8,16,120,47,167,128,55,183,"6,7"
29,Gorontalo,1.194.463,2,3,5,143,64,207,145,67,212,"17,7"
30,Sulawesi Barat,1.462.887,9,11,20,104,45,149,113,56,169,"11,6"
31,Maluku,1.841.492,3,7,10,272,148,420,275,155,430,"23,4"
32,Maluku Utara,1.301.836,29,20,49,376,212,588,405,232,637,"48,9"
33,Papua,828.420,108,148,256,609,360,969,717,508,1.225,"147,9"
34,Papua Barat,578.696,40,66,106,186,100,286,226,166,392,"67,7"
35,Papua Selatan,544.491,8,7,15,96,77,173,104,84,188,"34,5"
36,Papua Tengah,991.989,128,17,145,59,65,124,187,82,269,"27,1"
37 Papua Pegunungan Indonesia,,203.572 278.516.052,1 730,3 669,4 1.399,4 8.727,5 4.572,9 13.299,5 9.457,8 5.241,13 14.698,"6,4 5,3"
38 Papua Barat Daya Proporsi Jenis Kelamin,,553.575,"31 52,2","42 47,8",73,"206 65,6","76 34,4",282,"237 64,3","118 35,7","355 64,1",
No,Provinsi,Jumlah Penduduk,Kasus Baru,,,,,,,,,
,,,Penderita Kusta,Cacat Tingkat 0,,Cacat Tingkat 2,,Angka Cacat Tingkat 2 Per 1.000.000 Penduduk,Penderita Kusta Anak <15 Tahun,,Penderita Kusta Anak <15 Tahun dengan Cacat Tingkat 2,
,,,,Jumlah,%,Jumlah,%,,Jumlah,%,Jumlah,%
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
1,Aceh,5.599.952,265,250,"94,3",5,"1,9","0,9",24,"9,1",1,"0,4"
2,Sumatera Utara,15.294.995,108,75,"69,4",17,"15,7","1,1",5,"4,6",0,"0,0"
3,Sumatera Barat,5.676.344,57,44,"77,2",5,"8,8","0,9",0,"0,0",0,"0,0"
4,Riau,6.728.053,112,96,"85,7",10,"8,9","1,5",8,"7,1",0,"0,0"
5,Jambi,3.674.667,54,44,"81,5",8,"14,8","2,2",4,"7,4",0,"0,0"
6,Sumatera Selatan,8.837.301,264,223,"84,5",5,"1,9","0,6",11,"4,2",1,"9,1"
7,Bengkulu,2.059.421,7,3,"42,9",3,"42,9","1,5",0,"0,0",0,"0,0"
8,Lampung,8.521.201,170,120,"70,6",14,"8,2","1,6",9,"5,3",0,"0,0"
9,Kepulauan Bangka Belitung,1.524.068,52,38,"73,1",11,"21,2","7,2",4,"7,7",1,"25,0"
10,Kepulauan Riau,2.188.486,39,35,"89,7",3,"7,7","1,4",3,"7,7",1,"33,3"
11,DKI Jakarta,11.350.328,481,422,"87,7",21,"4,4","1,9",18,"3,7",1,"5,6"
12,Jawa Barat,49.964.542,1.805,1.375,"76,2",162,"9,0","3,2",121,"6,7",6,"5,0"
13,Jawa Tengah,37.892.283,1.294,1.038,"80,2",126,"9,7","3,3",58,"4,5",1,"1,7"
14,DI Yogyakarta,3.694.038,51,44,"86,3",3,"5,9","0,8",3,"5,9",0,"0,0"
15,Jawa Timur,41.814.499,2.198,1.660,"75,5",212,"9,6","5,1",115,"5,2",13,"11,3"
16,Banten,13.632.823,791,679,"85,8",53,"6,7","3,9",67,"8,5",0,"0,0"
17,Bali,4.646.694,119,98,"82,4",5,"4,2","1,1",3,"2,5",0,"0,0"
18,Nusa Tenggara Barat,5.646.015,283,272,"96,1",6,"2,1","1,1",16,"5,7",1,"6,3"
19,Nusa Tenggara Timur,5.656.039,447,372,"83,2",39,"8,7","6,9",27,"6,0",1,"3,7"
20,Kalimantan Barat,5.459.482,74,53,"71,6",14,"18,9","2,6",3,"4,1",0,"0,0"
21,Kalimantan Tengah,2.757.697,75,67,"89,3",4,"5,3","1,5",2,"2,7",0,"0,0"
22,Kalimantan Selatan,4.232.631,142,122,"85,9",14,"9,9","3,3",2,"1,4",0,"0,0"
23,Kalimantan Timur,3.834.983,129,119,"92,2",0,"0,0","0,0",3,"2,3",0,"0,0"
24,Kalimantan Utara,742.542,35,33,"94,3",1,"2,9","1,3",0,"0,0",0,"0,0"
25,Sulawesi Utara,2.592.274,441,413,"93,7",16,"3,6","6,2",30,"6,8",1,"3,3"
26,Sulawesi Tengah,3.121.753,356,343,"96,3",8,"2,2","2,6",22,"6,2",0,"0,0"
27,Sulawesi Selatan,9.150.274,776,655,"84,4",47,"6,1","5,1",39,"5,0",1,"2,6"
28,Sulawesi Tenggara,2.721.246,183,165,"90,2",9,"4,9","3,3",8,"4,4",0,"0,0"
29,Gorontalo,1.194.463,212,193,"91,0",7,"3,3","5,9",13,"6,1",0,"0,0"
30,Sulawesi Barat,1.462.887,169,155,"91,7",5,"3,0","3,4",8,"4,7",0,"0,0"
31,Maluku,1.841.492,430,405,"94,2",12,"2,8","6,5",58,"13,5",0,"0,0"
32,Maluku Utara,1.301.836,637,616,"96,7",6,"0,9","4,6",104,"16,3",1,"1,0"
33,Papua,828.420,1.225,1.207,"98,5",6,"0,5","7,2",295,"24,1",0,"0,0"
34,Papua Barat,578.696,392,381,"97,2",2,"0,5","3,5",101,"25,8",0,"0,0"
35,Papua Selatan,544.491,188,134,"71,3",0,"0,0","0,0",28,"14,9",0,"0,0"
36,Papua Tengah,991.989,269,132,"49,1",0,"0,0","0,0",143,"53,2",0,"0,0"
37 Papua Pegunungan Indonesia 38 Papua Barat Daya,,203.572 278.516.052 553.575,13 14.698 355,6 12.429 342,"46,2 84,6 96,3",5 869 5,"38,5 5,9 1,4","24,6 3,1 9,0",1 1.420 64,"7,7 9,7 18,0",1 32 1,"100,0 2,3 1,6"
