provinsi,tahun,sektor_kode,sektor_nama,nilai_miliar_rp,pct_dari_total
Gorontalo,2015,Industri,Barang Galian bukan Logam,78.0,0.11
Gorontalo,2015,Industri,Logam Dasar,0.0,0.0
Gorontalo,2015,Industri,"Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",20.12,0.03
Gorontalo,2015,Industri,Mesin dan Perlengkapan,1.04,0.0
Gorontalo,2015,Industri,Alat Angkutan,8.47,0.01
Gorontalo,2015,Industri,Furnitur,124.49,0.18
Gorontalo,2015,Industri,Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,2.24,0.0
Gorontalo,2015,J,Informasi dan Komunikasi,721.78,1.06
Gorontalo,2015,Jasa,Pertanian dan Perburuan,110.46,0.16
Gorontalo,2015,Jasa,Perantara Keuangan,717.15,1.05
Gorontalo,2015,Jasa,Keuangan Lainnya,334.18,0.49
Gorontalo,2015,Jasa,Penunjang Keuangan,2.0,0.0
Gorontalo,2015,K,Jasa Keuangan dan Asuransi,1075.65,1.58
Gorontalo,2015,L,Real Estat,541.92,0.79
Gorontalo,2015,"M,N",Jasa Perusahaan,28.07,0.04
Gorontalo,2015,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2358.85,3.46
Gorontalo,2015,P,Jasa Pendidikan,1186.51,1.74
Gorontalo,2015,Produk,Domestik Bruto,28493.42,41.79
Gorontalo,2015,Q,Jasa Kesehatan dan Kegiatan Sosial,1014.32,1.49
Gorontalo,2015,"R,S,T,U",Jasa Lainnya,478.63,0.7
Gorontalo,2015,Tanaman,Pangan,5511.63,8.08
Gorontalo,2015,Tanaman,Hortikultura,813.6,1.19
Gorontalo,2015,Tanaman,Perkebunan,773.38,1.13
Gorontalo,2016,A,"Pertanian, Kehutanan, dan Perikanan",11799.31,15.53
Gorontalo,2016,Angkutan,Rel,,
Gorontalo,2016,Angkutan,Darat,1302.11,1.71
Gorontalo,2016,Angkutan,Laut,80.97,0.11
Gorontalo,2016,Angkutan,"Sungai, Danau, dan Penyeberangan",66.72,0.09
Gorontalo,2016,Angkutan,Udara,445.1,0.59
Gorontalo,2016,Asuransi,dan Dana Pensiun,24.46,0.03
Gorontalo,2016,B,Pertambangan dan Penggalian,380.96,0.5
Gorontalo,2016,C,Industri Pengolahan,1333.94,1.76
Gorontalo,2016,D,Pengadaan Listrik dan Gas,12.99,0.02
Gorontalo,2016,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",16.94,0.02
Gorontalo,2016,F,Konstruksi,3820.28,5.03
Gorontalo,2016,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,3481.16,4.58
Gorontalo,2016,H,Transportasi dan Pergudangan,1973.41,2.6
Gorontalo,2016,I,Penyediaan Akomodasi dan Makan Minum,720.13,0.95
Gorontalo,2016,Industri,Batubara dan Pengilangan Migas,,
Gorontalo,2016,Industri,Makanan dan Minuman,871.97,1.15
Gorontalo,2016,Industri,Pengolahan Tembakau,,
Gorontalo,2016,Industri,Tekstil dan Pakaian Jadi,29.87,0.04
Gorontalo,2016,Industri,"Kulit, Barang dari Kulit, dan Alas Kaki",,
Gorontalo,2016,Industri,"Kayu, Barang dari Kayu dan Gabus; dan Barang Anyaman dari Bambu, Rotan, dan Sejenisnya",148.21,0.2
Gorontalo,2016,Industri,Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,16.24,0.02
Gorontalo,2016,Industri,"Kimia, Farmasi, dan Obat Tradisional",0.74,0.0
Gorontalo,2016,Industri,Karet; Barang dari Karet dan Plastik,1.39,0.0
Gorontalo,2016,Industri,Barang Galian bukan Logam,90.55,0.12
Gorontalo,2016,Industri,Logam Dasar,,
Gorontalo,2016,Industri,"Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",21.56,0.03
Gorontalo,2016,Industri,Mesin dan Perlengkapan,1.1,0.0
Gorontalo,2016,Industri,Alat Angkutan,9.68,0.01
