Kabupaten dan Provinsi,Realisasi Pendapatan dan Belanja Pemerintah Kabupaten/Kota (Ribu Rupiah),,,,,,,,
,Pendapatan,,,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2017,2018
7601 - Kabupaten Majene,397942973,468301681,508575046,596607459,672757349,782530361,868165324,918545068,872674394
7602 - Kabupaten Polewali Mandar,545319029,652189758,700392999,808539104,951506827,1081510420,1315581709,1262343305,1445622903
7603 - Kabupaten Mamasa,384991580,429371904,486459892,572602860,587234094.2,824528953,967013773,983830213,955731732
7604 - Kabupaten Mamuju,572419335,681558687,711239764,870212247,688532098,688532098,1093011516,972309464,977977705
7605 - Kabupaten Pasangkayu,346948358,387275038,427533065,489660834,542497822.4,694863102,833824474,858946869,787586760
7606 - Kabupaten Mamuju Tengah,-,-,-,-,241414162.2,534946601,613175867,616641469,623138053
7600 - Provinsi Sulawesi Barat,610378110,718871064,959029569,1073860195,1240241991,1473749820,1706336865,1831985569,1819085596
