Aceh,68.29,62.31,60.56,
Sumatera Utara,50.00,56.67,51.11,
Sumatera Barat,54.32,53.90,53.19,
Riau,53.08,57.50,53.55,
Jambi,51.25,67.58,58.49,
Sumatera Selatan,63.81,67.05,64.45,
Bengkulu o,54.07,47.64,,
Lampung g,48.77,55.74,,
Kepulauan Bangka Belitung,66.25,.65.31,69.29,
Kepulauan Riau,55.33,52.78,54.00,
DKI Jakarta b,35.00,31.43,41.94,
Jawa Barat,41.43,.,38.73,45.59
Jawa Tengah,60.00,53.75,51.64,
DI Yogyakarta,35.95,50.63,35.37,
Jawa Timur,49.17,50.00,50.79,
Banten,41.25,43.11,,
Bali s,48.50,65.33,,
Nusa Tenggara Barat p,35.42,40.23,,
Nusa Tenggara Timur t,41.48,49.17,59.48,
Kalimantan Barat,57.50,51.33,50.00,
Kalimantan Tengah,55.26,50.61,56.80,
Kalimantan Selatan,52.25,51.43,55.31,
Kalimantan Timur,57.69,57.73,62.01,
Kalimantan Utara,51.00,50.91,52.22,
Sulawesi Utara,54.62,54.10,45.48,
Sulawesi Tengah,50.00,45.56,62.59,
Sulawesi Selatan,54.29,57.70,58.40,
Sulawesi Tenggara,70.00,60.00,50.55,
Gorontalo,48.57,50.67,57.20,
Sulawesi Barat,56.91,53.08,56.15,
Maluku,49.83,55.83,57.56,
Maluku Utara,50.62,57.22,53.61,
Papua Barat,50.00,50.67,53.89,
Papua,62.50,45.00,47.29,
Indonesia,53.20,51.01,52.62,
