2022(0),Daftar Kabupaten Di Provinsi Sulawesi Utara
"Jumlah",""
"54","KABUPATEN BOLAANG MONGONDOW"
"48","KABUPATEN MINAHASA"
"-","KABUPATEN KEPULAUAN SANGIHE"
"-","KABUPATEN KEPULAUAN TALAUD"
"63,33","KABUPATEN MINAHASA SELATAN"
"56","KABUPATEN MINAHASA UTARA"
"63,33","KABUPATEN BOLAANG MONGONDOW UTARA"
"-","KABUPATEN SIAU TAGULANDANG BIARO"
"43,33","KABUPATEN MINAHASA TENGGARA"
"56,67","KABUPATEN BOLAANG MONGONDOW SELATAN"
"-","KABUPATEN BOLAANG MONGONDOW TIMUR"
"40","KOTA MANADO"
"41,43","KOTA BITUNG"
"45","KOTA TOMOHON"
"37,1","KOTA KOTAMOBAGU"
