2022(0),Daftar Kabupaten Di Provinsi Sulawesi Utara
"PERUBAHAN IKA 2021-2022",""
"0,67","KABUPATEN BOLAANG MONGONDOW"
"-2,71","KABUPATEN MINAHASA"
"","KABUPATEN KEPULAUAN SANGIHE"
"","KABUPATEN KEPULAUAN TALAUD"
"33,33","KABUPATEN MINAHASA SELATAN"
"6,83","KABUPATEN MINAHASA UTARA"
"3,81","KABUPATEN BOLAANG MONGONDOW UTARA"
"","KABUPATEN SIAU TAGULANDANG BIARO"
"43,33","KABUPATEN MINAHASA TENGGARA"
"56,67","KABUPATEN BOLAANG MONGONDOW SELATAN"
"","KABUPATEN BOLAANG MONGONDOW TIMUR"
"10","KOTA MANADO"
"41,43","KOTA BITUNG"
"","KOTA TOMOHON"
"-7,57","KOTA KOTAMOBAGU"
